Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.796875,3.812500,3.750000,3.796875,2.962589,266400
2000-01-03,3.875000,3.937500,3.812500,3.890625,3.035739,2784800
2000-01-04,3.687500,3.703125,3.500000,3.625000,2.828479,944000
2000-01-05,3.656250,4.046875,3.625000,3.906250,3.047930,810400
2000-01-06,4.000000,4.281250,3.828125,4.203125,3.279574,2695200
2000-01-07,4.203125,4.750000,4.156250,4.750000,3.706283,2543600
2000-01-10,4.750000,5.156250,4.750000,4.875000,3.803818,2534400
2000-01-11,4.968750,5.125000,4.890625,5.031250,3.925733,2545200
2000-01-12,5.031250,5.031250,4.906250,5.031250,3.925733,1085600
2000-01-13,5.031250,5.953125,5.031250,5.921875,4.620662,2248000
2000-01-14,5.750000,5.828125,5.437500,5.546875,4.328061,2403200
2000-01-18,5.312500,5.484375,5.250000,5.312500,4.145185,3676400
2000-01-19,5.312500,5.375000,5.265625,5.328125,4.157376,1015200
2000-01-20,5.234375,5.250000,5.000000,5.046875,3.937927,1674000
2000-01-21,4.906250,4.937500,4.687500,4.812500,3.755051,1384000
2000-01-24,4.875000,4.968750,4.781250,4.859375,3.791626,857600
2000-01-25,4.859375,4.859375,4.562500,4.687500,3.657517,672400
2000-01-26,4.687500,4.687500,4.468750,4.531250,3.535598,621200
2000-01-27,4.562500,4.875000,4.531250,4.687500,3.657517,3402800
2000-01-28,4.750000,4.781250,4.640625,4.687500,3.657517,1545200
2000-01-31,4.687500,4.703125,4.515625,4.531250,3.535598,588400
2000-02-01,4.937500,5.046875,4.593750,4.671875,3.645325,1546800
2000-02-02,4.609375,4.781250,4.609375,4.718750,3.681899,1564400
2000-02-03,4.687500,4.718750,4.625000,4.687500,3.657517,1324800
2000-02-04,4.687500,4.687500,4.531250,4.609375,3.596558,707200
2000-02-07,4.546875,4.593750,4.531250,4.578125,3.572175,528000
2000-02-08,4.593750,4.593750,4.437500,4.468750,3.486833,696800
2000-02-09,4.406250,4.406250,4.125000,4.312500,3.364915,1449600
2000-02-10,4.281250,4.312500,4.187500,4.265625,3.328340,602400
2000-02-11,4.265625,4.265625,4.078125,4.125000,3.218614,580800
2000-02-14,4.218750,4.218750,4.000000,4.093750,3.194232,891600
2000-02-15,4.093750,4.093750,3.921875,3.968750,3.096698,2719600
2000-02-16,3.953125,4.000000,3.937500,3.984375,3.108890,2016400
2000-02-17,3.984375,4.187500,3.953125,4.187500,3.267381,1334800
2000-02-18,4.187500,4.187500,3.859375,3.921875,3.060122,10545600
2000-02-22,3.937500,4.000000,3.890625,3.937500,3.072314,1415600
2000-02-23,3.937500,3.937500,3.843750,3.875000,3.023547,662000
2000-02-24,3.859375,3.859375,3.734375,3.750000,2.926013,1079200
2000-02-25,3.671875,3.703125,3.437500,3.500000,2.730946,1997600
2000-02-28,3.500000,3.625000,3.437500,3.625000,2.828479,2859200
2000-02-29,3.625000,3.656250,3.609375,3.640625,2.840671,3308000
2000-03-01,3.656250,3.781250,3.640625,3.718750,2.901629,1371600
2000-03-02,3.734375,3.765625,3.718750,3.734375,2.913821,1092800
2000-03-03,3.718750,3.734375,3.500000,3.578125,2.791903,1521200
2000-03-06,3.640625,3.687500,3.468750,3.468750,2.706562,872400
2000-03-07,3.500000,3.500000,3.203125,3.265625,2.548069,1344000
2000-03-08,3.265625,3.281250,3.125000,3.234375,2.523688,1396400
2000-03-09,3.234375,3.265625,3.187500,3.250000,2.535879,1566800
2000-03-10,3.234375,3.312500,3.234375,3.250000,2.535879,1954400
2000-03-13,3.250000,3.296875,3.203125,3.218750,2.511494,967600
2000-03-14,3.218750,3.218750,3.000000,3.000000,2.340811,1350000
2000-03-15,3.078125,3.484375,3.062500,3.421875,2.669988,2160400
2000-03-16,3.437500,4.078125,3.437500,4.078125,3.182040,1900400
2000-03-17,4.031250,4.078125,3.875000,3.953125,3.084506,844800
2000-03-20,3.937500,4.093750,3.906250,3.984375,3.108890,473200
2000-03-21,3.890625,4.000000,3.718750,4.000000,3.121081,2070000
2000-03-22,4.234375,4.234375,4.000000,4.000000,3.121081,855200
