Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,45.750000,47.250000,45.656250,46.500000,30.592880,591800
2000-01-03,46.750000,46.937500,44.000000,45.093750,29.667686,3655600
2000-01-04,44.750000,45.750000,42.781250,42.812500,28.166821,2533200
2000-01-05,42.812500,44.125000,41.593750,43.437500,28.578009,3228000
2000-01-06,43.437500,43.812500,41.625000,42.250000,27.796743,2601000
2000-01-07,42.000000,44.250000,41.312500,43.437500,28.578009,1890600
2000-01-10,45.000000,47.375000,44.625000,47.218750,31.065744,2570000
2000-01-11,46.750000,47.000000,45.125000,45.281250,29.791048,1926200
2000-01-12,45.156250,47.750000,44.500000,46.750000,30.757347,2842400
2000-01-13,47.875000,47.875000,46.375000,46.906250,30.860142,1685000
2000-01-14,47.875000,50.968750,47.812500,50.687500,33.347866,4688800
2000-01-18,50.250000,50.875000,49.031250,49.250000,32.402126,1968800
2000-01-19,49.750000,51.125000,49.500000,50.718750,33.368439,1835600
2000-01-20,51.625000,52.000000,49.500000,49.718750,32.710526,1991000
2000-01-21,49.937500,49.968750,48.312500,48.312500,31.785343,1788600
2000-01-24,50.250000,50.750000,48.812500,49.281250,32.422684,2860200
2000-01-25,49.281250,52.625000,49.000000,52.500000,34.540344,2408200
2000-01-26,52.000000,52.125000,49.312500,50.843750,33.450687,2682800
2000-01-27,50.968750,51.546875,47.000000,48.031250,31.600307,2682800
2000-01-28,47.500000,49.062500,46.500000,47.750000,31.415258,2835800
2000-01-31,47.000000,47.812500,43.000000,46.750000,30.757347,3702000
2000-02-01,46.500000,49.343750,45.062500,49.000000,32.237644,2826200
2000-02-02,48.937500,49.218750,47.531250,48.125000,31.661976,2537200
2000-02-03,49.000000,53.812500,48.750000,52.875000,34.787060,4145200
2000-02-04,53.000000,56.250000,51.875000,55.750000,36.678562,3716200
2000-02-07,55.625000,59.875000,54.593750,59.500000,39.145718,2656400
2000-02-08,59.937500,60.187500,57.000000,57.375000,37.747662,2789800
2000-02-09,57.343750,58.500000,56.125000,57.843750,38.056065,2779600
2000-02-10,57.375000,59.375000,57.000000,58.062500,38.199970,2870000
2000-02-11,59.000000,59.906250,56.250000,57.312500,37.706547,2038000
