Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.884354,11.111111,10.884354,10.997732,6.819785,693252
2000-01-03,10.884354,10.941043,10.770975,10.884354,6.749476,984753
2000-01-04,10.714286,11.054422,10.714286,10.770975,6.679175,1088057
2000-01-05,10.770975,10.770975,10.544218,10.600907,6.573709,1087947
2000-01-06,10.544218,10.770975,10.487528,10.657596,6.608862,899971
2000-01-07,10.770975,10.884354,10.714286,10.827664,6.714323,1186290
2000-01-10,10.884354,11.054422,10.827664,10.827664,6.714323,1484516
2000-01-11,10.827664,10.827664,10.657596,10.657596,6.608862,1093019
2000-01-12,10.714286,10.997732,10.657596,10.941043,6.784628,1357398
2000-01-13,10.884354,11.167800,10.827664,10.884354,6.749476,2940037
2000-01-14,10.997732,11.394558,10.827664,11.337868,7.030706,2805532
2000-01-18,11.394558,12.018141,11.394558,11.848073,7.347087,2991303
2000-01-19,11.848073,12.188209,11.791383,12.131519,7.522854,2480625
2000-01-20,12.131519,12.188209,11.564626,11.848073,7.347087,1527073
2000-01-21,12.188209,12.188209,11.621315,11.791383,7.311934,1124440
2000-01-24,11.791383,11.848073,11.111111,11.224490,6.960399,1049580
2000-01-25,11.111111,11.167800,10.997732,11.111111,6.890093,1152774
2000-01-26,10.941043,11.111111,10.941043,11.054422,6.854939,1253432
2000-01-27,10.997732,11.054422,10.770975,10.884354,6.749476,1256299
2000-01-28,10.941043,11.054422,10.657596,10.714286,6.644018,1231493
2000-01-31,10.770975,10.884354,10.544218,10.657596,6.608862,1482091
2000-02-01,10.657596,11.054422,10.544218,10.884354,6.749476,1291689
2000-02-02,10.770975,10.827664,10.600907,10.657596,6.636514,812873
2000-02-03,10.714286,10.770975,10.600907,10.657596,6.636514,729855
2000-02-04,10.770975,10.997732,10.657596,10.657596,6.636514,970531
2000-02-07,10.657596,10.827664,10.600907,10.657596,6.636514,618723
2000-02-08,10.657596,10.770975,10.600907,10.600907,6.601215,640222
2000-02-09,10.600907,10.600907,10.034014,10.204082,6.354112,2424177
2000-02-10,10.260771,10.487528,9.863946,9.920635,6.177608,1892000
