Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.281250,9.718750,9.187500,9.593750,6.702470,109800
2000-01-03,9.656250,9.656250,9.000000,9.000000,6.287659,134000
2000-01-04,8.875000,9.281250,8.875000,9.000000,6.287659,68200
2000-01-05,9.000000,9.250000,9.000000,9.156250,6.396820,70000
2000-01-06,9.093750,9.500000,9.031250,9.468750,6.615143,78600
2000-01-07,9.437500,9.468750,9.250000,9.312500,6.505981,71800
2000-01-10,9.343750,9.343750,9.187500,9.281250,6.484149,67000
2000-01-11,9.312500,9.343750,9.250000,9.250000,6.462319,68200
2000-01-12,9.250000,9.312500,9.218750,9.312500,6.505981,93000
2000-01-13,9.312500,9.500000,9.250000,9.437500,6.593308,94400
2000-01-14,9.500000,9.500000,9.250000,9.250000,6.462319,118000
2000-01-18,9.187500,9.187500,8.937500,9.062500,6.331326,74000
2000-01-19,9.062500,9.218750,9.000000,9.093750,6.353155,106000
2000-01-20,9.125000,9.312500,8.875000,8.968750,6.265829,77400
2000-01-21,9.031250,9.187500,8.875000,9.093750,6.353155,111200
2000-01-24,9.281250,9.281250,8.937500,8.937500,6.243998,120400
2000-01-25,8.968750,8.968750,8.562500,8.562500,5.982008,67200
2000-01-26,8.593750,8.875000,8.562500,8.875000,6.200329,91200
2000-01-27,8.937500,9.093750,8.937500,9.031250,6.309494,83000
2000-01-28,9.031250,9.156250,8.750000,8.812500,6.156666,90800
2000-01-31,8.843750,9.187500,8.843750,9.031250,6.309494,114600
2000-02-01,9.000000,9.000000,8.656250,8.781250,6.134833,59000
2000-02-02,8.718750,8.937500,8.656250,8.812500,6.156666,122200
2000-02-03,8.812500,8.875000,8.687500,8.812500,6.156666,61600
2000-02-04,8.781250,8.781250,8.562500,8.687500,6.069338,101400
2000-02-07,8.562500,8.687500,8.500000,8.687500,6.069338,62200
2000-02-08,8.781250,8.843750,8.500000,8.562500,5.982008,70800
2000-02-09,8.625000,8.812500,8.312500,8.437500,5.894681,98800
2000-02-10,8.406250,8.500000,8.218750,8.437500,5.894681,522200
2000-02-11,8.437500,8.531250,7.968750,8.000000,5.589029,135000
2000-02-14,7.968750,8.250000,7.906250,8.218750,5.741856,56200
2000-02-15,8.312500,8.437500,8.156250,8.437500,5.894681,76200
2000-02-16,8.437500,8.531250,8.125000,8.125000,5.676362,86000
2000-02-17,8.218750,8.468750,8.187500,8.250000,5.763685,82400
2000-02-18,8.281250,8.281250,7.937500,7.968750,5.567199,60400
2000-02-22,7.968750,8.000000,7.812500,7.968750,5.567199,123800
2000-02-23,8.031250,8.093750,7.687500,7.875000,5.501702,95600
2000-02-24,7.875000,7.937500,7.656250,7.687500,5.370709,41400
2000-02-25,7.718750,7.750000,7.625000,7.656250,5.348876,63600
2000-02-28,7.625000,7.781250,7.500000,7.656250,5.348876,110800
2000-02-29,7.656250,8.093750,7.531250,7.531250,5.261549,194800
2000-03-01,7.500000,7.531250,7.281250,7.281250,5.086891,123200
2000-03-02,7.281250,7.500000,7.281250,7.468750,5.217885,156600
2000-03-03,7.437500,7.562500,7.437500,7.500000,5.239717,65000
2000-03-06,7.500000,8.000000,7.500000,7.781250,5.436205,179000
2000-03-07,7.843750,7.953125,7.500000,7.500000,5.239717,222600
2000-03-08,7.875000,7.968750,7.875000,7.875000,5.501702,152400
2000-03-09,7.781250,7.906250,7.687500,7.718750,5.392542,161200
2000-03-10,7.687500,8.078125,7.593750,8.000000,5.589029,167600
2000-03-13,7.812500,8.000000,7.656250,7.843750,5.517806,85600
2000-03-14,7.906250,7.937500,7.843750,7.906250,5.561770,139200
2000-03-15,7.906250,8.656250,7.843750,8.625000,6.067387,141200
2000-03-16,8.656250,9.281250,8.656250,9.281250,6.529037,368600
2000-03-17,9.125000,9.500000,9.125000,9.468750,6.660935,267800
2000-03-20,9.468750,9.812500,9.468750,9.812500,6.902750,275800
2000-03-21,9.750000,9.875000,9.593750,9.875000,6.946717,353400
2000-03-22,9.875000,10.000000,9.406250,9.406250,6.616968,338000
2000-03-23,9.312500,9.406250,9.000000,9.343750,6.573002,399200
2000-03-24,9.250000,9.500000,9.000000,9.437500,6.638952,61600
2000-03-27,9.375000,9.500000,9.093750,9.437500,6.638952,67800
2000-03-28,9.375000,9.406250,8.812500,9.156250,6.441102,63800
2000-03-29,9.093750,9.093750,8.906250,8.968750,6.309203,134400
2000-03-30,9.031250,9.562500,9.031250,9.562500,6.726884,83800
