Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.645833,3.645833,3.604167,3.645833,2.458403,43200
2000-01-03,3.635417,3.645833,3.572917,3.614583,2.437332,113400
2000-01-04,3.604167,3.666667,3.562500,3.562500,2.402212,164400
2000-01-05,3.583333,3.583333,3.489583,3.552083,2.395187,188400
2000-01-06,3.541667,3.552083,3.500000,3.500000,2.360067,161400
2000-01-07,3.520833,3.645833,3.520833,3.645833,2.458403,106200
2000-01-10,3.687500,3.687500,3.625000,3.687500,2.486500,128400
2000-01-11,3.677083,3.687500,3.645833,3.645833,2.458403,127200
2000-01-12,3.625000,3.625000,3.520833,3.520833,2.374116,123000
2000-01-13,3.520833,3.593750,3.500000,3.572917,2.409235,106200
2000-01-14,3.593750,3.645833,3.583333,3.645833,2.458403,55200
2000-01-18,3.625000,3.625000,3.583333,3.593750,2.423285,30000
2000-01-19,3.666667,3.666667,3.604167,3.656250,2.465428,97200
2000-01-20,3.677083,3.677083,3.562500,3.593750,2.423285,145800
2000-01-21,3.583333,3.718750,3.541667,3.718750,2.507572,573000
2000-01-24,3.739583,3.854167,3.729167,3.750000,2.528643,180000
2000-01-25,3.708333,3.708333,3.552083,3.562500,2.402212,251400
2000-01-26,3.562500,3.562500,3.489583,3.489583,2.353044,141000
2000-01-27,3.468750,3.468750,3.375000,3.385417,2.295963,223800
2000-01-28,3.385417,3.427083,3.312500,3.312500,2.246510,192600
2000-01-31,3.312500,3.375000,3.281250,3.291667,2.232381,268200
2000-02-01,3.281250,3.281250,3.229167,3.239583,2.197058,168000
2000-02-02,3.260417,3.281250,3.239583,3.270833,2.218253,171600
2000-02-03,3.291667,3.291667,3.145833,3.156250,2.140544,197400
2000-02-04,3.135417,3.187500,3.072917,3.145833,2.133478,340800
2000-02-07,3.218750,3.218750,3.125000,3.187500,2.161737,402600
2000-02-08,3.187500,3.197917,3.000000,3.010417,2.041641,515400
2000-02-09,3.000000,3.000000,2.906250,2.958333,2.006318,222600
2000-02-10,2.989583,2.989583,2.885417,2.927083,1.985124,207600
2000-02-11,2.906250,2.968750,2.906250,2.927083,1.985124,189600
2000-02-14,2.916667,2.916667,2.864583,2.885417,1.956866,73800
2000-02-15,2.875000,2.875000,2.781250,2.864583,1.942738,312000
2000-02-16,2.864583,2.864583,2.812500,2.864583,1.942738,175200
2000-02-17,2.895833,2.989583,2.895833,2.895833,1.963931,272400
2000-02-18,2.906250,2.906250,2.833333,2.854167,1.935674,106200
2000-02-22,2.895833,2.927083,2.864583,2.916667,1.978060,183600
2000-02-23,2.916667,2.958333,2.906250,2.937500,1.992190,432000
2000-02-24,2.937500,2.958333,2.895833,2.947917,1.999254,351600
2000-02-25,2.979167,3.000000,2.927083,2.937500,1.992190,226800
2000-02-28,2.958333,2.958333,2.885417,2.927083,1.985124,101400
2000-02-29,2.916667,2.979167,2.875000,2.875000,1.949802,147600
2000-03-01,2.875000,2.885417,2.781250,2.781250,1.886222,300000
2000-03-02,2.781250,2.791667,2.645833,2.729167,1.850899,640200
2000-03-03,2.750000,2.750000,2.697917,2.729167,1.850899,262200
2000-03-06,2.708333,2.718750,2.697917,2.708333,1.836770,131400
