Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.773810,15.990260,15.638528,15.990260,12.486631,192885
2000-01-03,15.882035,15.882035,14.745671,14.772727,11.535879,1082697
2000-01-04,14.285714,14.556277,13.961039,14.123377,11.028807,2959572
2000-01-05,14.231602,14.583333,14.123377,14.529221,11.345725,2170014
2000-01-06,14.935065,16.017317,14.745671,15.909091,12.423250,2416029
2000-01-07,16.125542,16.450216,15.557359,15.854978,12.380993,1709169
2000-01-10,15.584416,15.584416,15.151515,15.232684,11.895053,1621851
2000-01-11,15.232684,15.449134,15.097403,15.286797,11.937306,1729728
2000-01-12,15.151515,15.367965,15.016234,15.205628,11.873925,989604
2000-01-13,15.178571,15.800866,15.178571,15.530303,12.127456,1492722
2000-01-14,15.638528,15.692641,15.178571,15.395022,12.021820,2113188
2000-01-18,15.909091,17.099567,15.692641,16.829004,13.141600,3291519
2000-01-19,17.207792,17.207792,16.693724,16.720779,13.057086,2229612
2000-01-20,17.099567,17.099567,16.585499,16.829004,13.141600,2245782
2000-01-21,17.153681,18.127707,16.964287,17.424242,13.606413,3129588
2000-01-24,17.424242,17.694805,16.450216,16.964287,13.247238,2251326
2000-01-25,17.207792,17.424242,16.991343,17.153681,13.395136,2097711
2000-01-26,17.424242,17.424242,16.937229,16.964287,13.247238,1452990
2000-01-27,16.883118,16.991343,16.152597,16.179653,12.634528,1685376
2000-01-28,16.017317,16.396105,15.936147,16.071428,12.550017,1298451
2000-01-31,16.179653,16.179653,15.476190,15.800866,12.338737,2916144
2000-02-01,15.800866,16.558441,15.692641,16.423161,12.824681,2036034
2000-02-02,16.423161,16.747835,16.396105,16.396105,12.803554,1730190
2000-02-03,16.883118,16.883118,16.450216,16.477274,12.866944,1020327
2000-02-04,16.883118,17.153681,15.963203,16.017317,12.507762,1398243
2000-02-07,15.963203,16.612555,15.854978,16.558441,12.930325,1336797
2000-02-08,16.450216,16.774893,15.800866,15.990260,12.486631,1311849
2000-02-09,15.882035,15.882035,15.151515,15.178571,11.852799,2184105
2000-02-10,15.584416,16.233767,15.395022,15.854978,12.380993,1570338
2000-02-11,16.017317,16.125542,15.449134,15.476190,12.085206,498729
2000-02-14,15.422078,16.612555,15.367965,16.341991,12.761297,1660428
2000-02-15,16.720779,17.370131,16.693724,17.316017,13.521902,1852851
2000-02-16,17.343075,17.721861,17.288961,17.370131,13.564168,2221296
