Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.074219,2.089844,2.056641,2.080078,1.875939,1046400
2000-01-03,2.107422,2.117188,2.082031,2.101563,1.895316,4201600
2000-01-04,2.089844,2.091797,2.023438,2.029297,1.830142,3363200
2000-01-05,2.021484,2.021484,1.939453,1.984375,1.789628,3644800
2000-01-06,1.976563,1.976563,1.923828,1.929688,1.740309,1561600
2000-01-07,1.937500,1.949219,1.894531,1.949219,1.757923,3622400
2000-01-10,1.953125,2.046875,1.953125,2.041016,1.840711,1526400
2000-01-11,2.046875,2.097656,2.041016,2.089844,1.884747,2483200
2000-01-12,2.117188,2.437500,2.117188,2.378906,2.145440,26086400
2000-01-13,2.386719,2.431641,2.312500,2.347656,2.117257,5529600
2000-01-14,2.343750,2.437500,2.343750,2.396484,2.161294,2304000
2000-01-18,2.462891,2.531250,2.449219,2.460938,2.219421,5123200
2000-01-19,2.453125,2.500000,2.394531,2.437500,2.198284,3836800
2000-01-20,2.476563,2.527344,2.421875,2.423828,2.185953,3126400
2000-01-21,2.423828,2.437500,2.328125,2.330078,2.101404,2361600
2000-01-24,2.337891,2.414063,2.281250,2.312500,2.085551,3001600
2000-01-25,2.312500,2.312500,2.222656,2.248047,2.027423,1625600
2000-01-26,2.248047,2.298828,2.187500,2.281250,2.057368,2688000
2000-01-27,2.289063,2.326172,2.240234,2.248047,2.027423,2201600
2000-01-28,2.248047,2.267578,2.136719,2.142578,1.932305,1104000
2000-01-31,2.142578,2.171875,2.087891,2.121094,1.912930,2688000
2000-02-01,2.121094,2.130859,2.089844,2.107422,1.900600,1625600
2000-02-02,2.107422,2.203125,2.107422,2.152344,1.941113,1420800
2000-02-03,2.171875,2.177734,2.154297,2.162109,1.949920,1449600
2000-02-04,2.171875,2.193359,2.167969,2.193359,1.978103,924800
2000-02-07,2.171875,2.189453,2.148438,2.158203,1.946397,812800
2000-02-08,2.179688,2.234375,2.179688,2.179688,1.965774,2064000
2000-02-09,2.181641,2.181641,2.109375,2.115234,1.907645,1164800
2000-02-10,2.121094,2.125000,2.072266,2.083984,1.879462,931200
2000-02-11,2.085938,2.105469,2.046875,2.070313,1.867133,1376000
2000-02-14,2.070313,2.562500,2.060547,2.560547,2.309256,24224000
2000-02-15,2.554688,2.554688,2.300781,2.347656,2.117257,8166400
2000-02-16,2.349609,2.449219,2.349609,2.437500,2.198284,4921600
2000-02-17,2.410156,2.417969,2.347656,2.369141,2.136632,2028800
2000-02-18,2.373047,2.375000,2.246094,2.271484,2.048561,2131200
2000-02-22,2.240234,2.250000,2.162109,2.228516,2.009810,3017600
2000-02-23,2.244141,2.273438,2.140625,2.265625,2.043277,2908800
2000-02-24,2.273438,2.335938,2.269531,2.310547,2.083789,2489600
2000-02-25,2.312500,2.394531,2.294922,2.310547,2.083789,3660800
2000-02-28,2.320313,2.343750,2.283203,2.343750,2.113734,3929600
2000-02-29,2.343750,2.539063,2.343750,2.498047,2.252889,4016000
2000-03-01,2.500000,2.671875,2.486328,2.671875,2.409658,4195200
2000-03-02,2.664063,2.664063,2.542969,2.570313,2.318064,3702400
2000-03-03,2.593750,2.640625,2.562500,2.564453,2.312778,1468800
2000-03-06,2.566406,2.621094,2.550781,2.578125,2.325107,3625600
2000-03-07,2.578125,2.597656,2.437500,2.455078,2.214136,1539200
2000-03-08,2.421875,2.439453,2.292969,2.378906,2.145440,2928000
2000-03-09,2.371094,2.414063,2.351563,2.402344,2.166577,1244800
2000-03-10,2.648438,2.750000,2.613281,2.691406,2.427271,12816000
2000-03-13,2.617188,2.664063,2.574219,2.601563,2.346246,3014400
2000-03-14,2.621094,2.671875,2.509766,2.523438,2.275788,2569600
2000-03-15,2.687500,2.810547,2.601563,2.691406,2.427271,12323200
2000-03-16,2.707031,2.773438,2.662109,2.761719,2.490684,3283200
2000-03-17,2.742188,2.968750,2.718750,2.966797,2.675636,6848000
2000-03-20,2.966797,2.984375,2.898438,2.908203,2.622792,4560000
2000-03-21,2.900391,2.937500,2.853516,2.898438,2.613986,3971200
2000-03-22,2.906250,2.953125,2.906250,2.931641,2.643929,1465600
2000-03-23,2.937500,3.074219,2.937500,3.066406,2.765469,2624000
2000-03-24,3.058594,3.242188,3.015625,3.015625,2.719672,6700800
2000-03-27,2.984375,3.257813,2.972656,3.228516,2.911669,4716800
2000-03-28,3.222656,3.222656,3.097656,3.121094,2.814789,2576000
2000-03-29,3.148438,3.205078,3.007813,3.011719,2.716149,3193600
2000-03-30,3.007813,3.048828,2.980469,3.011719,2.716149,4361600
2000-03-31,3.039063,3.208984,3.025391,3.195313,2.881725,4569600
2000-04-03,3.179688,3.179688,3.134766,3.146484,2.837688,4224000
2000-04-04,3.128906,3.187500,2.828125,3.156250,2.846496,6582400
2000-04-05,3.148438,3.250000,3.113281,3.250000,2.931046,3174400
2000-04-06,3.312500,3.468750,3.277344,3.453125,3.114236,5251200
2000-04-07,3.507813,3.757813,3.457031,3.707031,3.343223,6723200
2000-04-10,3.750000,3.750000,3.605469,3.667969,3.307994,5603200
2000-04-11,3.593750,3.667969,3.460938,3.664063,3.304472,3990400
2000-04-12,3.666016,3.734375,3.546875,3.601563,3.248106,7296000
2000-04-13,3.554688,3.585938,3.363281,3.542969,3.195262,7564800
2000-04-14,3.468750,3.468750,2.875000,2.894531,2.610461,5744000
2000-04-17,2.921875,3.125000,2.906250,3.031250,2.733763,8134400
2000-04-18,3.093750,3.562500,3.093750,3.507813,3.163557,7123200
2000-04-19,3.656250,3.671875,3.515625,3.603516,3.249868,3523200
2000-04-20,3.599609,3.626953,3.470703,3.531250,3.184694,2512000
2000-04-24,3.484375,3.505859,3.390625,3.441406,3.103667,2736000
2000-04-25,3.593750,3.783203,3.558594,3.750000,3.381976,7030400
2000-04-26,3.750000,3.968750,3.625000,3.636719,3.279812,4273600
2000-04-27,3.574219,3.906250,3.535156,3.750000,3.381976,5209600
2000-04-28,3.750000,4.000000,3.710938,3.984375,3.593349,3748800
2000-05-01,3.890625,3.890625,3.578125,3.738281,3.371408,6798400
2000-05-02,3.699219,3.835938,3.597656,3.687500,3.325609,3171200
2000-05-03,3.609375,3.609375,3.164063,3.226563,2.909908,4315200
2000-05-04,3.312500,3.433594,3.234375,3.421875,3.086052,2840000
2000-05-05,3.406250,3.683594,3.406250,3.683594,3.322086,3550400
2000-05-08,3.683594,3.875000,3.683594,3.734375,3.367883,3292800
2000-05-09,3.703125,3.750000,3.179688,3.359375,3.029686,4084800
2000-05-10,3.328125,3.328125,2.906250,2.976563,2.684443,4390400
2000-05-11,2.992188,3.175781,2.984375,3.160156,2.850018,3449600
2000-05-12,3.250000,3.371094,3.218750,3.230469,2.913432,5636800
2000-05-15,3.117188,3.171875,3.031250,3.136719,2.828882,4038400
