Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.974470,17.076317,16.855650,17.059343,11.159463,860852
2000-01-03,16.719852,16.872623,16.380363,16.668930,10.904070,3878251
2000-01-04,16.397339,16.567083,16.227594,16.295492,10.659788,1740481
2000-01-05,16.295492,17.212112,16.159697,17.008419,11.126152,4200426
2000-01-06,16.804726,17.517653,16.804726,17.364883,11.359335,3350620
2000-01-07,17.483706,18.383350,17.415808,18.349401,12.003358,4469948
2000-01-10,18.400326,18.400326,17.585550,17.653448,11.548100,1916481
2000-01-11,17.449757,17.823195,17.330935,17.653448,11.548100,2438589
2000-01-12,17.704372,17.755297,17.449757,17.449757,11.414855,1862356
2000-01-13,17.585550,18.162683,17.517653,17.857143,11.681345,2743826
2000-01-14,17.653448,17.789246,16.923548,17.313959,11.326017,4230618
2000-01-18,17.246061,17.381859,16.974470,17.093292,11.181670,2381149
2000-01-19,17.093292,17.212112,16.923548,17.059343,11.159463,2603910
2000-01-20,16.991446,17.076317,16.431288,16.567083,10.837446,5330431
2000-01-21,16.567083,16.567083,16.397339,16.499186,10.793033,5988773
2000-01-24,16.499186,16.550110,15.989951,16.108772,10.537643,3413582
2000-01-25,16.057850,16.074823,15.277023,15.752309,10.304461,7155967
2000-01-26,15.684411,15.989951,15.209125,15.752309,10.304461,9850823
2000-01-27,16.159697,17.381859,16.023899,17.127241,11.203879,11235623
2000-01-28,17.127241,18.043861,16.838675,17.025394,11.137256,7589338
2000-01-31,17.381859,17.483706,17.093292,17.347910,11.348232,7941338
2000-02-01,17.347910,17.347910,17.008419,17.144215,11.214984,2967692
2000-02-02,17.076317,17.280010,16.872623,17.212112,11.259398,4690132
2000-02-03,17.246061,17.313959,17.059343,17.246061,11.281610,3586636
2000-02-04,17.178164,17.347910,17.178164,17.246061,11.281610,4687554
2000-02-07,17.178164,17.280010,16.974470,17.127241,11.203879,3216227
2000-02-08,17.059343,17.330935,16.957497,17.093292,11.181670,2740144
2000-02-09,16.838675,17.110266,16.329441,17.076317,11.170565,4550584
2000-02-10,17.076317,17.076317,16.193645,16.448261,10.759715,3118286
2000-02-11,16.397339,16.414312,16.023899,16.091799,10.526537,2643308
2000-02-14,16.193645,16.448261,16.023899,16.227594,10.615368,2705534
2000-02-15,16.091799,16.227594,15.820206,16.057850,10.504330,5548038
2000-02-16,16.023899,16.057850,15.616513,15.718360,10.282254,4143355
2000-02-17,15.718360,15.752309,15.497691,15.667436,10.248941,4079288
2000-02-18,15.599538,15.599538,15.090304,15.175177,9.926929,4263388
2000-02-22,15.107279,15.786257,14.988457,15.480717,10.126799,5436473
2000-02-23,15.446768,15.616513,15.175177,15.395845,10.071278,3290603
2000-02-24,15.395845,15.395845,14.665942,14.971483,9.793676,4404040
2000-02-25,15.107279,15.667436,14.598045,14.716866,9.627119,4953395
2000-02-28,14.852662,15.260049,14.733840,14.903585,9.749264,3014085
2000-02-29,15.039381,15.310972,14.801738,14.801738,9.682637,3574854
2000-03-01,14.886611,15.582564,14.886611,15.226100,9.960239,4802433
2000-03-02,15.293998,15.616513,15.107279,15.429794,10.093485,7679916
2000-03-03,15.497691,15.922053,15.378870,15.378870,10.060174,8483328
2000-03-06,15.412819,15.412819,14.767789,14.767789,9.660430,3489431
2000-03-07,14.903585,14.937534,14.054861,14.071836,9.205168,4727688
2000-03-08,14.394351,14.937534,14.394351,14.699891,9.616014,4369061
2000-03-09,14.699891,15.175177,14.615019,15.141228,9.904720,7024888
2000-03-10,15.141228,15.463743,15.141228,15.226100,9.960239,7960484
2000-03-13,14.954508,15.107279,14.547121,14.598045,9.549394,5031821
2000-03-14,14.665942,14.852662,14.598045,14.665942,9.593809,4163974
2000-03-15,14.835687,16.193645,14.801738,16.006926,10.471018,5724037
2000-03-16,16.227594,17.025394,16.108772,16.940521,11.081736,10242956
2000-03-17,17.042368,17.042368,16.668930,16.770777,10.970693,4826366
2000-03-20,16.770777,17.042368,16.634981,16.753801,10.959595,5495753
2000-03-21,16.618008,17.347910,16.584059,17.076317,11.170565,5792522
2000-03-22,16.889599,17.144215,16.719852,17.042368,11.148363,7279682
2000-03-23,16.940521,17.619499,16.736828,17.364883,11.359335,9476363
2000-03-24,17.229088,17.229088,16.584059,16.702879,10.926283,8096718
2000-03-27,16.567083,16.618008,16.057850,16.354902,10.698649,5535887
2000-03-28,16.329441,16.736828,16.176670,16.380363,10.715306,5338900
2000-03-29,16.346415,16.821699,16.227594,16.363388,10.704201,5331168
2000-03-30,16.363388,16.889599,16.329441,16.702879,10.926283,6113593
2000-03-31,16.770777,17.093292,16.719852,17.025394,11.137256,3888928
2000-04-03,16.278517,17.246061,16.278517,16.889599,11.548210,4170970
2000-04-04,16.838675,17.212112,16.278517,16.855650,11.524994,5239854
2000-04-05,16.991446,17.246061,16.685904,16.804726,11.490179,6332304
2000-04-06,16.770777,16.821699,16.142721,16.295492,11.141994,3767791
2000-04-07,16.261543,16.380363,16.057850,16.142721,11.037535,1998221
2000-04-10,16.142721,16.618008,16.057850,16.465237,11.258051,3580009
2000-04-11,16.465237,17.364883,16.465237,16.753801,11.455359,3645548
2000-04-12,16.821699,17.059343,16.397339,16.550110,11.316082,3790619
2000-04-13,16.482210,16.668930,16.244568,16.312466,11.153595,3429415
2000-04-14,16.023899,16.159697,15.344921,15.361896,10.503649,5430214
2000-04-17,15.429794,15.599538,15.073330,15.327947,10.480440,4700441
2000-04-18,15.480717,15.837181,15.412819,15.718360,10.747382,4074133
2000-04-19,16.057850,16.244568,15.752309,15.820206,10.817018,3480963
2000-04-20,16.023899,16.329441,15.378870,16.244568,11.107170,6040321
2000-04-24,16.108772,17.161190,16.108772,16.838675,11.513391,7978894
2000-04-25,17.246061,18.060837,17.229088,18.060837,12.349039,12352742
2000-04-26,17.992939,17.992939,17.585550,17.670424,12.082094,6570529
2000-04-27,17.585550,17.874117,17.585550,17.806219,12.174948,6440923
2000-04-28,17.806219,17.857143,17.670424,17.687399,12.093702,6159618
2000-05-01,17.687399,17.704372,17.246061,17.263037,11.803546,4246082
2000-05-02,17.042368,17.619499,16.974470,17.313959,11.838366,3404377
2000-05-03,17.296986,17.381859,16.838675,16.923548,11.571423,2640362
