Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,43.194828,43.194828,42.134830,42.399830,26.211668,370379
2000-01-03,40.544838,40.677338,38.557346,39.219845,24.245811,2569067
2000-01-04,39.153591,39.153591,36.967354,38.093597,23.549549,2837936
2000-01-05,37.629848,38.358597,36.702354,37.232349,23.017128,3077843
2000-01-06,37.166100,38.424847,36.834854,38.159847,23.590515,3495108
2000-01-07,37.762348,40.147339,37.762348,40.147339,24.819187,2220575
2000-01-10,40.279839,40.279839,38.159847,38.358597,23.713387,1436515
2000-01-11,37.629848,37.961098,37.166100,37.431099,23.139999,1678686
2000-01-12,37.431099,38.822346,37.431099,38.623596,23.877205,1508025
2000-01-13,40.279839,40.346088,39.418591,39.617344,24.491539,1688403
2000-01-14,41.339836,42.399830,40.743587,41.472336,25.638298,2143027
2000-01-18,40.279839,40.876087,39.551090,39.617344,24.491539,1518968
2000-01-19,39.749840,41.008587,39.286095,39.352345,24.432314,2153688
2000-01-20,40.014839,40.014839,38.954845,38.954845,24.185516,1368590
2000-01-21,40.279839,40.279839,38.424847,38.557346,23.938725,1647837
2000-01-24,39.021095,39.551090,37.894848,38.424847,23.856470,1068023
2000-01-25,38.424847,39.484840,37.961098,38.491096,23.897596,1504440
2000-01-26,38.557346,41.869835,38.358597,41.803581,25.954193,2116329
2000-01-27,42.267330,42.797329,41.074837,41.406082,25.707394,2499350
2000-01-28,40.279839,40.677338,39.749840,40.014839,24.843628,1849536
2000-01-31,39.948589,43.062328,39.551090,43.062328,26.735697,2061612
2000-02-01,43.128578,43.393578,42.002331,43.327328,26.900225,2132178
2000-02-02,43.062328,43.128578,41.803581,42.267330,26.242115,1475195
2000-02-03,42.664829,42.929829,40.809837,41.936081,26.036446,1303118
2000-02-04,42.532330,42.532330,40.147339,40.213589,24.967024,1376704
2000-02-07,40.279839,40.677338,39.816090,40.544838,25.172684,931324
2000-02-08,41.074837,41.869835,40.809837,41.671082,25.871922,1309251
2000-02-09,41.671082,41.671082,40.346088,40.346088,25.049276,1789724
2000-02-10,40.346088,40.743587,38.623596,38.689846,24.020994,1325194
2000-02-11,38.689846,39.816090,38.689846,39.021095,24.226652,1373496
2000-02-14,38.756096,39.683590,37.894848,38.192970,23.712486,1413402
2000-02-15,37.961098,39.816090,37.828598,39.153591,24.308916,1176703
2000-02-16,39.219845,39.749840,38.756096,39.749840,24.679090,2636709
2000-02-17,39.352345,39.617344,36.371105,37.166100,23.074965,2817370
2000-02-18,36.702354,37.232349,34.781113,35.576107,22.087797,2749539
2000-02-22,36.039856,36.172356,34.913609,35.973606,22.334583,1811705
2000-02-23,35.509857,36.106106,35.178608,35.244858,21.882137,1523780
2000-02-24,34.979858,35.377357,33.389866,33.787365,20.977238,2473972
2000-02-25,34.052364,35.443607,33.721115,34.979858,21.717602,2459538
2000-02-28,35.509857,37.298599,35.311108,36.834854,22.869293,2587180
2000-02-29,36.834854,36.834854,34.913609,35.244858,21.882137,2443972
2000-03-01,36.039856,36.039856,33.588615,34.383614,21.347420,3564731
2000-03-02,35.244858,35.244858,34.317364,35.112358,21.799868,2243217
2000-03-03,35.112358,35.509857,33.986115,33.986115,21.100636,1835762
2000-03-06,34.449863,34.913609,33.787365,34.714863,21.553083,1927649
2000-03-07,34.449863,34.516113,33.124866,33.191116,20.607048,1819158
2000-03-08,32.727367,33.124866,31.534874,32.859867,20.401392,2789917
2000-03-09,32.926117,34.251114,32.926117,34.118614,21.182894,2136046
2000-03-10,33.986115,34.648609,33.058617,33.588615,20.853842,1886611
2000-03-13,33.124866,35.443607,32.992367,35.112358,21.799868,2109820
2000-03-14,35.178608,35.178608,33.654865,33.787365,20.977238,1132835
2000-03-15,33.986115,37.629848,33.588615,37.298599,23.157215,3960016
2000-03-16,38.689846,43.459827,38.424847,43.327328,26.900225,5542003
2000-03-17,43.194828,43.194828,40.942337,41.008587,25.460600,2862464
2000-03-20,41.008587,41.074837,38.557346,39.286095,24.391178,1966706
2000-03-21,39.286095,41.737331,39.087345,40.942337,25.419466,2592746
2000-03-22,40.677338,41.472336,40.279839,41.207336,25.584011,1634724
2000-03-23,40.942337,42.863579,40.942337,42.399830,26.324360,2518972
2000-03-24,42.532330,43.393578,41.869835,43.128578,26.776814,2510482
2000-03-27,42.598579,42.863579,40.876087,41.671082,25.871922,1140005
2000-03-28,40.677338,42.929829,40.677338,42.134830,26.159861,1634441
2000-03-29,42.267330,42.399830,41.406082,41.671082,25.871922,975381
2000-03-30,41.936081,42.664829,41.538586,41.671082,25.871922,1481798
2000-03-31,41.671082,44.652321,41.472336,44.056072,27.352680,2938031
2000-04-03,44.056072,47.037312,44.056072,46.159504,28.658619,4992001
2000-04-04,45.844818,47.037312,43.062328,44.188572,27.434935,3956903
2000-04-05,44.321072,45.447319,44.122326,44.453571,27.599451,2577463
2000-04-06,44.321072,44.784821,43.393578,44.122326,27.393797,1863970
2000-04-07,44.122326,44.718571,42.598579,42.863579,26.612299,1089250
2000-04-10,43.128578,45.314819,42.201080,45.182320,28.051916,1822271
2000-04-11,44.387321,45.248569,43.128578,43.658573,27.105885,1413119
2000-04-12,43.592327,48.494804,43.592327,45.977318,28.545490,3628316
2000-04-13,45.712318,46.639812,44.122326,45.712318,28.380957,2190669
2000-04-14,44.983570,44.983570,41.538586,41.803581,25.954193,2092178
2000-04-17,41.803581,42.466080,41.472336,41.936081,26.036446,1907649
2000-04-18,43.194828,45.447319,42.863579,45.381069,28.266754,2668313
2000-04-19,45.182320,45.182320,43.393578,43.923573,27.358913,1712931
2000-04-20,44.652321,44.784821,43.791077,44.453571,27.689030,1368779
2000-04-24,44.254822,45.911064,43.923573,45.778568,28.514349,1405760
2000-04-25,45.911064,48.163555,45.911064,47.501060,29.587265,1878687
2000-04-26,47.368561,47.633560,45.646069,46.109818,28.720682,1734064
2000-04-27,44.784821,45.049820,43.194828,44.784821,27.895380,1716045
2000-04-28,44.917320,45.513569,43.526077,43.526077,27.111336,1817083
