Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.378906,2.464844,2.375000,2.460938,2.007456,932800
2000-01-03,2.453125,2.503906,2.433594,2.488281,2.029760,3273600
2000-01-04,2.472656,2.519531,2.402344,2.406250,1.962845,2446400
2000-01-05,2.398438,2.476563,2.398438,2.449219,1.997896,1164800
2000-01-06,2.457031,2.531250,2.457031,2.488281,2.029760,1073600
2000-01-07,2.496094,2.523438,2.398438,2.417969,1.972404,2012800
2000-01-10,2.636719,2.636719,2.484375,2.496094,2.036133,7582400
2000-01-11,2.500000,2.558594,2.488281,2.542969,2.074369,4955200
2000-01-12,2.542969,2.546875,2.433594,2.433594,1.985151,2713600
2000-01-13,2.476563,2.609375,2.468750,2.488281,2.029760,4419200
2000-01-14,2.609375,2.652344,2.589844,2.628906,2.144471,3134400
2000-01-18,2.644531,2.703125,2.621094,2.648438,2.160405,2838400
2000-01-19,2.664063,2.664063,2.585938,2.605469,2.125355,4094400
2000-01-20,2.621094,2.644531,2.597656,2.621094,2.138099,3382400
2000-01-21,2.664063,2.679688,2.562500,2.562500,2.090302,4289600
2000-01-24,2.578125,2.582031,2.437500,2.460938,2.007456,2654400
2000-01-25,2.453125,2.460938,2.343750,2.343750,1.911862,3206400
2000-01-26,2.312500,2.402344,2.312500,2.375000,1.937354,2884800
2000-01-27,2.378906,2.386719,2.324219,2.339844,1.908676,3680000
2000-01-28,2.343750,2.343750,2.250000,2.250000,1.835387,2459200
2000-01-31,2.253906,2.300781,2.207031,2.273438,1.854507,2233600
2000-02-01,2.257813,2.285156,2.218750,2.246094,1.832201,1051200
2000-02-02,2.257813,2.261719,2.187500,2.207031,1.800336,1801600
2000-02-03,2.257813,2.265625,2.191406,2.214844,1.806709,1832000
2000-02-04,2.207031,2.214844,2.156250,2.171875,1.771658,2139200
2000-02-07,2.183594,2.187500,2.121094,2.125000,1.733422,1766400
2000-02-08,2.132813,2.144531,2.058594,2.058594,1.679253,1401600
2000-02-09,2.062500,2.109375,2.023438,2.070313,1.688812,3310400
2000-02-10,2.070313,2.070313,2.019531,2.035156,1.660132,1352000
2000-02-11,2.035156,2.046875,1.980469,2.019531,1.647387,1659200
2000-02-14,2.019531,2.050781,2.011719,2.035156,1.660132,1404800
