Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.359375,2.394531,2.359375,2.394531,1.881902,48000
2000-01-03,2.390625,2.390625,2.367188,2.367188,1.860413,81600
2000-01-04,2.367188,2.367188,2.351563,2.367188,1.860413,73600
2000-01-05,2.351563,2.359375,2.335938,2.359375,1.854273,35200
2000-01-06,2.355469,2.359375,2.347656,2.359375,1.854273,54400
2000-01-07,2.359375,2.390625,2.351563,2.390625,1.878832,92800
2000-01-10,2.390625,2.437500,2.390625,2.429688,1.909534,219200
2000-01-11,2.445313,2.500000,2.445313,2.476563,1.946372,100800
2000-01-12,2.476563,2.476563,2.476563,2.476563,1.946372,14400
2000-01-13,2.492188,2.503906,2.492188,2.503906,1.967863,51200
2000-01-14,2.496094,2.496094,2.484375,2.492188,1.958653,22400
2000-01-18,2.500000,2.500000,2.484375,2.484375,1.952512,78400
2000-01-19,2.476563,2.476563,2.453125,2.460938,1.934093,300800
2000-01-20,2.468750,2.476563,2.468750,2.476563,1.946372,67200
2000-01-21,2.460938,2.460938,2.359375,2.359375,1.854273,588800
2000-01-24,2.343750,2.343750,2.296875,2.296875,1.805154,176000
2000-01-25,2.304688,2.304688,2.242188,2.242188,1.762174,198400
2000-01-26,2.210938,2.218750,2.164063,2.218750,1.743753,849600
2000-01-27,2.234375,2.234375,2.187500,2.187500,1.719193,24000
2000-01-28,2.187500,2.203125,2.078125,2.093750,1.645514,230400
2000-01-31,2.148438,2.156250,2.136719,2.144531,1.685423,617600
2000-02-01,2.144531,2.179688,2.128906,2.164063,1.700774,208000
2000-02-02,2.156250,2.187500,2.140625,2.171875,1.706913,150400
2000-02-03,2.218750,2.320313,2.203125,2.289063,1.799013,433600
2000-02-04,2.289063,2.394531,2.289063,2.335938,1.835853,320000
2000-02-07,2.335938,2.515625,2.335938,2.468750,1.947005,448000
2000-02-08,2.484375,2.496094,2.433594,2.437500,1.922359,419200
2000-02-09,2.437500,2.437500,2.390625,2.390625,1.885390,180800
2000-02-10,2.375000,2.378906,2.312500,2.312500,1.823776,601600
2000-02-11,2.312500,2.312500,2.296875,2.296875,1.811453,27200
2000-02-14,2.281250,2.285156,2.269531,2.269531,1.789889,43200
2000-02-15,2.253906,2.253906,2.136719,2.136719,1.685145,214400
2000-02-16,2.125000,2.140625,2.062500,2.117188,1.669742,249600
2000-02-17,2.101563,2.242188,2.085938,2.242188,1.768324,177600
2000-02-18,2.242188,2.242188,2.210938,2.210938,1.743678,136000
2000-02-22,2.195313,2.195313,2.125000,2.125000,1.675903,115200
2000-02-23,2.109375,2.109375,2.023438,2.023438,1.595805,174400
2000-02-24,2.007813,2.015625,1.988281,2.015625,1.589643,64000
2000-02-25,2.007813,2.007813,1.953125,1.953125,1.540352,59200
2000-02-28,1.953125,2.019531,1.953125,2.019531,1.592724,76800
2000-02-29,2.031250,2.062500,1.992188,2.062500,1.626612,302400
2000-03-01,2.062500,2.062500,2.031250,2.062500,1.626612,132800
2000-03-02,2.046875,2.046875,2.035156,2.035156,1.605047,19200
2000-03-03,2.050781,2.058594,2.046875,2.058594,1.623531,150400
2000-03-06,2.046875,2.058594,1.996094,1.996094,1.574240,62400
2000-03-07,1.988281,2.039063,1.988281,2.039063,1.608127,60800
2000-03-08,2.054688,2.062500,2.023438,2.023438,1.595805,1332800
2000-03-09,2.015625,2.058594,2.007813,2.058594,1.623531,193600
2000-03-10,2.058594,2.062500,2.058594,2.062500,1.626612,244800
2000-03-13,2.058594,2.058594,2.015625,2.023438,1.595805,44800
2000-03-14,2.023438,2.085938,2.023438,2.085938,1.645096,652800
2000-03-15,2.078125,2.132813,2.066406,2.132813,1.682064,116800
2000-03-16,2.140625,2.265625,2.140625,2.265625,1.786808,100800
2000-03-17,2.242188,2.304688,2.242188,2.304688,1.817615,56000
2000-03-20,2.292969,2.320313,2.289063,2.320313,1.829939,51200
2000-03-21,2.312500,2.320313,2.296875,2.296875,1.811453,182400
2000-03-22,2.289063,2.355469,2.281250,2.343750,1.848422,192000
2000-03-23,2.343750,2.375000,2.343750,2.375000,1.873067,105600
2000-03-24,2.375000,2.437500,2.375000,2.437500,1.922359,521600
2000-03-27,2.437500,2.492188,2.437500,2.441406,1.925440,660800
2000-03-28,2.445313,2.468750,2.437500,2.445313,1.928521,411200
2000-03-29,2.445313,2.445313,2.421875,2.433594,1.919279,382400
2000-03-30,2.425781,2.453125,2.421875,2.453125,1.934682,132800
2000-03-31,2.441406,2.441406,2.402344,2.417969,1.906957,628800
2000-04-03,2.410156,2.441406,2.410156,2.437500,1.922359,38400
2000-04-04,2.441406,2.445313,2.437500,2.437500,1.922359,27200
2000-04-05,2.437500,2.476563,2.425781,2.476563,1.953167,260800
2000-04-06,2.492188,2.500000,2.445313,2.460938,1.940843,148800
2000-04-07,2.472656,2.472656,2.453125,2.472656,1.950085,36800
2000-04-10,2.468750,2.507813,2.464844,2.507813,1.977812,81600
2000-04-11,2.507813,2.531250,2.503906,2.515625,1.983973,97600
2000-04-12,2.500000,2.500000,2.468750,2.476563,1.953167,150400
2000-04-13,2.437500,2.453125,2.437500,2.437500,1.922359,491200
2000-04-14,2.437500,2.437500,2.375000,2.402344,1.894634,488000
2000-04-17,2.402344,2.417969,2.375000,2.417969,1.906957,555200
2000-04-18,2.410156,2.437500,2.386719,2.386719,1.882311,190400
2000-04-19,2.402344,2.414063,2.402344,2.402344,1.894634,43200
2000-04-20,2.406250,2.421875,2.398438,2.417969,1.906957,52800
2000-04-24,2.410156,2.421875,2.382813,2.414063,1.903875,86400
2000-04-25,2.425781,2.527344,2.382813,2.476563,1.953167,332800
2000-04-26,2.496094,2.570313,2.496094,2.562500,2.020941,164800
2000-04-27,2.570313,2.621094,2.539063,2.550781,2.011699,308800
2000-04-28,2.539063,2.550781,2.468750,2.507813,1.977812,547200
2000-05-01,2.523438,2.558594,2.515625,2.527344,1.993215,128000
2000-05-02,2.511719,2.558594,2.500000,2.539063,2.002458,196800
2000-05-03,2.539063,2.539063,2.484375,2.515625,1.990342,81600
2000-05-04,2.562500,2.562500,2.523438,2.531250,2.002705,192000
2000-05-05,2.546875,2.554688,2.519531,2.519531,1.993433,27200
2000-05-08,2.503906,2.519531,2.500000,2.515625,1.990342,65600
2000-05-09,2.531250,2.531250,2.507813,2.523438,1.996523,390400
2000-05-10,2.507813,2.507813,2.468750,2.468750,1.953255,52800
2000-05-11,2.484375,2.523438,2.484375,2.523438,1.996523,220800
2000-05-12,2.507813,2.554688,2.507813,2.539063,2.008887,67200
2000-05-15,2.578125,2.687500,2.562500,2.687500,2.126328,566400
2000-05-16,2.687500,2.726563,2.656250,2.695313,2.132510,312000
2000-05-17,2.679688,2.757813,2.679688,2.750000,2.175777,284800
2000-05-18,2.742188,2.750000,2.722656,2.742188,2.169597,497600
2000-05-19,2.742188,2.746094,2.734375,2.738281,2.166505,224000
2000-05-22,2.738281,2.781250,2.738281,2.773438,2.194321,160000
2000-05-23,2.781250,2.781250,2.753906,2.753906,2.178868,81600
2000-05-24,2.761719,2.765625,2.746094,2.761719,2.185049,99200
2000-05-25,2.753906,2.796875,2.753906,2.773438,2.194321,417600
2000-05-26,2.769531,2.843750,2.769531,2.835938,2.243772,433600
2000-05-30,2.851563,2.890625,2.851563,2.882813,2.280858,248000
2000-05-31,2.890625,2.914063,2.867188,2.914063,2.305584,172800
2000-06-01,2.914063,2.953125,2.914063,2.953125,2.336489,224000
2000-06-02,2.968750,2.968750,2.929688,2.929688,2.317945,155200
2000-06-05,2.914063,2.937500,2.898438,2.921875,2.311764,177600
2000-06-06,2.921875,2.921875,2.906250,2.921875,2.311764,28800
2000-06-07,2.921875,2.945313,2.906250,2.937500,2.324126,132800
2000-06-08,2.953125,2.968750,2.941406,2.941406,2.327217,54400
2000-06-09,2.957031,2.980469,2.937500,2.980469,2.358123,292800
2000-06-12,2.996094,2.996094,2.964844,2.992188,2.367395,57600
2000-06-13,2.984375,3.000000,2.941406,3.000000,2.373576,184000
2000-06-14,3.000000,3.113281,3.000000,3.093750,2.447751,430400
2000-06-15,3.089844,3.167969,3.089844,3.132813,2.478657,80000
2000-06-16,3.136719,3.136719,3.121094,3.132813,2.478657,712000
2000-06-19,3.117188,3.117188,3.093750,3.117188,2.466294,57600
2000-06-20,3.117188,3.117188,3.093750,3.093750,2.447751,60800
2000-06-21,3.101563,3.117188,3.097656,3.117188,2.466294,259200
2000-06-22,3.117188,3.117188,3.089844,3.089844,2.444660,352000
2000-06-23,3.085938,3.085938,3.085938,3.085938,2.441570,44800
2000-06-26,3.093750,3.125000,3.093750,3.121094,2.469384,73600
2000-06-27,3.128906,3.128906,3.093750,3.113281,2.463202,185600
2000-06-28,3.113281,3.167969,3.113281,3.167969,2.506471,212800
2000-06-29,3.164063,3.261719,3.148438,3.261719,2.580646,171200
