Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.062500,5.101563,5.046875,5.062500,4.015993,255200
2000-01-03,5.078125,5.078125,4.820313,4.835938,3.836265,675200
2000-01-04,4.867188,4.921875,4.828125,4.835938,3.836265,613600
2000-01-05,4.859375,4.937500,4.843750,4.859375,3.854856,428000
2000-01-06,4.859375,4.867188,4.781250,4.796875,3.805277,706400
2000-01-07,4.804688,4.937500,4.804688,4.929688,3.910635,3228800
2000-01-10,4.937500,4.968750,4.851563,4.875000,3.867252,889600
2000-01-11,4.875000,4.937500,4.859375,4.859375,3.854856,2004000
2000-01-12,4.867188,4.906250,4.843750,4.851563,3.848659,694400
2000-01-13,4.882813,4.898438,4.867188,4.882813,3.873447,602400
2000-01-14,4.890625,4.906250,4.843750,4.843750,3.842461,864800
2000-01-18,4.859375,4.859375,4.726563,4.757813,3.774291,904800
2000-01-19,4.750000,4.773438,4.656250,4.703125,3.730907,843200
2000-01-20,4.726563,4.742188,4.671875,4.679688,3.712314,1096000
2000-01-21,4.687500,4.734375,4.671875,4.671875,3.706116,1508000
2000-01-24,4.734375,4.734375,4.562500,4.570313,3.625550,1733600
2000-01-25,4.578125,4.578125,4.398438,4.460938,3.538785,1386400
2000-01-26,4.445313,4.500000,4.406250,4.437500,3.520193,764000
2000-01-27,4.437500,4.468750,4.312500,4.343750,3.445822,1005600
2000-01-28,4.320313,4.320313,4.195313,4.226563,3.367394,1021600
2000-01-31,4.250000,4.328125,4.164063,4.203125,3.348720,1460000
2000-02-01,4.234375,4.234375,3.906250,4.054688,3.230457,3586400
2000-02-02,4.093750,4.140625,4.031250,4.062500,3.236681,2112000
2000-02-03,4.125000,4.250000,4.109375,4.187500,3.336271,1642400
2000-02-04,4.218750,4.281250,4.125000,4.140625,3.298925,574400
2000-02-07,4.125000,4.140625,4.070313,4.085938,3.255355,672800
2000-02-08,4.109375,4.187500,4.062500,4.125000,3.286476,1793600
2000-02-09,4.125000,4.187500,4.125000,4.164063,3.317599,1509600
2000-02-10,4.132813,4.257813,4.132813,4.203125,3.348720,2168800
2000-02-11,4.234375,4.257813,4.164063,4.164063,3.317599,1455200
2000-02-14,4.156250,4.250000,4.132813,4.210938,3.354945,1676000
2000-02-15,4.226563,4.265625,4.164063,4.250000,3.386067,1344800
2000-02-16,4.234375,4.242188,4.117188,4.117188,3.280252,1183200
2000-02-17,4.140625,4.140625,4.015625,4.023438,3.205560,1260000
2000-02-18,4.054688,4.054688,3.929688,3.929688,3.130867,1137600
2000-02-22,3.937500,3.937500,3.882813,3.937500,3.137091,1024000
2000-02-23,3.929688,3.929688,3.843750,3.875000,3.087296,901600
2000-02-24,3.843750,3.855469,3.718750,3.757813,2.993931,931200
2000-02-25,3.789063,3.875000,3.718750,3.875000,3.087296,1556000
2000-02-28,3.867188,3.898438,3.765625,3.882813,3.093521,770400
2000-02-29,3.875000,4.000000,3.820313,4.000000,3.186887,1099200
2000-03-01,3.984375,4.085938,3.937500,4.062500,3.236681,864800
2000-03-02,4.031250,4.148438,4.031250,4.125000,3.286476,984000
2000-03-03,4.156250,4.156250,4.062500,4.078125,3.249130,835200
2000-03-06,4.109375,4.187500,4.062500,4.085938,3.255355,757600
2000-03-07,4.085938,4.101563,3.984375,3.992188,3.180661,1052800
2000-03-08,4.000000,4.023438,3.906250,3.914063,3.118418,1135200
2000-03-09,3.914063,3.914063,3.851563,3.875000,3.087296,1499200
2000-03-10,3.875000,4.046875,3.875000,3.968750,3.161989,895200
2000-03-13,3.875000,4.140625,3.875000,4.054688,3.230457,1528800
2000-03-14,4.062500,4.210938,4.031250,4.070313,3.242906,1523200
2000-03-15,4.070313,4.218750,4.062500,4.156250,3.311373,2005600
2000-03-16,4.203125,4.398438,4.203125,4.343750,3.460759,1399200
2000-03-17,4.320313,4.578125,4.320313,4.562500,3.635043,1548800
2000-03-20,4.468750,4.656250,4.468750,4.523438,3.603921,2226400
2000-03-21,4.531250,4.625000,4.531250,4.593750,3.659940,712800
2000-03-22,4.593750,4.617188,4.562500,4.570313,3.641268,932800
2000-03-23,4.570313,4.656250,4.570313,4.656250,3.709735,1037600
2000-03-24,4.687500,4.710938,4.500000,4.609375,3.672389,1801600
2000-03-27,4.609375,4.609375,4.507813,4.523438,3.603921,840000
2000-03-28,4.539063,4.554688,4.500000,4.507813,3.591472,704800
2000-03-29,4.507813,4.507813,4.382813,4.390625,3.498104,2152000
2000-03-30,4.390625,4.546875,4.390625,4.539063,3.616369,1391200
2000-03-31,4.578125,4.921875,4.562500,4.921875,3.921363,2086400
2000-04-03,4.921875,4.921875,4.703125,4.742188,3.778203,845600
2000-04-04,4.781250,4.867188,4.625000,4.656250,3.709735,1016000
2000-04-05,4.625000,4.851563,4.625000,4.828125,3.846671,632800
2000-04-06,4.851563,4.953125,4.851563,4.906250,3.908916,979200
2000-04-07,4.921875,4.929688,4.882813,4.914063,3.915139,763200
2000-04-10,4.937500,5.062500,4.937500,4.953125,3.946262,1104000
2000-04-11,4.953125,5.000000,4.859375,5.000000,3.983608,883200
2000-04-12,5.015625,5.234375,4.984375,5.203125,4.145442,2040800
2000-04-13,5.171875,5.171875,5.039063,5.109375,4.070751,1344000
2000-04-14,5.125000,5.125000,4.843750,4.867188,3.877793,872000
2000-04-17,4.875000,4.968750,4.734375,4.734375,3.771978,1449600
2000-04-18,4.750000,4.921875,4.750000,4.898438,3.902690,1019200
2000-04-19,4.968750,5.117188,4.906250,4.984375,3.971158,929600
2000-04-20,4.984375,5.007813,4.882813,4.945313,3.940036,785600
2000-04-24,4.953125,4.953125,4.898438,4.914063,3.915139,692000
