Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.509727,17.655642,17.509727,17.655642,8.386606,577094
2000-01-03,17.509727,17.850195,17.071983,17.801556,8.455921,2137855
2000-01-04,17.315174,17.607004,17.266537,17.461088,8.294195,2797317
2000-01-05,17.412451,17.509727,17.120623,17.169262,8.155574,1535704
2000-01-06,17.120623,17.704281,17.023346,17.655642,8.386606,1984811
2000-01-07,18.433851,18.579767,17.898832,18.044746,8.571441,1704424
2000-01-10,18.044746,18.531128,17.704281,17.898832,8.502130,1190039
2000-01-11,17.607004,18.628405,17.607004,18.482491,8.779366,1663047
2000-01-12,18.336576,19.017509,18.336576,18.531128,8.802473,1801185
2000-01-13,18.336576,18.433851,17.898832,17.996109,8.548339,957068
2000-01-14,17.801556,17.850195,17.315174,17.412451,8.271097,2087868
2000-01-18,17.412451,17.607004,17.169262,17.461088,8.294195,1923388
2000-01-19,17.266537,17.752918,17.266537,17.704281,8.409716,1766104
2000-01-20,17.607004,18.044746,17.509727,17.947472,8.525231,2137469
2000-01-21,18.044746,18.287937,17.655642,17.996109,8.548339,1999717
2000-01-24,17.947472,18.093386,17.412451,17.509727,8.317301,1012194
2000-01-25,17.315174,17.607004,17.071983,17.071983,8.109364,1581578
2000-01-26,16.926069,17.169262,16.342413,16.536964,7.928959,2252220
2000-01-27,16.926069,17.023346,16.293774,16.391050,7.858998,1275491
2000-01-28,16.391050,16.391050,15.856031,16.099222,7.719074,1269323
2000-01-31,16.099222,16.926069,15.612840,16.682878,7.998923,1295537
2000-02-01,16.439690,16.536964,16.099222,16.391050,7.858998,1287570
2000-02-02,16.196499,16.342413,15.175097,15.758755,7.555828,1705195
2000-02-03,15.758755,16.245136,15.466926,16.001945,7.672436,2156873
2000-02-04,16.001945,16.391050,15.856031,16.342413,7.835672,1851557
2000-02-07,16.342413,16.342413,15.710117,15.953307,7.649115,1153159
2000-02-08,15.953307,16.001945,15.710117,16.001945,7.672436,863006
2000-02-09,15.953307,16.001945,15.418288,15.466926,7.415906,1972860
2000-02-10,15.466926,15.807393,14.737354,14.834630,7.112745,2190797
2000-02-11,15.029183,15.175097,14.445525,14.688716,7.042781,1722800
2000-02-14,14.785992,14.931907,14.250973,14.445525,6.926180,1131057
2000-02-15,14.445525,14.883268,14.153696,14.445525,6.926180,2673700
2000-02-16,14.445525,14.542802,13.910506,14.202335,6.809575,3824802
2000-02-17,14.494163,14.542802,13.813230,13.910506,6.669656,1990850
2000-02-18,13.618677,14.007782,13.521401,13.910506,6.669656,3808611
2000-02-22,13.229572,14.105058,13.229572,13.910506,6.669656,1707380
2000-02-23,13.764591,13.861868,13.083658,13.132296,6.296524,1575924
2000-02-24,13.132296,13.180934,12.354086,12.743191,6.109963,2493928
2000-02-25,13.180934,13.180934,12.451362,12.548638,6.016679,1703268
2000-02-28,12.548638,12.986381,12.500000,12.791829,6.133285,1461431
2000-02-29,12.743191,13.132296,12.500000,12.743191,6.109963,1978771
2000-03-01,12.937743,13.229572,12.791829,13.035019,6.249886,2955886
2000-03-02,13.035019,13.132296,12.451362,12.548638,6.016679,4040939
2000-03-03,12.548638,13.035019,12.500000,12.645914,6.063322,3416301
2000-03-06,12.597276,12.645914,12.208171,12.451362,5.970039,3329050
2000-03-07,12.354086,12.451362,11.819066,12.062257,5.783474,5724675
2000-03-08,11.867704,12.451362,11.867704,12.305447,5.900076,2210200
2000-03-09,12.354086,12.402724,12.062257,12.305447,5.900076,1788078
2000-03-10,12.159533,12.402724,11.867704,12.159533,5.830117,2331890
2000-03-13,12.256809,12.256809,11.770428,12.062257,5.783474,1626168
2000-03-14,12.159533,12.208171,11.964981,12.159533,5.830117,1759165
2000-03-15,11.964981,12.256809,11.721790,12.159533,5.830117,4243456
2000-03-16,12.305447,13.618677,12.305447,13.278210,6.366487,3600185
2000-03-17,13.667315,13.667315,13.229572,13.229572,6.343168,2374552
2000-03-20,13.424125,13.667315,13.278210,13.618677,6.529733,1590830
2000-03-21,13.472763,13.959144,13.472763,13.764591,6.599692,1726655
2000-03-22,13.618677,14.202335,13.521401,13.813230,6.623014,2365942
2000-03-23,13.618677,14.007782,13.424125,13.424125,6.436449,4352552
2000-03-24,13.424125,13.521401,12.645914,12.791829,6.133285,3846647
2000-03-27,12.889105,12.889105,12.305447,12.451362,5.970039,2304648
2000-03-28,12.451362,12.451362,11.867704,12.256809,5.876758,3697973
2000-03-29,12.451362,13.035019,12.354086,12.937743,6.203245,1782552
2000-03-30,13.521401,14.591440,13.472763,14.202335,6.809575,3508436
2000-03-31,14.785992,14.785992,14.105058,14.105058,6.762935,3257861
2000-04-03,14.105058,14.640078,14.105058,14.494163,6.949499,1591087
2000-04-04,14.737354,15.029183,14.250973,14.737354,7.066102,1806839
2000-04-05,14.591440,15.175097,14.591440,14.834630,7.112745,1483790
2000-04-06,14.834630,15.029183,14.445525,14.640078,7.019460,886008
2000-04-07,14.348249,14.688716,14.299611,14.591440,6.996140,1686434
2000-04-10,14.737354,14.737354,14.250973,14.348249,6.879536,2123206
2000-04-11,14.445525,15.272374,14.396887,15.077821,7.229347,1855926
2000-04-12,14.785992,15.710117,14.785992,15.466926,7.415906,1840891
2000-04-13,15.466926,15.904669,15.077821,15.564202,7.462549,1576181
2000-04-14,15.710117,15.710117,14.834630,14.931907,7.159382,1924159
2000-04-17,14.834630,15.272374,14.834630,15.077821,7.229347,1926857
2000-04-18,15.175097,15.321012,15.029183,15.126459,7.252668,978399
2000-04-19,15.077821,15.175097,14.640078,14.785992,7.089420,1131314
2000-04-20,14.785992,14.931907,14.469844,14.737354,7.066102,1024145
2000-04-24,14.640078,15.418288,14.640078,15.418288,7.392589,2291798
2000-04-25,15.321012,15.612840,15.126459,15.466926,7.415906,1682065
2000-04-26,15.223735,15.515564,15.175097,15.418288,7.469253,1671400
2000-04-27,15.223735,15.321012,15.029183,15.126459,7.327882,1346295
2000-04-28,14.931907,15.126459,14.640078,14.688716,7.115820,1522725
2000-05-01,14.688716,15.564202,14.688716,15.321012,7.422128,1478136
2000-05-02,15.223735,15.321012,15.029183,15.126459,7.327882,1587746
2000-05-03,15.369650,16.196499,15.369650,15.904669,7.704874,2449724
2000-05-04,15.904669,16.196499,15.661479,16.147860,7.822688,1263798
2000-05-05,15.953307,16.245136,15.856031,16.001945,7.752004,980840
2000-05-08,16.147860,16.391050,15.953307,16.293774,7.893375,1600725
2000-05-09,16.439690,16.974709,16.293774,16.877432,8.176126,2310559
2000-05-10,16.731518,16.877432,16.585604,16.682878,8.081878,1178345
2000-05-11,16.877432,16.877432,16.634241,16.634241,8.058315,752753
2000-05-12,16.828794,16.877432,16.585604,16.877432,8.176126,897573
2000-05-15,16.974709,17.120623,16.634241,16.682878,8.081878,1062310
2000-05-16,16.780155,16.974709,16.634241,16.926069,8.199686,834351
2000-05-17,16.682878,16.731518,16.196499,16.634241,8.058315,1540330
2000-05-18,16.585604,16.731518,16.342413,16.585604,8.034752,903098
2000-05-19,16.682878,16.828794,16.342413,16.634241,8.058315,1154444
