Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.937500,32.125000,30.750000,32.125000,24.319046,260200
2000-01-03,31.687500,32.125000,30.000000,30.531250,23.112553,1084800
2000-01-04,30.437500,30.875000,29.937500,30.500000,23.088896,983500
2000-01-05,30.562500,30.562500,29.812500,30.062500,22.757704,701200
2000-01-06,29.875000,29.937500,28.187500,29.000000,21.953375,843300
2000-01-07,29.500000,30.500000,29.000000,30.500000,23.088896,597200
2000-01-10,32.750000,34.125000,31.750000,31.937500,24.177095,1136600
2000-01-11,32.187500,32.250000,30.250000,30.437500,23.041582,450600
2000-01-12,31.125000,31.125000,29.687500,30.000000,22.710388,471800
2000-01-13,30.125000,30.250000,29.937500,30.000000,22.710388,1046000
2000-01-14,30.125000,30.250000,28.500000,28.875000,21.858747,1402600
2000-01-18,29.031250,30.250000,29.000000,30.062500,22.757704,1920200
2000-01-19,30.250000,30.500000,29.312500,30.000000,22.710388,1027100
2000-01-20,30.062500,30.250000,29.687500,30.187500,22.852333,1357500
2000-01-21,30.375000,31.312500,30.250000,31.000000,23.467405,2206200
2000-01-24,31.500000,35.625000,31.500000,34.125000,25.833067,2574500
2000-01-25,34.375000,34.375000,33.000000,33.750000,25.549191,1161100
2000-01-26,33.781250,34.250000,33.500000,34.000000,25.738443,1422300
2000-01-27,34.250000,34.375000,32.625000,32.875000,24.886805,1616200
2000-01-28,33.000000,33.937500,32.187500,33.125000,25.076054,1236000
2000-01-31,32.875000,33.250000,30.250000,31.625000,23.940536,970700
2000-02-01,31.437500,32.375000,31.312500,31.875000,24.129789,1085900
2000-02-02,31.937500,33.250000,31.875000,33.250000,25.170679,1175200
2000-02-03,33.437500,33.750000,33.062500,33.062500,25.028744,2666500
2000-02-04,33.250000,33.250000,31.375000,32.093750,24.295387,730500
2000-02-07,32.125000,32.125000,31.250000,31.625000,23.940536,949200
2000-02-08,31.562500,32.375000,31.500000,32.375000,24.508299,1040500
2000-02-09,32.875000,33.875000,32.625000,33.812500,25.596500,2288000
2000-02-10,33.875000,40.125000,33.812500,39.937500,30.233202,2879400
2000-02-11,39.375000,39.500000,35.375000,38.968750,29.499849,2731600
2000-02-14,38.937500,39.000000,35.750000,36.937500,27.962166,1256700
2000-02-15,37.000000,37.000000,34.687500,35.750000,27.063204,1697000
2000-02-16,36.000000,36.000000,34.000000,34.062500,25.785757,755900
2000-02-17,34.375000,35.250000,33.375000,33.687500,25.501873,1919400
2000-02-18,34.125000,34.125000,32.375000,32.750000,24.792173,1610600
2000-02-22,33.062500,34.000000,32.875000,33.562500,25.407246,888900
2000-02-23,33.875000,34.125000,31.500000,31.812500,24.082478,1781000
2000-02-24,32.375000,32.625000,31.750000,32.125000,24.319046,1451000
2000-02-25,33.125000,34.000000,32.500000,33.125000,25.076054,1500000
2000-02-28,33.562500,33.875000,30.250000,31.375000,23.751282,1745600
2000-02-29,31.625000,33.000000,31.000000,32.250000,24.413671,3442800
2000-03-01,33.125000,33.625000,32.375000,33.375000,25.265312,6139900
2000-03-02,34.500000,40.625000,34.500000,40.000000,30.280521,5387300
2000-03-03,39.875000,42.625000,37.875000,42.437500,32.125732,2669800
2000-03-06,42.687500,42.687500,40.250000,40.687500,30.800966,2229000
2000-03-07,40.875000,41.125000,39.875000,40.062500,30.327831,3402000
2000-03-08,40.125000,40.125000,39.125000,39.750000,30.091263,2693000
2000-03-09,39.875000,41.187500,39.500000,40.812500,30.895594,5372400
2000-03-10,41.000000,41.937500,40.875000,41.500000,31.416044,5832800
2000-03-13,40.875000,42.375000,39.875000,41.500000,31.416044,3704300
2000-03-14,41.875000,41.875000,40.750000,41.000000,31.037525,2173900
2000-03-15,40.687500,40.750000,39.375000,40.062500,30.327831,2546400
2000-03-16,39.875000,40.375000,39.812500,40.312500,30.517088,1027000
2000-03-17,40.312500,42.125000,39.000000,40.500000,30.659018,2675200
2000-03-20,42.000000,42.187500,39.750000,40.000000,30.280521,1415200
2000-03-21,40.375000,40.375000,39.500000,39.750000,30.091263,849600
2000-03-22,40.375000,42.187500,40.000000,41.875000,31.699924,869000
2000-03-23,41.812500,44.750000,41.500000,42.250000,31.983789,2041200
2000-03-24,42.500000,43.125000,40.000000,41.625000,31.510674,1149200
2000-03-27,42.000000,42.000000,39.500000,39.937500,30.233202,980200
2000-03-28,39.687500,39.750000,37.750000,38.500000,29.145008,851300
2000-03-29,39.250000,39.875000,37.562500,37.875000,28.671873,686200
2000-03-30,37.875000,37.875000,35.875000,36.000000,27.252470,1376800
2000-03-31,36.562500,38.250000,36.500000,37.875000,28.671873,1088700
2000-04-03,38.250000,38.250000,33.375000,33.500000,25.359938,1629600
2000-04-04,34.187500,35.500000,29.625000,34.250000,25.927694,1524900
2000-04-05,33.375000,36.000000,33.000000,35.375000,26.779337,1024600
2000-04-06,35.875000,40.375000,35.750000,39.375000,29.807388,1550600
2000-04-07,39.125000,40.250000,38.500000,38.500000,29.145008,1226700
2000-04-10,38.687500,39.875000,38.000000,39.812500,30.138584,1294700
2000-04-11,39.875000,39.875000,36.625000,36.750000,27.820230,1151400
2000-04-12,36.500000,37.000000,33.562500,33.562500,25.407246,906000
2000-04-13,34.000000,35.625000,33.625000,35.000000,26.495445,652600
2000-04-14,34.375000,34.437500,32.562500,32.875000,24.886805,1028400
2000-04-17,32.187500,32.781250,29.250000,32.250000,24.413671,1106900
2000-04-18,32.375000,36.625000,32.375000,36.000000,27.252470,673000
2000-04-19,36.375000,36.859375,35.000000,35.562500,26.921276,953700
2000-04-20,35.375000,36.000000,33.000000,33.937500,25.691132,1569600
2000-04-24,33.375000,33.812500,31.750000,33.812500,25.596500,771600
2000-04-25,34.062500,34.875000,33.375000,33.812500,25.596500,168300
2000-04-26,34.000000,39.000000,33.125000,37.750000,28.577242,1458600
2000-04-27,37.125000,39.750000,35.500000,38.125000,28.861130,763000
2000-04-28,38.000000,40.000000,37.750000,38.375000,29.050373,838800
2000-05-01,38.812500,39.000000,37.437500,37.812500,28.624556,705700
2000-05-02,37.812500,38.312500,37.000000,37.125000,28.104111,1001300
2000-05-03,36.750000,37.812500,31.750000,33.000000,24.981432,1702600
2000-05-04,34.875000,37.000000,34.375000,36.750000,27.820230,1046200
2000-05-05,37.000000,37.000000,34.500000,34.875000,26.400827,982700
2000-05-08,35.125000,35.500000,32.500000,33.125000,25.076054,622900
2000-05-09,33.625000,34.375000,30.312500,31.875000,24.129789,826200
2000-05-10,32.125000,32.187500,30.000000,30.125000,22.805016,614100
2000-05-11,30.500000,30.562500,27.750000,29.687500,22.473820,870800
2000-05-12,29.781250,30.312500,29.250000,29.875000,22.615759,1349900
2000-05-15,29.500000,29.875000,28.875000,29.750000,22.521133,966400
2000-05-16,29.750000,32.000000,29.750000,31.250000,23.656658,1631300
2000-05-17,31.000000,31.062500,30.125000,30.625000,23.183521,779300
2000-05-18,30.531250,30.625000,29.500000,29.750000,22.521133,473100
2000-05-19,29.750000,33.000000,27.687500,28.156250,21.314651,668200
2000-05-22,28.375000,28.500000,25.250000,26.562500,20.108160,1373000
2000-05-23,26.250000,26.750000,25.062500,25.125000,19.019953,685400
2000-05-24,24.937500,25.000000,23.062500,24.500000,18.546820,1788500
2000-05-25,24.375000,26.250000,23.812500,24.812500,18.783390,1446500
2000-05-26,24.625000,25.562500,23.875000,25.250000,19.114576,652300
2000-05-30,25.125000,27.250000,25.125000,27.000000,20.439348,1781800
2000-05-31,27.187500,27.500000,26.187500,26.187500,19.824278,306100
2000-06-01,27.000000,28.875000,26.500000,28.000000,21.196360,754100
2000-06-02,28.625000,31.000000,28.500000,30.750000,23.278145,864800
2000-06-05,30.250000,35.625000,30.125000,35.625000,26.968586,2863500
2000-06-06,37.375000,39.375000,35.875000,35.937500,27.205153,2624100
2000-06-07,36.187500,36.375000,34.062500,36.062500,27.299782,533400
2000-06-08,36.250000,37.875000,33.750000,33.937500,25.691132,767200
2000-06-09,34.250000,35.437500,34.000000,35.062500,26.542768,494900
2000-06-12,35.062500,35.125000,34.437500,35.000000,26.495445,524400
2000-06-13,35.062500,35.062500,34.625000,35.062500,26.542768,881300
2000-06-14,35.062500,35.125000,34.875000,35.000000,26.495445,714900
2000-06-15,35.000000,35.000000,33.000000,34.187500,25.880381,1261400
