Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.166668,16.166668,15.708333,15.958333,12.313758,785700
2000-01-03,16.145832,16.333332,15.062500,15.583333,12.024400,2333700
2000-01-04,15.208333,15.708333,14.000000,14.416667,11.124178,1063500
2000-01-05,14.250000,14.333333,13.625000,14.041667,10.834819,828900
2000-01-06,13.916667,15.041667,13.791667,14.583333,11.252780,1103100
2000-01-07,14.625000,14.625000,13.875000,14.125000,10.899123,738600
2000-01-10,15.229167,16.416668,14.958333,15.937500,12.297679,2340300
2000-01-11,16.166668,16.250000,14.333333,14.479167,11.172407,2114100
2000-01-12,14.625000,15.625000,14.291667,15.062500,11.622510,1530000
2000-01-13,15.312500,15.979167,15.270833,15.916667,12.281608,723600
2000-01-14,16.187500,16.541668,16.000000,16.270832,12.554886,985800
2000-01-18,16.041668,16.458332,15.645833,16.166668,12.474511,1712700
2000-01-19,16.333332,17.333332,16.291668,17.145832,13.230049,1823100
2000-01-20,17.343750,17.458332,16.458332,16.625000,12.828172,841200
2000-01-21,16.791668,16.916668,16.270832,16.541668,12.763870,815400
2000-01-24,16.666668,16.812500,16.062500,16.166668,12.474511,607500
2000-01-25,15.916667,16.000000,14.875000,15.229167,11.751117,748800
2000-01-26,15.187500,15.666667,14.958333,15.520833,11.976172,525000
2000-01-27,15.625000,16.578125,15.437500,15.520833,11.976172,489000
2000-01-28,15.437500,15.437500,14.291667,14.333333,11.059877,538500
2000-01-31,14.510417,14.520833,13.583333,14.375000,11.092025,901800
2000-02-01,14.354167,14.854167,13.958333,14.750000,11.381382,470400
2000-02-02,15.208333,16.000000,14.958333,15.625000,12.056550,592200
2000-02-03,16.114582,16.166668,15.250000,16.104168,12.426284,537600
2000-02-04,16.135418,16.458332,15.895833,16.166668,12.474511,561600
2000-02-07,16.479168,16.500000,15.666667,15.875000,12.249452,570900
2000-02-08,16.125000,16.125000,15.708333,15.937500,12.297679,324300
2000-02-09,16.000000,16.020832,15.125000,15.125000,11.670743,300600
2000-02-10,15.166667,15.541667,15.000000,15.541667,11.992250,316500
2000-02-11,15.541667,15.666667,15.354167,15.500000,11.960096,427800
2000-02-14,15.458333,15.541667,14.687500,14.812500,11.429607,360300
2000-02-15,14.822917,15.572917,14.651042,15.250000,11.767192,260400
2000-02-16,15.125000,15.125000,14.333333,14.416667,11.124178,394800
2000-02-17,14.625000,14.729167,13.770833,14.354167,11.075950,504000
