Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.625000,48.437500,47.562500,48.187500,37.510586,296200
2000-01-03,48.125000,48.187500,45.125000,46.187500,35.953728,886900
2000-01-04,45.250000,45.312500,42.875000,43.312500,33.715721,1221700
2000-01-05,43.312500,43.375000,41.750000,42.312500,32.937305,1361900
2000-01-06,42.312500,44.437500,42.062500,44.250000,34.445522,2482300
2000-01-07,44.250000,46.187500,43.125000,45.500000,35.418568,1206500
2000-01-10,45.500000,46.062500,44.875000,44.937500,34.980701,855800
2000-01-11,44.750000,45.500000,43.250000,43.500000,33.861717,1511400
2000-01-12,43.500000,44.500000,43.375000,44.062500,34.299572,1151400
2000-01-13,44.375000,45.437500,43.937500,45.187500,35.175293,417700
2000-01-14,46.187500,48.000000,45.875000,46.812500,36.440247,1260600
2000-01-18,44.000000,45.312500,42.000000,42.500000,33.083282,2612600
2000-01-19,43.750000,43.812500,42.750000,43.375000,33.764400,1942600
2000-01-20,43.187500,43.500000,42.000000,42.375000,32.985962,1163600
2000-01-21,43.187500,43.250000,40.812500,41.375000,32.207542,1324500
2000-01-24,41.312500,41.500000,40.875000,41.125000,32.012928,1058900
2000-01-25,41.000000,41.062500,40.000000,40.062500,31.185837,986100
2000-01-26,40.125000,42.625000,40.125000,41.937500,32.645416,1009300
2000-01-27,42.000000,43.125000,40.687500,41.500000,32.304840,1583200
2000-01-28,41.250000,41.250000,39.812500,40.062500,31.185837,539500
2000-01-31,39.250000,41.187500,39.187500,41.000000,31.915621,500800
2000-02-01,41.500000,41.562500,40.000000,40.187500,31.283155,628200
2000-02-02,40.750000,40.812500,39.250000,39.812500,30.991253,534400
2000-02-03,40.500000,40.812500,38.625000,39.125000,30.456081,865700
2000-02-04,40.125000,40.125000,38.500000,38.562500,30.018196,611000
2000-02-07,38.437500,39.312500,37.375000,37.937500,29.552374,910600
2000-02-08,38.375000,38.750000,36.937500,37.375000,29.114218,1017700
2000-02-09,37.000000,37.062500,34.812500,35.000000,27.264133,1668300
2000-02-10,35.000000,35.437500,33.000000,33.500000,26.095669,2143700
2000-02-11,33.500000,34.062500,32.500000,33.625000,26.193054,1962100
2000-02-14,33.375000,34.250000,33.000000,34.187500,26.631220,1369200
2000-02-15,34.437500,37.312500,34.062500,37.062500,28.870773,1852600
2000-02-16,38.250000,39.187500,37.000000,37.500000,29.211571,2593200
2000-02-17,37.750000,37.937500,36.625000,36.750000,28.627346,1183700
2000-02-18,36.000000,36.187500,33.250000,34.500000,26.874647,1183400
2000-02-22,35.437500,36.000000,32.812500,33.937500,26.436468,1872400
2000-02-23,35.000000,35.000000,32.750000,33.062500,25.754877,1563500
2000-02-24,33.250000,34.937500,32.062500,34.625000,26.972017,2271300
2000-02-25,34.687500,35.937500,34.312500,35.562500,27.702312,1607900
