Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.128841,18.128841,17.819151,17.914438,9.086991,586108
2000-01-03,17.723860,17.771505,17.247412,17.271235,8.760728,1862219
2000-01-04,17.104479,17.247412,16.842430,16.937721,8.591556,1472879
2000-01-05,17.033010,17.128300,16.461273,16.628031,8.434466,4075997
2000-01-06,16.675674,17.390347,16.485096,17.199766,8.724476,2719867
2000-01-07,17.342703,17.461815,17.152122,17.199766,8.724476,1762785
2000-01-10,17.271235,17.271235,16.985367,17.152122,8.700306,1504624
2000-01-11,17.152122,17.247412,16.961542,17.128300,8.688224,1113973
2000-01-12,17.033010,17.104479,16.723318,16.794786,8.519050,2253132
2000-01-13,17.009188,17.033010,16.770964,16.818609,8.531136,1937778
2000-01-14,16.818609,16.818609,16.389807,16.675674,8.458634,1109775
2000-01-18,16.604208,16.961542,16.604208,16.937721,8.591556,1537419
2000-01-19,17.080654,17.080654,16.628031,16.794786,8.519050,1476290
2000-01-20,16.723318,16.723318,16.151583,16.318338,8.277375,1220753
2000-01-21,16.461273,16.651852,16.103937,16.270695,8.253212,3327227
2000-01-24,16.413628,16.461273,15.818069,15.913358,8.071957,2305079
2000-01-25,16.032471,16.223049,15.698957,16.103937,8.168622,1500164
2000-01-26,16.199226,16.199226,15.532200,15.698957,7.963201,2370669
2000-01-27,15.698957,15.698957,15.222509,15.436910,7.830279,1421719
2000-01-28,15.413088,15.508377,14.960462,15.198686,7.709441,1373970
2000-01-31,15.151042,15.627489,14.960462,15.579845,7.902780,2060561
2000-02-01,15.579845,15.675134,15.222509,15.508377,7.866529,1687226
2000-02-02,15.436910,15.770424,15.174864,15.293976,7.757778,1265878
2000-02-03,15.293976,15.389266,14.984285,15.008107,7.612770,3274493
2000-02-04,14.912818,14.984285,14.650771,14.865173,7.540267,1904458
2000-02-07,15.246331,15.293976,15.079574,15.246331,7.733609,3260063
2000-02-08,15.460733,15.460733,14.722239,14.865173,7.540267,2183345
2000-02-09,15.151042,15.151042,14.436370,14.531659,7.371097,2013599
2000-02-10,14.555482,15.008107,14.412547,14.484015,7.346933,2925294
2000-02-11,14.579304,14.603127,14.126679,14.269613,7.238173,1501214
2000-02-14,14.293435,14.531659,14.079034,14.341080,7.274424,2618597
2000-02-15,14.436370,14.650771,14.388725,14.579304,7.395261,2552745
2000-02-16,14.436370,15.103397,14.364903,15.055752,7.705430,2294585
2000-02-17,14.984285,15.151042,14.912818,15.055752,7.705430,1993398
2000-02-18,15.436910,15.436910,14.507837,14.769883,7.559127,2608628
2000-02-22,14.722239,14.984285,14.626949,14.888995,7.620086,2752662
2000-02-23,14.841350,14.841350,14.198146,14.317258,7.327472,1451890
2000-02-24,14.221968,14.293435,13.745520,13.816988,7.071442,1428016
2000-02-25,14.007567,14.221968,13.697876,14.055212,7.193365,1366099
2000-02-28,14.198146,14.436370,13.840810,14.150501,7.242128,1779051
2000-02-29,13.816988,14.650771,13.816988,14.531659,7.437205,2259954
2000-03-01,14.579304,14.746061,14.102856,14.746061,7.546935,1948797
2000-03-02,14.650771,14.841350,14.245791,14.507837,7.425011,2347844
2000-03-03,14.579304,14.579304,14.269613,14.531659,7.437205,2870199
