Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.348958,1.348958,1.317708,1.338542,1.118405,253200
2000-01-03,1.338542,1.338542,1.218750,1.234375,1.031368,1306800
2000-01-04,1.223958,1.223958,1.192708,1.197917,1.000906,334800
2000-01-05,1.187500,1.223958,1.187500,1.218750,1.018313,363600
2000-01-06,1.213542,1.270833,1.208333,1.244792,1.040072,538800
2000-01-07,1.244792,1.296875,1.244792,1.296875,1.083590,388800
2000-01-10,1.307292,1.322917,1.250000,1.250000,1.044424,766800
2000-01-11,1.244792,1.244792,1.203125,1.203125,1.005258,723600
2000-01-12,1.203125,1.203125,1.182292,1.182292,0.987851,547200
2000-01-13,1.187500,1.187500,1.171875,1.187500,0.992203,1940400
2000-01-14,1.187500,1.208333,1.182292,1.208333,1.009610,1100400
2000-01-18,1.208333,1.291667,1.208333,1.270833,1.061831,1957200
2000-01-19,1.276042,1.291667,1.255208,1.265625,1.057479,2683200
2000-01-20,1.260417,1.270833,1.250000,1.270833,1.061831,1494000
2000-01-21,1.250000,1.307292,1.250000,1.276042,1.066183,1321200
2000-01-24,1.276042,1.281250,1.229167,1.229167,1.027017,886800
2000-01-25,1.229167,1.239583,1.218750,1.229167,1.027017,454800
2000-01-26,1.239583,1.390625,1.239583,1.312500,1.096645,1839600
2000-01-27,1.312500,1.317708,1.250000,1.255208,1.048775,788400
2000-01-28,1.250000,1.265625,1.239583,1.250000,1.044424,780000
2000-01-31,1.244792,1.250000,1.197917,1.229167,1.027017,507600
2000-02-01,1.239583,1.281250,1.239583,1.276042,1.066183,682800
2000-02-02,1.281250,1.286458,1.255208,1.276042,1.066183,357600
2000-02-03,1.286458,1.328125,1.286458,1.312500,1.096645,870000
2000-02-04,1.307292,1.322917,1.307292,1.307292,1.092294,1333200
2000-02-07,1.307292,1.317708,1.291667,1.307292,1.092294,320400
2000-02-08,1.286458,1.307292,1.276042,1.281250,1.070535,602400
2000-02-09,1.270833,1.286458,1.265625,1.265625,1.060238,282000
2000-02-10,1.265625,1.296875,1.239583,1.296875,1.086416,1009200
2000-02-11,1.296875,1.296875,1.270833,1.270833,1.064600,316800
2000-02-14,1.276042,1.281250,1.255208,1.260417,1.055874,613200
