Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.375000,20.000000,19.312500,19.937500,14.498981,3803800
2000-01-03,20.000000,20.093750,18.468750,18.906250,13.749034,6503000
2000-01-04,18.750000,19.093750,18.437500,18.750000,13.635406,5667000
2000-01-05,18.812500,19.968750,18.781250,19.781250,14.385357,5694000
2000-01-06,19.687500,19.687500,18.093750,18.375000,13.362696,7203200
2000-01-07,18.500000,18.875000,17.656250,18.812500,13.680851,6967000
2000-01-10,19.687500,19.968750,18.187500,18.781250,13.658133,8786400
2000-01-11,18.812500,19.437500,18.718750,18.843750,13.703585,6508400
2000-01-12,18.875000,19.031250,18.312500,18.812500,13.680851,4623800
2000-01-13,18.812500,18.843750,18.281250,18.437500,13.408149,5123000
2000-01-14,18.406250,18.406250,17.312500,17.937500,13.044534,13150200
2000-01-18,17.812500,18.218750,17.687500,18.000000,13.089988,5487000
2000-01-19,17.968750,18.125000,17.718750,17.906250,13.021811,4270800
2000-01-20,17.750000,17.781250,16.312500,16.859375,12.280391,9132000
2000-01-21,17.000000,17.468750,16.843750,17.250000,12.564924,7913600
2000-01-24,17.375000,17.593750,17.031250,17.218750,12.542158,6917600
2000-01-25,17.250000,17.468750,16.968750,17.000000,12.382817,3447000
2000-01-26,17.093750,17.437500,16.843750,17.031250,12.405585,3412200
2000-01-27,17.250000,17.250000,16.500000,16.718750,12.177964,2785400
2000-01-28,16.812500,17.875000,16.593750,17.406250,12.678729,4434400
2000-01-31,17.437500,17.500000,17.156250,17.468750,12.724259,3364800
2000-02-01,17.406250,17.531250,17.031250,17.531250,12.769787,3393400
2000-02-02,17.750000,19.000000,17.656250,18.375000,13.384371,7380000
2000-02-03,18.468750,19.468750,18.218750,18.875000,13.748571,4574200
2000-02-04,18.750000,19.250000,18.156250,18.250000,13.293321,5162200
2000-02-07,18.781250,18.781250,18.062500,18.218750,13.270561,4836600
2000-02-08,19.500000,20.437500,18.750000,20.000000,14.568016,15600200
2000-02-09,20.000000,20.000000,19.406250,19.500000,14.203822,8177600
2000-02-10,20.375000,20.750000,20.000000,20.312500,14.795652,9923200
2000-02-11,20.343750,20.343750,19.781250,19.812500,14.431444,4843200
2000-02-14,19.843750,20.031250,19.406250,19.937500,14.522501,4464000
