Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.684878,3.857068,3.667658,3.805411,2.849989,271139
2000-01-03,3.805411,3.805411,3.616001,3.650439,2.733925,840276
2000-01-04,3.684878,3.684878,3.374935,3.512687,2.630759,568774
2000-01-05,3.529906,3.581563,3.495468,3.564344,2.669445,502350
2000-01-06,3.547125,3.547125,3.374935,3.374935,2.527592,2483804
2000-01-07,3.409373,3.547125,3.392154,3.495468,2.617862,684924
2000-01-10,3.495468,3.564344,3.426592,3.564344,2.669445,581841
2000-01-11,3.564344,3.564344,3.323277,3.340496,2.501798,2928805
2000-01-12,3.340496,3.374935,3.288839,3.306058,2.476006,1210505
2000-01-13,3.374935,3.392154,3.288839,3.340496,2.501798,1182556
2000-01-14,3.357716,3.495468,3.271620,3.495468,2.617862,972034
2000-01-18,3.340496,3.357716,3.271620,3.323277,2.488904,883469
2000-01-19,3.374935,3.374935,3.202744,3.237182,2.424424,783289
2000-01-20,3.271620,3.271620,3.133868,3.237182,2.424424,1254061
2000-01-21,3.237182,3.237182,3.116649,3.202744,2.398633,1132103
2000-01-24,3.323277,3.340496,3.168306,3.202744,2.398633,1783272
2000-01-25,3.237182,3.237182,2.996115,3.030553,2.269673,1065680
2000-01-26,3.064992,3.168306,3.064992,3.082211,2.308361,1168037
2000-01-27,3.099430,3.202744,3.099430,3.116649,2.334153,1121214
2000-01-28,3.099430,3.133868,3.064992,3.064992,2.295466,1064954
2000-01-31,3.306058,3.306058,3.133868,3.202744,2.398633,1476562
2000-02-01,3.219963,3.219963,3.116649,3.151087,2.359945,1028657
2000-02-02,3.271620,3.271620,3.151087,3.202744,2.398633,1501970
2000-02-03,3.219963,3.426592,3.219963,3.357716,2.523378,2116841
2000-02-04,3.478249,3.478249,3.323277,3.340496,2.510436,895810
2000-02-07,3.409373,3.409373,3.340496,3.392154,2.549258,1001434
2000-02-08,3.392154,3.512687,3.374935,3.409373,2.562199,1262047
2000-02-09,3.564344,3.581563,3.409373,3.426592,2.575139,766230
2000-02-10,3.667658,3.667658,3.392154,3.409373,2.562199,1729915
2000-02-11,3.409373,3.409373,3.271620,3.323277,2.497496,681295
2000-02-14,3.323277,3.478249,3.323277,3.426592,2.575139,874395
2000-02-15,3.443811,3.478249,3.374935,3.426592,2.575139,1096169
2000-02-16,3.443811,3.443811,3.219963,3.219963,2.419854,1053702
2000-02-17,3.357716,3.426592,3.271620,3.271620,2.458676,1071124
2000-02-18,3.219963,3.288839,3.064992,3.271620,2.458676,1752782
2000-02-22,3.271620,3.271620,3.116649,3.237182,2.432795,818860
2000-02-23,3.185525,3.237182,3.099430,3.151087,2.368093,690006
2000-02-24,3.133868,3.185525,3.064992,3.082211,2.316331,626849
2000-02-25,3.151087,3.151087,3.099430,3.099430,2.329272,1208327
2000-02-28,3.099430,3.168306,3.064992,3.116649,2.342212,581478
2000-02-29,3.116649,3.133868,3.064992,3.099430,2.329272,821038
2000-03-01,3.133868,3.323277,3.133868,3.323277,2.497496,1351700
2000-03-02,3.306058,3.340496,3.288839,3.323277,2.497496,978204
2000-03-03,3.323277,3.443811,3.306058,3.340496,2.510436,670769
2000-03-06,3.340496,3.357716,3.185525,3.271620,2.458676,303080
2000-03-07,3.237182,3.254401,3.116649,3.116649,2.342212,831201
2000-03-08,3.099430,3.185525,3.099430,3.151087,2.368093,743726
2000-03-09,3.185525,3.288839,3.168306,3.288839,2.471616,467142
2000-03-10,3.237182,3.254401,3.151087,3.185525,2.393973,473313
2000-03-13,3.133868,3.306058,3.133868,3.185525,2.393973,618864
2000-03-14,3.254401,3.254401,3.099430,3.099430,2.329272,1324478
2000-03-15,3.116649,3.443811,3.116649,3.323277,2.497496,817045
2000-03-16,3.478249,3.874287,3.478249,3.788192,2.846887,3455111
2000-03-17,3.702097,3.770973,3.650439,3.684878,2.769246,958967
2000-03-20,3.702097,3.788192,3.684878,3.719316,2.795126,554981
2000-03-21,3.650439,3.702097,3.581563,3.684878,2.769246,888914
2000-03-22,3.702097,3.719316,3.529906,3.616001,2.717483,964774
2000-03-23,3.633220,3.857068,3.616001,3.753754,2.821007,1295440
2000-03-24,3.788192,3.857068,3.702097,3.702097,2.782186,672583
2000-03-27,3.702097,3.719316,3.581563,3.650439,2.743365,899803
2000-03-28,3.547125,3.633220,3.512687,3.581563,2.691603,596723
2000-03-29,3.581563,3.650439,3.461030,3.512687,2.639841,1022849
2000-03-30,3.495468,3.857068,3.461030,3.684878,2.769246,2905575
2000-03-31,3.581563,3.633220,3.564344,3.598782,2.704543,827572
2000-04-03,3.564344,3.702097,3.547125,3.650439,2.743365,839913
2000-04-04,3.616001,3.702097,3.443811,3.581563,2.691603,1194171
2000-04-05,3.495468,3.805411,3.478249,3.581563,2.691603,1660225
2000-04-06,3.650439,3.719316,3.581563,3.684878,2.769246,523766
2000-04-07,3.702097,3.839849,3.702097,3.736535,2.808067,944085
2000-04-10,3.719316,3.839849,3.616001,3.633220,2.730424,628301
2000-04-11,3.598782,3.702097,3.581563,3.616001,2.717483,409067
2000-04-12,3.616001,3.770973,3.598782,3.702097,2.782186,875484
2000-04-13,3.667658,3.770973,3.633220,3.770973,2.833947,1713581
2000-04-14,3.633220,3.667658,3.409373,3.478249,2.613961,1470754
2000-04-17,3.443811,3.443811,3.357716,3.374935,2.536319,1304877
2000-04-18,3.392154,3.564344,3.374935,3.512687,2.639841,1028657
2000-04-19,3.512687,3.529906,3.409373,3.512687,2.639841,405075
2000-04-20,3.512687,3.512687,3.357716,3.357716,2.523378,611967
2000-04-24,3.409373,3.581563,3.392154,3.529906,2.652781,1029020
2000-04-25,3.547125,3.702097,3.495468,3.598782,2.704543,1022849
2000-04-26,3.598782,3.684878,3.598782,3.633220,2.730424,757155
2000-04-27,3.633220,3.667658,3.581563,3.650439,2.743365,671132
2000-04-28,3.667658,3.667658,3.478249,3.564344,2.678661,565507
2000-05-01,3.633220,3.633220,3.564344,3.581563,2.691603,1172756
2000-05-02,3.581563,3.753754,3.564344,3.616001,2.717483,1048983
2000-05-03,3.633220,3.684878,3.495468,3.529906,2.652781,687828
2000-05-04,3.564344,3.633220,3.564344,3.633220,2.730424,532840
2000-05-05,3.702097,3.857068,3.633220,3.857068,2.898650,2368379
2000-05-08,3.925944,3.925944,3.736535,3.788192,2.846887,830475
2000-05-09,3.753754,4.029259,3.753754,3.908725,2.937470,999619
2000-05-10,3.925944,3.960382,3.667658,3.684878,2.769246,427942
2000-05-11,3.702097,3.805411,3.667658,3.805411,2.868406,457342
2000-05-12,3.770973,3.994821,3.770973,3.943163,2.972240,815594
2000-05-15,3.925944,3.960382,3.874287,3.908725,2.946281,303806
2000-05-16,3.977601,4.012040,3.908725,3.960382,2.985219,500173
2000-05-17,3.943163,3.994821,3.770973,3.822630,2.881386,634109
2000-05-18,3.788192,3.822630,3.684878,3.684878,2.777552,476580
2000-05-19,3.684878,3.719316,3.547125,3.564344,2.686697,779297
2000-05-22,3.478249,3.581563,3.461030,3.529906,2.660738,844994
2000-05-23,3.495468,3.598782,3.478249,3.495468,2.634780,689643
2000-05-24,3.495468,3.581563,3.478249,3.581563,2.699676,545181
2000-05-25,3.564344,3.650439,3.564344,3.616001,2.725634,468957
2000-05-26,3.616001,3.616001,3.512687,3.616001,2.725634,740459
2000-05-30,3.581563,3.667658,3.581563,3.650439,2.751593,353533
2000-05-31,3.616001,3.650439,3.581563,3.598782,2.712655,403986
2000-06-01,3.581563,3.667658,3.581563,3.616001,2.725634,554981
2000-06-02,3.770973,3.874287,3.736535,3.874287,2.920323,857698
2000-06-05,3.857068,3.874287,3.719316,3.770973,2.842448,386200
2000-06-06,3.770973,3.839849,3.770973,3.805411,2.868406,284206
2000-06-07,3.753754,3.770973,3.702097,3.770973,2.842448,382207
2000-06-08,3.753754,3.770973,3.753754,3.753754,2.829468,333932
2000-06-09,3.788192,3.822630,3.753754,3.788192,2.855427,124136
2000-06-12,3.788192,3.839849,3.633220,3.650439,2.751593,774941
2000-06-13,3.616001,3.719316,3.616001,3.719316,2.803511,445727
2000-06-14,3.753754,3.770973,3.719316,3.736535,2.816490,282391
2000-06-15,3.667658,3.719316,3.616001,3.667658,2.764573,741911
2000-06-16,3.702097,3.805411,3.667658,3.788192,2.855427,830838
2000-06-19,3.788192,3.805411,3.719316,3.788192,2.855427,271139
2000-06-20,3.788192,3.788192,3.667658,3.684878,2.777552,445364
2000-06-21,3.770973,3.770973,3.684878,3.719316,2.803511,786556
2000-06-22,3.736535,3.736535,3.650439,3.650439,2.751593,393459
2000-06-23,3.633220,3.650439,3.581563,3.616001,2.725634,747718
2000-06-26,3.650439,3.719316,3.650439,3.684878,2.777552,321954
2000-06-27,3.684878,3.839849,3.667658,3.805411,2.868406,471861
2000-06-28,3.805411,3.822630,3.770973,3.770973,2.842448,399267
2000-06-29,3.753754,3.960382,3.753754,3.857068,2.907344,682747
2000-06-30,3.908725,3.994821,3.736535,3.736535,2.816490,1821020
2000-07-03,3.788192,3.943163,3.788192,3.925944,2.959260,236656
2000-07-05,3.943163,4.080916,3.908725,4.063697,3.063094,1027205
2000-07-06,4.080916,4.149792,4.080916,4.132573,3.115012,870402
2000-07-07,4.149792,4.201449,4.046478,4.098135,3.089052,645724
2000-07-10,4.012040,4.132573,3.891506,4.115354,3.102033,1103792
2000-07-11,3.977601,4.029259,3.925944,3.960382,2.985219,533566
2000-07-12,3.977601,4.098135,3.960382,4.063697,3.063094,752074
2000-07-13,4.063697,4.063697,3.857068,3.925944,2.959260,889277
2000-07-14,3.960382,4.029259,3.891506,3.891506,2.933303,394548
2000-07-17,3.994821,4.029259,3.925944,3.960382,2.985219,415964
2000-07-18,3.943163,4.098135,3.943163,3.994821,3.011178,542277
2000-07-19,4.012040,4.115354,3.994821,4.098135,3.089052,311065
2000-07-20,4.080916,4.218668,4.080916,4.184230,3.153950,672946
2000-07-21,4.253106,4.253106,4.132573,4.218668,3.179906,699806
2000-07-24,4.235887,4.253106,4.080916,4.115354,3.102033,731385
2000-07-25,4.149792,4.184230,4.063697,4.098135,3.089052,822490
2000-07-26,4.080916,4.304763,4.080916,4.287544,3.231823,847898
2000-07-27,4.373640,4.373640,4.339202,4.339202,3.270763,628664
2000-07-28,4.356421,4.356421,4.201449,4.218668,3.179906,878387
2000-07-31,4.184230,4.270325,4.184230,4.270325,3.218846,584382
2000-08-01,4.270325,4.373640,4.218668,4.373640,3.296721,328488
2000-08-02,4.339202,4.390859,4.339202,4.373640,3.296721,377489
2000-08-03,4.373640,4.476954,4.321983,4.459735,3.361617,601804
2000-08-04,4.459735,4.528611,4.442516,4.528611,3.413534,466416
2000-08-07,4.597487,5.010745,4.563049,5.010745,3.776950,1957497
2000-08-08,4.959088,5.389564,4.959088,5.286250,3.984619,3181069
2000-08-09,5.303469,5.389564,5.062402,5.062402,3.815889,1517215
2000-08-10,5.062402,5.062402,4.855773,4.959088,3.738013,675124
2000-08-11,4.993526,5.234592,4.993526,5.234592,3.945681,858787
2000-08-14,5.217373,5.286250,5.131278,5.165716,3.901979,484565
2000-08-15,5.148497,5.165716,4.993526,4.993526,3.771911,618864
2000-08-16,5.027964,5.027964,4.924649,4.993526,3.771911,479120
2000-08-17,5.045183,5.096840,4.872992,4.976307,3.758908,436653
2000-08-18,4.959088,4.976307,4.804116,4.855773,3.667860,618864
2000-08-21,4.907430,4.959088,4.890211,4.941868,3.732894,399267
2000-08-22,4.941868,4.941868,4.855773,4.855773,3.667860,249723
2000-08-23,4.855773,4.890211,4.735240,4.804116,3.628838,273316
2000-08-24,4.872992,4.890211,4.666364,4.700802,3.550800,770222
2000-08-25,4.545830,4.735240,4.545830,4.683583,3.537795,883832
2000-08-28,4.752459,4.993526,4.683583,4.993526,3.771911,918314
2000-08-29,4.976307,5.251811,4.976307,5.234592,3.954005,1174208
2000-08-30,5.234592,5.355126,5.148497,5.337907,4.032045,1395257
2000-08-31,5.372345,5.578973,5.372345,5.406783,4.084074,1813398
2000-09-01,5.510097,5.510097,5.372345,5.441221,4.110083,940455
2000-09-05,5.303469,5.424002,5.303469,5.389564,4.071065,490010
2000-09-06,5.406783,5.492878,5.406783,5.475659,4.136097,311428
2000-09-07,5.475659,5.630631,5.372345,5.630631,4.253160,1179290
2000-09-08,5.630631,5.630631,5.510097,5.613412,4.240151,1123029
2000-09-11,5.578973,5.699507,5.578973,5.699507,4.305183,727755
2000-09-12,5.785602,5.785602,5.441221,5.458440,4.123091,2107041
2000-09-13,5.682288,5.682288,5.475659,5.492878,4.149104,897625
2000-09-14,5.518018,5.743243,5.518018,5.630631,4.253160,812520
2000-09-15,5.442943,5.518018,5.292793,5.330330,4.026320,1611720
2000-09-18,5.330330,5.330330,4.879880,5.048799,3.813665,1326339
2000-09-19,5.105105,5.105105,4.842342,4.936186,3.728598,960705
2000-09-20,4.917417,5.067568,4.879880,4.954955,3.742778,946386
2000-09-21,4.954955,4.954955,4.692192,4.936186,3.728598,966033
2000-09-22,4.804805,4.842342,4.673423,4.767267,3.601007,1099899
2000-09-25,4.786036,5.142643,4.786036,5.030030,3.799485,1581417
2000-09-26,5.048799,5.067568,4.823574,4.842342,3.657713,999666
2000-09-27,4.804805,4.898649,4.804805,4.842342,3.657713,872127
2000-09-28,4.917417,5.105105,4.767267,5.067568,3.827840,839493
2000-09-29,5.086336,5.255255,4.992492,5.161411,3.898726,1074591
2000-10-02,5.255255,5.255255,4.917417,5.011261,3.785307,699966
2000-10-03,5.292793,5.405405,5.161411,5.217718,3.941259,1853145
2000-10-04,5.424174,5.499249,5.292793,5.442943,4.111384,966033
2000-10-05,5.405405,5.405405,5.274024,5.330330,4.026320,1539126
2000-10-06,5.349099,5.480480,5.349099,5.349099,4.040501,1094904
2000-10-09,5.349099,5.555556,5.349099,5.480480,4.139739,931401
2000-10-10,5.743243,5.743243,5.386637,5.386637,4.068854,1769229
2000-10-11,5.180180,5.367868,5.180180,5.236486,3.955435,997335
2000-10-12,5.274024,5.274024,4.898649,4.973724,3.756955,774558
2000-10-13,4.861111,5.180180,4.842342,5.180180,3.912904,1003662
2000-10-16,5.180180,5.198949,5.105105,5.142643,3.884550,1155510
2000-10-17,5.105105,5.161411,4.992492,5.048799,3.813665,562437
2000-10-18,4.954955,4.954955,4.579580,4.823574,3.652227,1135863
2000-10-19,4.823574,5.142643,4.823574,4.954955,3.751704,732267
2000-10-20,4.936186,4.954955,4.823574,4.823574,3.652227,737595
2000-10-23,4.954955,4.954955,4.692192,4.861111,3.680649,1042956
2000-10-24,4.804805,5.105105,4.804805,5.086336,3.851178,922743
2000-10-25,5.067568,5.067568,4.917417,5.011261,3.794334,567099
2000-10-26,5.011261,5.123874,5.011261,5.105105,3.865391,608391
2000-10-27,5.030030,5.255255,5.030030,5.236486,3.964869,763902
2000-10-30,5.142643,5.442943,5.123874,5.349099,4.050135,695970
2000-10-31,5.405405,5.611862,5.349099,5.555556,4.206457,1003662
2000-11-01,5.611862,5.686937,5.480480,5.480480,4.149612,1456542
2000-11-02,5.630631,5.855856,5.555556,5.855856,4.433830,918414
2000-11-03,6.006006,6.006006,5.705706,5.837087,4.419622,782883
2000-11-06,5.893393,5.912162,5.780781,5.837087,4.419622,823176
2000-11-07,5.818318,5.930931,5.705706,5.780781,4.376988,578421
2000-11-08,5.818318,5.893393,5.705706,5.724474,4.334354,619047
2000-11-09,5.724474,5.780781,5.555556,5.780781,4.376988,424242
2000-11-10,5.818318,5.930931,5.555556,5.555556,4.206457,587745
2000-11-13,5.630631,5.686937,5.461712,5.555556,4.206457,967032
2000-11-14,5.518018,5.686937,5.518018,5.593093,4.234879,2106891
2000-11-15,5.574324,5.668168,5.480480,5.649399,4.277512,1744920
2000-11-16,5.630631,5.780781,5.518018,5.536787,4.192243,1370628
2000-11-17,5.649399,5.780781,5.630631,5.686937,4.305933,1692306
2000-11-20,5.705706,5.705706,5.405405,5.593093,4.234879,1268064
2000-11-21,5.593093,5.593093,5.442943,5.461712,4.135402,834831
2000-11-22,5.424174,5.518018,5.424174,5.499249,4.163823,751248
2000-11-24,5.574324,5.743243,5.480480,5.743243,4.348563,436230
2000-11-27,5.855856,5.930931,5.705706,5.855856,4.433830,848817
2000-11-28,5.837087,5.893393,5.818318,5.818318,4.405410,1236762
2000-11-29,5.762012,5.987237,5.743243,5.799550,4.391200,1307025
2000-11-30,5.780781,5.780781,5.499249,5.574324,4.220668,1466199
2000-12-01,5.611862,5.686937,5.499249,5.649399,4.277512,865134
2000-12-04,5.724474,5.724474,5.536787,5.574324,4.220668,1443555
2000-12-05,5.630631,6.024775,5.630631,6.024775,4.561731,2443221
2000-12-06,6.006006,6.306306,5.874625,6.118619,4.632786,3232098
2000-12-07,6.325075,6.737988,6.268769,6.662913,5.044905,4201128
2000-12-08,6.775526,7.526276,6.756757,7.357357,5.570710,5716278
2000-12-11,7.526276,7.563814,7.357357,7.376126,5.584922,2964366
2000-12-12,7.357357,7.376126,7.075826,7.075826,5.357546,1470861
2000-12-13,7.207207,7.319820,6.925676,7.113363,5.385969,1333998
2000-12-14,7.132132,7.188438,6.606607,6.700450,5.073326,1879119
2000-12-15,6.700450,7.000751,6.625375,6.944444,5.258070,1550115
2000-12-18,7.169670,7.319820,7.057057,7.075826,5.357546,1721610
2000-12-19,7.207207,7.338589,6.944444,6.963213,5.272281,1028304
2000-12-20,6.888138,7.019520,6.625375,6.625375,5.016484,1280052
2000-12-21,6.475225,6.662913,6.381381,6.531532,4.945430,1706292
2000-12-22,6.475225,6.906907,6.475225,6.794294,5.144382,1001664
2000-12-26,6.850601,7.263514,6.813063,7.225976,5.471233,1111887
2000-12-27,7.469970,7.488739,7.319820,7.469970,5.655979,1767231
2000-12-28,7.469970,7.807808,7.451201,7.751502,5.869143,1455543
2000-12-29,7.713964,7.732733,7.319820,7.338589,5.556502,1220445
2001-01-02,7.807808,7.807808,7.432432,7.638889,5.783875,3022974
2001-01-03,7.582583,7.882883,7.394895,7.882883,5.968620,1902762
2001-01-04,7.995495,8.108108,7.957958,8.014264,6.068097,3229434
2001-01-05,7.957958,7.957958,7.507508,7.563814,5.727033,1931733
2001-01-08,7.563814,7.563814,7.207207,7.244745,5.485446,2616381
2001-01-09,7.282282,7.376126,7.150901,7.188438,5.442812,2150847
2001-01-10,7.188438,7.225976,7.132132,7.188438,5.442812,2202462
2001-01-11,7.188438,7.207207,6.756757,7.038288,5.329126,1518480
2001-01-12,7.188438,7.188438,6.737988,6.925676,5.243859,2713617
2001-01-16,6.888138,7.207207,6.756757,7.113363,5.385969,3002994
2001-01-17,7.188438,7.301051,7.057057,7.057057,5.343335,2843487
2001-01-18,7.225976,7.451201,7.057057,7.282282,5.513867,1723608
2001-01-19,7.357357,7.488739,6.569069,6.587838,4.988061,2874456
2001-01-22,6.606607,6.606607,6.231231,6.362613,4.817527,2494170
2001-01-23,6.437688,7.038288,6.418919,6.981982,5.286492,2421576
2001-01-24,7.019520,7.376126,6.869369,7.000751,5.300702,3053277
2001-01-25,7.019520,7.657658,7.000751,7.282282,5.513867,2382282
2001-01-26,7.244745,7.413664,6.963213,6.963213,5.272281,1338327
2001-01-29,6.696697,6.906907,6.606607,6.606607,5.002272,2466198
2001-01-30,6.936937,6.975976,6.570571,6.972973,5.279672,2432898
2001-01-31,7.087087,7.282282,6.951952,7.066066,5.350157,1533798
2001-02-01,6.831832,7.204204,6.831832,7.147147,5.423073,767565
2001-02-02,7.207207,7.282282,7.021021,7.063063,5.359272,702963
2001-02-05,6.909910,7.324324,6.909910,7.267267,5.514215,1382949
2001-02-06,7.297297,7.492492,7.189189,7.462462,5.662325,1950381
2001-02-07,7.417417,7.513514,7.372372,7.447447,5.650932,1205127
2001-02-08,7.477477,7.537538,7.135135,7.177177,5.445859,1056942
2001-02-09,7.297297,7.297297,6.840841,6.906907,5.240785,1214118
2001-02-12,6.666667,7.132132,6.606607,7.081081,5.372942,2192805
2001-02-13,7.117117,7.381381,7.081081,7.255255,5.505101,1380618
2001-02-14,7.357357,7.402402,7.192192,7.345345,5.573461,927738
2001-02-15,7.345345,7.582583,7.345345,7.357357,5.582574,1484181
2001-02-16,7.387387,7.426426,7.174174,7.363363,5.587130,996003
2001-02-20,7.102102,7.192192,6.924925,6.942943,5.268129,1460538
2001-02-21,6.948949,7.144144,6.906907,6.951952,5.274964,1454211
2001-02-22,6.951952,6.960961,6.582583,6.594595,5.003809,1190808
2001-02-23,6.600601,6.669670,6.156156,6.669670,5.060774,2093238
2001-02-26,7.000000,7.000000,6.786787,6.921922,5.252177,1199133
2001-02-27,6.912913,6.912913,6.711712,6.717718,5.097234,1433232
2001-02-28,6.792793,6.891892,6.720721,6.846847,5.195211,1080252
2001-03-01,6.606607,6.846847,6.492492,6.846847,5.195211,1024974
2001-03-02,6.636637,7.048048,6.612613,6.840841,5.190655,1242756
2001-03-05,6.882883,6.981982,6.765766,6.786787,5.149640,983349
2001-03-06,6.936937,7.027027,6.846847,6.933934,5.261292,1124541
2001-03-07,7.000000,7.133333,6.916667,7.113333,5.397415,1244700
2001-03-08,7.166667,7.316667,7.100000,7.226667,5.483411,1260000
2001-03-09,7.150000,7.166667,6.850000,6.996667,5.308890,638700
2001-03-12,7.080000,7.080000,6.700000,6.730000,5.106552,516600
2001-03-13,6.730000,6.833333,6.416667,6.616667,5.020558,792300
2001-03-14,6.416667,6.513333,6.233333,6.266667,4.754987,697800
2001-03-15,6.450000,6.450000,6.250000,6.300000,4.780278,743100
2001-03-16,6.300000,6.300000,5.966667,6.056667,4.595645,1256100
2001-03-19,6.250000,6.450000,6.140000,6.433333,4.881449,1316400
2001-03-20,6.516667,6.883333,6.433333,6.843333,5.192544,2567100
2001-03-21,6.830000,7.066667,6.830000,6.870000,5.212780,1779000
2001-03-22,6.850000,6.950000,6.466667,6.646667,5.043322,1045200
2001-03-23,6.726667,6.933333,6.666667,6.926667,5.255778,1077600
2001-03-26,6.930000,7.080000,6.793333,6.873333,5.215310,1635300
2001-03-27,7.050000,7.066667,6.766667,6.983333,5.298775,1132200
