Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.097801,9.441338,9.026725,9.145186,8.579781,1186045
2000-01-03,9.097801,9.168878,8.718726,8.813495,8.268598,1474642
2000-01-04,8.860879,8.872726,8.434420,8.493650,7.968526,2424850
2000-01-05,8.576573,8.766111,8.410728,8.588419,8.057436,2854844
2000-01-06,8.493650,8.884572,8.292267,8.683188,8.146347,1281013
2000-01-07,8.718726,8.813495,8.671342,8.754265,8.213031,1751632
2000-01-10,8.801649,8.931956,8.789803,8.931956,8.379730,2592626
2000-01-11,8.908264,8.955648,8.683188,8.706880,8.168573,1867704
2000-01-12,8.671342,8.683188,8.398882,8.469958,7.946301,1282068
2000-01-13,8.541035,8.671342,8.541035,8.600265,8.068547,3044780
2000-01-14,8.576573,8.623958,8.398882,8.600265,8.068547,1747411
2000-01-18,8.505497,8.505497,8.315959,8.363343,7.846272,1972169
2000-01-19,8.315959,8.387036,8.197498,8.268575,7.757367,2894941
2000-01-20,8.256729,8.268575,8.019807,8.090883,7.590659,1182352
2000-01-21,8.090883,8.090883,7.676270,7.806577,7.323931,4429730
2000-01-24,7.771039,7.771039,7.190580,7.202426,6.757131,4488821
2000-01-25,7.249810,7.676270,7.249810,7.640732,7.168338,3804524
2000-01-26,7.640732,7.936884,7.617039,7.865807,7.379499,2309305
2000-01-27,7.652578,8.067191,7.640732,7.877654,7.390612,4236628
2000-01-28,7.877654,8.043499,7.830269,8.007961,7.512864,3923234
2000-01-31,7.996114,8.469958,7.996114,8.173806,7.668453,4537360
2000-02-01,8.161960,8.221190,8.114575,8.197498,7.690685,3269010
2000-02-02,8.173806,8.339651,8.138268,8.185652,7.679570,2158939
2000-02-03,8.209344,8.327805,8.173806,8.256729,7.746251,927521
2000-02-04,8.315959,8.327805,8.150114,8.197498,7.690685,1120622
2000-02-07,8.197498,8.304113,8.031653,8.173806,7.668453,2507155
2000-02-08,8.173806,8.387036,8.173806,8.304113,7.790706,2540922
2000-02-09,8.327805,8.351497,8.233036,8.268575,7.757367,3223108
2000-02-10,8.244882,8.280421,7.865807,7.901346,7.412842,1377564
2000-02-11,7.960576,8.019807,7.688116,7.782885,7.301703,2378421
2000-02-14,7.759193,7.794731,7.652578,7.759193,7.279475,1699400
2000-02-15,7.723654,7.865807,7.699962,7.806577,7.323931,2668601
2000-02-16,7.735500,7.830269,7.735500,7.747346,7.268361,2291367
2000-02-17,7.759193,7.877654,7.747346,7.759193,7.279475,1535316
2000-02-18,7.759193,7.794731,7.451194,7.557809,7.090543,2646969
2000-02-22,7.557809,7.676270,7.439348,7.534117,7.068314,2453868
2000-02-23,7.510425,7.569655,7.391964,7.451194,6.990516,2994130
2000-02-24,7.451194,7.486732,7.107657,7.309041,6.857153,2940842
2000-02-25,7.261657,7.427502,7.178734,7.285349,6.834928,1538482
2000-02-28,7.344579,7.510425,7.190580,7.439348,6.979406,1354877
2000-02-29,7.439348,7.806577,7.439348,7.735500,7.257246,3825100
