Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.187500,23.812500,23.125000,23.562500,11.356368,276700
2000-01-03,23.062500,23.250000,21.062500,22.375000,10.784036,440100
2000-01-04,21.875000,22.250000,21.562500,21.625000,10.422558,529100
2000-01-05,21.812500,22.187500,21.312500,21.375000,10.302066,362400
2000-01-06,21.625000,21.625000,20.812500,21.125000,10.181575,491100
2000-01-07,21.437500,22.375000,21.062500,22.125000,10.663542,357000
2000-01-10,21.875000,22.187500,21.812500,21.937500,10.573174,270200
2000-01-11,21.875000,22.625000,21.875000,22.562500,10.874402,478700
2000-01-12,22.312500,22.500000,21.062500,21.562500,10.392436,333100
2000-01-13,21.500000,21.562500,20.000000,20.312500,9.789969,822600
2000-01-14,20.750000,21.250000,20.187500,21.250000,10.241827,759200
2000-01-18,21.187500,21.562500,20.875000,21.062500,10.151454,433200
2000-01-19,21.000000,21.687500,20.937500,21.187500,10.211699,366200
2000-01-20,21.312500,21.500000,20.625000,20.687500,9.970711,268600
2000-01-21,21.062500,21.125000,20.250000,20.437500,9.850217,406600
2000-01-24,20.375000,20.500000,19.875000,19.875000,9.579111,710800
2000-01-25,20.250000,23.375000,20.125000,21.250000,10.241827,1474900
2000-01-26,21.125000,21.375000,20.187500,21.250000,10.241827,877900
2000-01-27,21.437500,22.375000,21.062500,21.437500,10.332191,1049800
2000-01-28,21.500000,21.750000,21.250000,21.562500,10.392436,762300
2000-01-31,21.562500,21.625000,20.875000,21.500000,10.362314,358900
2000-02-01,21.312500,21.312500,20.625000,21.000000,10.121324,788700
2000-02-02,20.750000,21.625000,20.750000,21.500000,10.362314,595900
2000-02-03,22.250000,22.250000,21.250000,21.750000,10.482800,530600
2000-02-04,21.937500,22.000000,21.312500,21.625000,10.422558,445700
2000-02-07,21.375000,21.437500,21.062500,21.312500,10.271943,211900
2000-02-08,21.500000,22.062500,21.312500,22.062500,10.633420,349700
2000-02-09,21.625000,21.687500,21.125000,21.500000,10.362314,494500
2000-02-10,21.625000,22.187500,21.437500,21.937500,10.573174,581700
2000-02-11,22.500000,22.875000,21.875000,22.187500,10.693668,863500
2000-02-14,22.812500,22.812500,21.875000,22.000000,10.603294,366100
2000-02-15,21.937500,22.312500,21.625000,21.937500,10.573174,455800
2000-02-16,21.937500,22.062500,21.500000,21.750000,10.482800,424000
2000-02-17,21.687500,21.875000,21.500000,21.750000,10.482800,426500
2000-02-18,22.000000,22.125000,21.312500,21.312500,10.316056,590400
2000-02-22,20.937500,21.250000,20.562500,21.187500,10.255548,423700
2000-02-23,20.937500,22.000000,20.937500,21.750000,10.527820,378300
2000-02-24,21.812500,22.000000,20.437500,21.937500,10.618572,508300
2000-02-25,21.937500,21.937500,21.000000,21.375000,10.346308,425700
2000-02-28,21.000000,21.187500,20.625000,21.187500,10.255548,460900
2000-02-29,21.187500,21.625000,20.937500,21.187500,10.255548,312200
2000-03-01,21.250000,21.250000,20.875000,21.062500,10.195045,273400
