Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.000000,448.000000,384.000000,420.000000,338.399902,792528
2000-08-14,419.000000,420.000000,384.000000,384.000000,309.394226,80228
2000-08-15,389.000000,396.000000,384.000000,388.000000,312.617096,48422
2000-08-16,386.000000,418.000000,386.000000,396.000000,319.062775,42166
2000-08-17,392.000000,400.000000,382.000000,384.000000,309.394226,47247
2000-08-18,401.000000,460.000000,396.000000,458.000000,369.017029,60400
2000-08-21,482.000000,520.000000,446.000000,486.000000,391.576996,66547
2000-08-22,492.000000,502.000000,432.000000,432.000000,348.068420,33878
2000-08-23,434.000000,440.000000,408.000000,416.000000,335.177032,17925
2000-08-24,414.000000,418.000000,386.000000,386.000000,311.005585,18441
2000-08-25,402.000000,414.000000,388.000000,412.000000,331.954254,20113
2000-08-28,429.000000,433.500000,400.000000,420.000000,338.399902,19491
2000-08-29,430.000000,432.000000,404.000000,428.000000,344.845642,22728
2000-08-30,427.000000,470.000000,424.000000,454.000000,365.794220,19891
2000-08-31,482.000000,528.000000,476.000000,518.000000,417.359863,87397
2000-09-01,516.000000,520.000000,480.000000,504.000000,406.079865,27738
2000-09-05,506.000000,520.000000,496.000000,498.000000,401.245605,23025
2000-09-06,516.000000,520.000000,488.000000,496.000000,399.634216,20559
2000-09-07,512.000000,512.000000,428.000000,460.000000,370.628479,23959
2000-09-08,456.500000,464.000000,440.000000,448.000000,360.959900,15956
2000-09-11,442.000000,448.000000,432.000000,444.000000,357.737091,34547
2000-09-12,435.000000,442.000000,412.000000,416.000000,335.177032,33853
2000-09-13,408.000000,420.000000,396.000000,400.000000,322.285645,10363
2000-09-14,444.000000,444.000000,400.000000,406.000000,327.119904,8109
2000-09-15,402.000000,416.000000,400.000000,402.000000,323.897095,3600
2000-09-18,420.000000,424.000000,382.000000,386.000000,311.005585,18659
2000-09-19,419.000000,420.000000,344.000000,360.000000,290.057007,48038
2000-09-20,368.000000,370.000000,312.000000,332.000000,267.497162,24103
2000-09-21,330.000000,344.000000,326.000000,340.000000,273.942780,25247
2000-09-22,307.000000,346.000000,302.000000,338.000000,272.331329,8456
2000-09-25,340.000000,346.000000,300.000000,302.000000,243.325623,21066
2000-09-26,316.000000,318.000000,288.000000,296.000000,238.491333,19634
2000-09-27,301.000000,302.000000,276.000000,299.000000,240.908493,16756
2000-09-28,296.000000,344.000000,292.000000,320.000000,257.828522,22041
2000-09-29,323.000000,324.000000,279.000000,284.000000,228.822769,19125
2000-10-02,300.000000,301.000000,268.000000,272.000000,219.154205,6888
2000-10-03,275.000000,284.000000,248.000000,254.000000,204.651352,10128
2000-10-04,256.000000,258.000000,216.000000,228.000000,183.702774,14600
2000-10-05,222.000000,260.000000,208.000000,210.000000,169.199951,15178
2000-10-06,222.500000,224.000000,190.000000,195.000000,157.114273,11413
2000-10-09,210.000000,214.000000,185.000000,198.000000,159.531387,10650
2000-10-10,202.000000,204.000000,176.000000,182.000000,146.639954,13291
2000-10-11,168.000000,184.000000,130.000000,132.000000,106.354263,42488
2000-10-12,163.000000,168.000000,144.000000,166.000000,133.748581,37297
2000-10-13,182.000000,252.000000,177.000000,242.000000,194.982819,42863
2000-10-16,260.000000,262.000000,236.000000,260.000000,209.485687,38531
2000-10-17,272.000000,274.000000,244.000000,250.000000,201.428497,11047
2000-10-18,248.000000,268.000000,190.000000,258.000000,207.874222,19303
2000-10-19,272.000000,298.000000,216.000000,221.000000,178.062790,25997
2000-10-20,240.000000,240.000000,224.000000,234.000000,188.537125,21797
2000-10-23,236.000000,269.000000,228.000000,264.000000,212.708527,17800
2000-10-24,265.500000,272.000000,260.000000,270.000000,217.542801,19788
2000-10-25,267.500000,272.000000,252.000000,272.000000,219.154205,13225
2000-10-26,271.000000,308.000000,270.000000,290.000000,233.657074,8788
2000-10-27,291.500000,292.000000,276.000000,288.000000,232.045639,3381
