Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,396.794861,399.038452,394.391022,396.794861,218.892914,764907
2000-01-03,392.307678,394.070526,382.532043,384.615387,212.174103,2869074
2000-01-04,377.564117,379.487183,369.230774,369.230774,203.687164,2875782
2000-01-05,368.589752,376.923065,365.544861,368.589752,203.333557,3548064
2000-01-06,366.987183,376.762817,365.705139,373.517639,206.052032,2583516
2000-01-07,379.487183,389.423065,376.923065,387.980774,214.030609,2618382
2000-01-10,391.506409,395.032043,387.500000,387.820526,213.942184,1979445
2000-01-11,387.179474,391.506409,386.217957,388.461548,214.295776,1965990
2000-01-12,387.339752,392.948730,386.057678,389.743591,215.003021,2384499
2000-01-13,392.628204,397.275635,392.307678,394.230774,217.478424,1943955
2000-01-14,393.269226,396.474365,383.493591,387.179474,213.588654,2402439
2000-01-18,383.653839,383.653839,376.282043,379.487183,209.345139,2378571
2000-01-19,375.641022,387.019226,375.000000,381.330139,210.361923,1930461
2000-01-20,382.211548,383.974365,365.705139,374.198730,206.427734,3998670
2000-01-21,379.326935,380.128204,369.070526,369.551270,203.863953,3120702
2000-01-24,372.596161,374.198730,349.839752,354.166656,195.376968,3525093
2000-01-25,354.006409,359.935883,351.282043,355.128204,195.907394,3300375
2000-01-26,360.256409,364.583344,356.089752,362.660248,200.062485,2061384
2000-01-27,362.980774,363.461548,351.442322,363.461548,200.504562,2501655
2000-01-28,359.775635,360.256409,342.628204,343.589752,189.542236,3880071
2000-01-31,343.589752,348.557678,341.185883,343.589752,189.542236,2831751
2000-02-01,344.230774,351.282043,343.589752,348.717957,192.371231,3554070
2000-02-02,351.602570,352.884613,343.750000,343.750000,189.630554,2836626
2000-02-03,348.557678,358.493591,346.794861,357.051270,196.968262,2630160
2000-02-04,361.538452,366.987183,360.256409,362.980774,200.239334,2361723
2000-02-07,363.301270,363.461548,348.397430,350.000000,193.078415,2377050
2000-02-08,350.160248,354.967957,350.000000,351.442322,193.874054,2430363
2000-02-09,351.282043,353.044861,343.750000,343.750000,189.630554,2083107
2000-02-10,345.032043,351.121796,341.346161,347.275635,191.575500,2491788
2000-02-11,346.314117,352.083344,342.467957,342.948730,189.188583,2671812
2000-02-14,342.948730,348.557678,342.467957,344.551270,190.072540,1890447
2000-02-15,343.589752,356.410248,343.429474,352.564117,194.492935,2447055
2000-02-16,350.320526,351.121796,344.551270,347.836548,191.884933,1889004
2000-02-17,345.833344,347.756409,333.333344,335.897430,185.298767,3759483
2000-02-18,335.897430,338.301270,320.352570,320.833344,176.988556,4592562
2000-02-22,323.717957,333.333344,320.673065,332.371796,183.353836,3540030
2000-02-23,333.333344,340.865387,329.166656,334.615387,184.591415,2854293
2000-02-24,334.134613,340.865387,323.237183,335.897430,185.298767,3590418
2000-02-25,332.051270,335.737183,322.275635,323.397430,178.403061,3467022
2000-02-28,323.076935,339.102570,323.076935,331.891022,183.088440,3515577
2000-02-29,334.935883,343.589752,333.653839,339.423065,187.243607,2934750
2000-03-01,342.307678,343.269226,335.256409,336.858978,185.829117,3469557
2000-03-02,336.858978,349.038452,335.576935,346.794861,191.310318,2585037
2000-03-03,351.923065,360.256409,351.442322,357.371796,197.145081,3089307
2000-03-06,357.692322,357.692322,345.192322,352.403839,194.978012,2404818
2000-03-07,352.243591,352.243591,332.371796,333.173065,184.338013,3851835
2000-03-08,333.974365,339.583344,330.929474,334.134613,184.870071,3108963
2000-03-09,334.134613,338.461548,326.121796,330.769226,183.007980,2457663
2000-03-10,335.576935,343.750000,333.333344,337.660248,186.820816,2690961
2000-03-13,330.769226,334.615387,327.243591,331.891022,183.628723,2503917
2000-03-14,332.371796,332.692322,325.160248,325.641022,180.170731,2479152
2000-03-15,325.320526,345.352570,323.717957,342.467957,189.480804,3368430
2000-03-16,342.788452,357.532043,342.307678,356.410248,197.194717,3900624
2000-03-17,354.166656,362.660248,351.762817,358.653839,198.436035,4142190
2000-03-20,358.653839,363.461548,352.884613,361.378204,199.943329,2027532
2000-03-21,355.769226,388.301270,354.006409,385.897430,213.509399,4828746
2000-03-22,385.897430,389.583344,381.089752,386.858978,214.041367,2822508
2000-03-23,388.461548,410.256409,387.019226,410.256409,226.986755,4071756
2000-03-24,404.166656,409.615387,399.839752,407.852570,225.656769,2999997
2000-03-27,404.487183,407.051270,400.641022,404.967957,224.060837,2132988
2000-03-28,401.923065,406.730774,400.000000,400.000000,221.312073,2835573
2000-03-29,403.525635,422.756409,403.525635,417.948730,231.242920,5087043
2000-03-30,415.384613,416.666656,404.006409,407.051270,225.213425,3245697
2000-03-31,408.333344,409.935883,396.794861,399.038452,220.780106,3046056
2000-04-03,398.076935,412.820526,397.435883,412.820526,228.405472,2493699
2000-04-04,406.570526,407.371796,377.243591,394.871796,218.474808,4293900
2000-04-05,390.064117,397.435883,386.378204,393.108978,217.499405,2784444
2000-04-06,395.352570,404.326935,395.032043,402.243591,222.553329,1792869
2000-04-07,404.166656,409.775635,400.480774,407.211548,225.302109,1732458
2000-04-10,408.653839,412.820526,404.807678,408.814117,226.188766,1850472
2000-04-11,405.929474,420.192322,404.166656,414.423065,229.292145,2730312
2000-04-12,416.987183,418.589752,400.000000,401.923065,222.376144,2527590
2000-04-13,403.525635,403.685883,384.615387,385.897430,213.509399,3314610
2000-04-14,379.487183,384.935883,366.826935,373.717957,206.770767,4113915
2000-04-17,370.192322,392.948730,368.910248,389.743591,215.637482,4153695
2000-04-18,391.826935,404.967957,389.583344,401.282043,222.021408,3306927
2000-04-19,400.160248,402.083344,395.192322,398.717957,220.602798,1839552
