Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.944444,13.000000,12.861111,12.916667,10.409247,116325
2000-01-03,12.805556,12.861111,12.444444,12.583333,10.140620,542475
2000-01-04,12.388889,12.472222,12.277778,12.333333,9.939150,645525
2000-01-05,12.500000,12.500000,12.333333,12.333333,9.971492,400275
2000-01-06,12.222222,12.500000,12.000000,12.305556,9.949039,327150
2000-01-07,12.333333,12.694444,12.333333,12.555556,10.151162,372600
2000-01-10,12.666667,12.694444,12.305556,12.388889,10.016406,432450
2000-01-11,12.277778,12.444444,12.138889,12.361111,9.993949,1053450
2000-01-12,12.361111,12.444444,12.166667,12.305556,9.949039,595125
2000-01-13,12.277778,12.555556,12.194444,12.416667,10.038870,705150
2000-01-14,12.444444,12.555556,12.083333,12.166667,9.836741,1360125
2000-01-18,12.111111,12.111111,11.444444,11.444444,9.252824,1974825
2000-01-19,11.527778,11.555556,10.833333,10.833333,8.758746,1709325
2000-01-20,10.944444,10.972222,10.388889,10.500000,8.489244,1652850
2000-01-21,10.611111,10.611111,10.250000,10.361111,8.376953,1527975
2000-01-24,10.472222,10.555556,10.277778,10.444444,8.444325,954450
2000-01-25,10.583333,10.666667,10.250000,10.361111,8.376953,986625
2000-01-26,10.472222,10.777778,10.055556,10.527778,8.511703,1753650
2000-01-27,10.666667,10.805556,10.611111,10.611111,8.579076,913500
2000-01-28,10.611111,10.611111,10.222222,10.222222,8.264663,777825
2000-01-31,10.555556,11.194444,10.388889,11.194444,9.050701,1001250
2000-02-01,11.111111,11.111111,9.777778,10.000000,8.084991,1878300
2000-02-02,10.111111,10.500000,9.944444,10.305556,8.332038,1498275
2000-02-03,10.500000,10.500000,10.138889,10.333333,8.354492,658800
2000-02-04,10.305556,10.416667,10.000000,10.250000,8.287118,1679175
2000-02-07,10.250000,10.444444,10.194444,10.250000,8.287118,1224450
2000-02-08,10.194444,10.333333,9.833333,9.888889,7.995160,1152000
2000-02-09,9.777778,9.888889,9.527778,9.527778,7.703202,2627100
2000-02-10,9.472222,9.500000,9.138889,9.305556,7.523537,934425
2000-02-11,9.305556,9.527778,9.250000,9.333333,7.545994,1185975
2000-02-14,9.361111,9.361111,9.027778,9.111111,7.366329,832050
