Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.437500,19.125000,18.312500,18.937500,11.351000,695800
2000-01-03,18.812500,18.937500,18.375000,18.437500,11.051305,919500
2000-01-04,18.375000,18.562500,17.187500,17.250000,10.339527,1595100
2000-01-05,17.187500,17.187500,16.375000,16.437500,9.852517,1963700
2000-01-06,16.437500,16.437500,15.812500,16.000000,9.590285,3379300
2000-01-07,16.000000,16.750000,15.875000,16.562500,9.927442,2481600
2000-01-10,16.562500,17.437500,16.562500,17.312500,10.376987,1366800
2000-01-11,17.250000,17.437500,16.875000,16.875000,10.114753,1607900
2000-01-12,17.000000,17.375000,16.937500,17.125000,10.264598,751200
2000-01-13,17.062500,17.375000,17.000000,17.000000,10.189676,717900
2000-01-14,17.062500,17.125000,16.500000,16.500000,9.889977,834200
2000-01-18,16.312500,16.750000,16.312500,16.375000,9.815056,585800
2000-01-19,16.375000,16.500000,15.875000,16.000000,9.590285,1707900
2000-01-20,16.062500,16.062500,15.375000,15.500000,9.290587,1500700
2000-01-21,15.625000,16.125000,15.437500,15.500000,9.290587,1731700
2000-01-24,15.562500,16.062500,15.500000,15.812500,9.477896,1244900
2000-01-25,15.750000,15.875000,15.062500,15.375000,9.215660,1172500
2000-01-26,15.187500,15.687500,15.062500,15.687500,9.402969,1271900
2000-01-27,15.312500,15.875000,15.312500,15.500000,9.290587,556900
2000-01-28,15.812500,15.812500,15.187500,15.500000,9.326692,610600
2000-01-31,15.500000,15.812500,15.000000,15.000000,9.025829,1270600
2000-02-01,15.125000,15.375000,14.937500,15.250000,9.176261,1045200
2000-02-02,15.375000,16.500000,15.312500,15.687500,9.439512,1542900
2000-02-03,15.687500,16.750000,15.687500,16.437500,9.890800,1403900
2000-02-04,16.625000,16.750000,15.687500,15.875000,9.552335,1407500
2000-02-07,16.062500,16.375000,15.812500,16.062500,9.665163,1079000
2000-02-08,16.500000,16.750000,15.500000,16.250000,9.777981,2469800
2000-02-09,16.250000,16.312500,15.250000,15.750000,9.477120,974800
2000-02-10,15.500000,15.562500,14.875000,15.000000,9.025829,1901400
2000-02-11,15.062500,15.312500,14.375000,15.062500,9.063434,1987100
2000-02-14,15.250000,16.125000,15.250000,15.812500,9.514729,2054700
2000-02-15,15.937500,16.312500,15.812500,15.875000,9.552335,1586600
2000-02-16,15.875000,16.125000,15.625000,15.812500,9.514729,1465700
2000-02-17,15.812500,15.937500,15.437500,15.500000,9.326692,967900
2000-02-18,15.437500,16.187500,15.250000,15.375000,9.251472,1651700
2000-02-22,15.437500,15.812500,15.187500,15.500000,9.326692,1094600
2000-02-23,15.437500,15.437500,14.937500,15.062500,9.063434,854900
2000-02-24,15.062500,15.125000,14.437500,14.500000,8.724966,1243300
2000-02-25,14.562500,16.062500,14.500000,16.000000,9.627551,2724600
2000-02-28,15.937500,16.062500,15.312500,15.750000,9.477120,1804600
2000-02-29,15.750000,16.062500,15.625000,15.750000,9.477120,1321300
2000-03-01,15.750000,15.937500,15.375000,15.375000,9.251472,1642200
2000-03-02,15.375000,15.562500,15.187500,15.250000,9.176261,1344800
2000-03-03,15.250000,15.625000,15.187500,15.625000,9.401905,922500
2000-03-06,15.375000,15.375000,15.187500,15.312500,9.213865,906200
2000-03-07,15.250000,15.250000,14.375000,14.500000,8.724966,1541300
2000-03-08,14.375000,14.437500,13.750000,14.125000,8.499321,1557300
2000-03-09,14.250000,14.687500,13.937500,14.625000,8.800185,714700
2000-03-10,14.062500,14.687500,14.000000,14.375000,8.649754,926500
2000-03-13,14.375000,14.750000,14.187500,14.500000,8.724966,708300
2000-03-14,14.500000,14.750000,14.375000,14.562500,8.762574,893000
2000-03-15,14.562500,15.125000,14.562500,15.000000,9.025829,1084300
2000-03-16,15.000000,15.687500,15.000000,15.500000,9.326692,1501400
2000-03-17,15.500000,15.812500,15.437500,15.687500,9.439512,908000
2000-03-20,15.937500,16.125000,15.750000,15.937500,9.589941,610600
2000-03-21,15.937500,16.312500,15.875000,16.125000,9.702765,960800
2000-03-22,16.125000,16.375000,16.062500,16.125000,9.702765,1134600
2000-03-23,16.125000,16.437500,16.062500,16.375000,9.853198,1236200
2000-03-24,16.312500,16.875000,16.312500,16.562500,9.966021,1141700
2000-03-27,16.562500,16.937500,16.437500,16.875000,10.154060,2121700
2000-03-28,16.812500,17.500000,16.500000,17.000000,10.229274,1561000
2000-03-29,17.000000,17.250000,15.625000,16.000000,9.627551,1802100
2000-03-30,16.125000,16.750000,16.000000,16.687500,10.041235,1133400
2000-03-31,16.500000,17.250000,16.375000,16.687500,10.041235,1103800
2000-04-03,16.625000,16.812500,16.375000,16.625000,10.003625,446400
2000-04-04,16.687500,17.000000,15.375000,16.625000,10.003625,683200
2000-04-05,16.687500,17.187500,16.250000,16.875000,10.154060,542900
2000-04-06,17.250000,17.375000,16.875000,17.375000,10.454915,1474100
2000-04-07,17.375000,17.875000,16.812500,16.937500,10.191660,981900
2000-04-10,17.000000,17.562500,16.687500,17.500000,10.530133,955800
2000-04-11,17.312500,17.750000,17.062500,17.500000,10.530133,642100
