Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.791668,18.916668,18.583332,18.916668,14.113160,183300
2000-01-03,18.875000,18.916668,18.041668,18.166668,13.553616,933600
2000-01-04,18.166668,18.208332,17.666668,17.812500,13.289378,1185000
2000-01-05,17.708332,17.833332,17.541668,17.666668,13.180578,2403000
2000-01-06,17.833332,18.229168,17.750000,18.041668,13.460349,4519500
2000-01-07,18.250000,18.812500,18.250000,18.812500,14.035446,1800600
2000-01-10,18.750000,18.750000,18.458332,18.583332,13.864470,801600
2000-01-11,18.520832,18.666668,18.270832,18.437500,13.755673,1033500
2000-01-12,18.500000,18.812500,18.291668,18.312500,13.662413,1707000
2000-01-13,18.500000,19.166668,18.500000,18.937500,14.128710,1754100
2000-01-14,18.958332,19.104168,18.750000,19.020832,14.190881,1987800
2000-01-18,19.062500,19.458332,19.020832,19.250000,14.361854,1319400
2000-01-19,19.375000,19.416668,19.145832,19.395832,14.470657,2138100
2000-01-20,19.333332,19.416668,18.875000,19.145832,14.284137,1174500
2000-01-21,19.333332,19.666668,19.312500,19.520832,14.563910,3004800
2000-01-24,19.875000,19.916668,18.895832,18.979168,14.159800,2499000
2000-01-25,18.625000,18.958332,18.333332,18.645832,13.911102,2165700
2000-01-26,18.645832,18.916668,18.062500,18.104168,13.506978,1545000
2000-01-27,18.187500,18.416668,17.666668,17.875000,13.336005,1252200
2000-01-28,17.770832,17.916668,17.520832,17.583332,13.118403,966300
2000-01-31,17.625000,17.812500,17.520832,17.729168,13.227205,708300
2000-02-01,17.791668,17.854168,17.479168,17.604168,13.133947,614400
2000-02-02,17.687500,17.895832,17.458332,17.666668,13.180578,1350000
2000-02-03,17.708332,17.708332,17.166668,17.312500,12.916340,1580100
2000-02-04,17.458332,17.458332,17.166668,17.333332,12.931882,1376400
2000-02-07,17.333332,17.541668,17.270832,17.416668,12.994058,2233500
2000-02-08,17.458332,17.520832,17.041668,17.104168,12.760911,1460700
2000-02-09,17.166668,17.250000,16.520832,16.625000,12.403419,1346700
2000-02-10,16.625000,16.854168,16.333332,16.750000,12.496677,2574600
2000-02-11,16.666668,16.687500,15.937500,16.083332,11.999300,1883400
2000-02-14,16.166668,16.333332,16.083332,16.291668,12.154734,1545900
2000-02-15,16.666668,17.000000,16.666668,16.812500,12.543304,1695600
2000-02-16,17.000000,17.104168,16.916668,17.020832,12.698732,1622700
2000-02-17,17.208332,17.312500,17.062500,17.166668,12.807542,1843500
2000-02-18,17.250000,17.250000,16.958332,17.083332,12.745368,2174400
2000-02-22,17.083332,17.104168,16.916668,17.000000,12.683202,1962900
2000-02-23,17.000000,17.020832,16.687500,16.750000,12.496677,1487100
2000-02-24,16.770832,16.791668,16.458332,16.562500,12.356796,1670700
2000-02-25,16.562500,16.708332,16.166668,16.250000,12.123644,2069700
2000-02-28,16.250000,16.666668,16.250000,16.625000,12.403419,1077900
2000-02-29,16.708332,17.041668,16.645832,16.854168,12.574396,1150200
2000-03-01,17.125000,17.500000,17.020832,17.312500,12.916340,2246400
2000-03-02,17.541668,18.104168,17.437500,17.770832,13.258295,1854300
2000-03-03,18.166668,18.166668,17.916668,17.937500,13.382636,1990200
2000-03-06,17.937500,18.062500,17.916668,18.000000,13.429265,1321500
2000-03-07,18.000000,19.479168,17.979168,19.250000,14.361854,2733000
2000-03-08,19.333332,19.645832,18.833332,18.833332,14.050993,3372300
2000-03-09,18.833332,19.062500,18.812500,18.979168,14.197492,2245500
2000-03-10,18.958332,19.666668,18.937500,19.083332,14.275408,1636500
2000-03-13,19.000000,19.395832,18.854168,18.916668,14.150728,1947300
2000-03-14,18.916668,19.541668,18.833332,19.333332,14.462419,2195100
2000-03-15,19.250000,19.354168,18.937500,19.229168,14.384498,1722000
2000-03-16,19.229168,20.083332,19.145832,19.416668,14.524762,2916000
2000-03-17,19.541668,19.666668,19.125000,19.250000,14.400084,2451600
2000-03-20,19.333332,19.333332,18.958332,19.000000,14.213068,1831800
2000-03-21,19.041668,19.666668,19.041668,19.541668,14.618263,1239600
2000-03-22,19.666668,19.916668,19.291668,19.312500,14.446838,1520100
2000-03-23,19.479168,19.666668,19.166668,19.187500,14.353331,1056300
2000-03-24,19.291668,19.854168,19.291668,19.645832,14.696184,1638900
2000-03-27,19.645832,19.791668,19.208332,19.354168,14.478004,1551000
2000-03-28,19.500000,19.791668,19.500000,19.625000,14.680602,1016100
2000-03-29,19.708332,20.770832,19.708332,20.520832,15.350733,3942300
2000-03-30,20.791668,21.750000,20.791668,21.520832,16.098801,3381000
2000-03-31,21.666668,21.916668,21.416668,21.541668,16.114380,2008500
2000-04-03,21.541668,21.979168,21.541668,21.625000,16.176710,1672500
2000-04-04,21.541668,21.875000,21.333332,21.562500,16.129957,2739000
2000-04-05,21.479168,21.875000,20.833332,20.833332,15.584507,2400900
