Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.148438,5.148438,5.078125,5.078125,3.367762,285600
2000-01-03,5.078125,5.101563,5.000000,5.031250,3.336674,976800
2000-01-04,4.984375,5.031250,4.937500,4.960938,3.290043,1455200
2000-01-05,4.992188,5.078125,4.984375,5.039063,3.341855,704000
2000-01-06,5.031250,5.125000,5.000000,5.125000,3.398848,771200
2000-01-07,5.101563,5.203125,5.101563,5.171875,3.429934,609600
2000-01-10,5.148438,5.203125,5.125000,5.148438,3.414393,525600
2000-01-11,5.117188,5.242188,5.117188,5.156250,3.419573,480000
2000-01-12,5.156250,5.234375,4.968750,5.023438,3.331493,889600
2000-01-13,5.031250,5.078125,4.968750,5.078125,3.367762,1664800
2000-01-14,5.093750,5.093750,4.976563,5.062500,3.357398,975200
2000-01-18,5.031250,5.101563,5.007813,5.085938,3.372943,570400
2000-01-19,5.046875,5.046875,4.921875,4.937500,3.288646,937600
2000-01-20,4.960938,4.960938,4.898438,4.953125,3.299050,532000
2000-01-21,5.000000,5.000000,4.882813,4.929688,3.283440,1207200
2000-01-24,4.929688,4.953125,4.781250,4.843750,3.226202,1138400
2000-01-25,4.835938,4.851563,4.781250,4.812500,3.205386,1072000
2000-01-26,4.812500,4.960938,4.812500,4.921875,3.278237,1180000
2000-01-27,4.953125,4.992188,4.843750,4.843750,3.226202,658400
2000-01-28,4.843750,4.843750,4.625000,4.796875,3.194980,1668800
2000-01-31,4.796875,5.078125,4.765625,5.078125,3.382310,998400
2000-02-01,5.046875,5.046875,4.750000,4.851563,3.231405,1090400
2000-02-02,4.851563,4.851563,4.726563,4.765625,3.174165,1334400
2000-02-03,4.765625,4.773438,4.656250,4.734375,3.153352,2530400
2000-02-04,4.671875,4.781250,4.671875,4.734375,3.153352,1499200
2000-02-07,4.703125,4.710938,4.625000,4.640625,3.090909,1003200
2000-02-08,4.640625,4.781250,4.625000,4.750000,3.163759,794400
2000-02-09,4.781250,4.828125,4.750000,4.796875,3.194980,724800
2000-02-10,4.851563,4.875000,4.625000,4.679688,3.116926,1532000
2000-02-11,4.671875,4.671875,4.429688,4.484375,2.986839,1668800
2000-02-14,4.484375,4.539063,4.437500,4.445313,2.960821,1120800
2000-02-15,4.437500,4.515625,4.203125,4.460938,2.971228,2621600
2000-02-16,4.500000,4.609375,4.281250,4.500000,2.997245,1272800
2000-02-17,4.406250,4.562500,4.328125,4.546875,3.028466,1171600
2000-02-18,4.484375,4.625000,4.375000,4.500000,2.997245,1122800
2000-02-22,4.593750,4.593750,4.453125,4.484375,2.986839,1144400
2000-02-23,4.437500,4.437500,4.335938,4.421875,2.945210,486800
2000-02-24,4.375000,4.406250,4.250000,4.375000,2.913989,1636400
2000-02-25,4.468750,4.468750,4.312500,4.343750,2.893173,1815600
2000-02-28,4.328125,4.375000,4.203125,4.234375,2.820324,958800
2000-02-29,4.265625,4.343750,4.156250,4.171875,2.778696,1211600
2000-03-01,4.156250,4.312500,4.156250,4.234375,2.820324,1337200
2000-03-02,4.171875,4.187500,4.078125,4.078125,2.716252,1590800
2000-03-03,4.093750,4.093750,3.750000,3.796875,2.528926,3562400
2000-03-06,3.812500,4.000000,3.812500,3.859375,2.570555,1926000
2000-03-07,3.875000,3.906250,3.625000,3.625000,2.414448,2348800
2000-03-08,3.750000,3.828125,3.734375,3.781250,2.518519,1623200
2000-03-09,4.000000,4.000000,3.750000,3.765625,2.508111,1399200
2000-03-10,3.750000,3.812500,3.640625,3.656250,2.435263,901200
2000-03-13,3.625000,3.750000,3.546875,3.578125,2.383227,732400
2000-03-14,3.578125,3.593750,3.406250,3.531250,2.352006,1806800
2000-03-15,3.562500,4.234375,3.468750,3.812500,2.539333,2446400
2000-03-16,3.812500,4.265625,3.812500,4.265625,2.841139,2066000
2000-03-17,3.937500,4.125000,3.750000,3.750000,2.497705,1378400
2000-03-20,3.812500,4.046875,3.812500,3.937500,2.622591,2084800
2000-03-21,4.000000,4.000000,3.812500,3.843750,2.560147,1765200
2000-03-22,3.765625,3.843750,3.562500,3.625000,2.414448,1492000
2000-03-23,3.750000,3.781250,3.687500,3.750000,2.497705,1786400
2000-03-24,3.656250,3.734375,3.625000,3.656250,2.435263,932800
2000-03-27,3.734375,3.781250,3.625000,3.625000,2.414448,710400
2000-03-28,3.562500,3.625000,3.500000,3.546875,2.362413,1154000
2000-03-29,3.562500,3.625000,3.531250,3.609375,2.404040,588800
2000-03-30,3.750000,4.218750,3.703125,3.750000,2.497705,2306000
2000-03-31,3.937500,4.187500,3.937500,4.109375,2.737069,2198000
2000-04-03,4.046875,4.156250,3.625000,3.656250,2.435263,2297600
2000-04-04,3.671875,3.937500,3.656250,3.937500,2.622591,1113600
2000-04-05,3.937500,4.015625,3.890625,3.984375,2.653811,1624400
2000-04-06,4.000000,4.093750,3.937500,3.937500,2.622591,1294800
2000-04-07,3.953125,3.968750,3.875000,3.875000,2.580961,1064000
2000-04-10,3.937500,4.031250,3.890625,3.906250,2.601776,447200
2000-04-11,3.937500,3.968750,3.890625,3.937500,2.622591,458400
2000-04-12,3.953125,4.062500,3.937500,4.015625,2.674626,988800
2000-04-13,4.046875,4.093750,4.000000,4.078125,2.716252,1213200
2000-04-14,4.015625,4.046875,3.875000,3.968750,2.643405,1016000
2000-04-17,4.125000,4.156250,3.937500,4.109375,2.737069,1288800
2000-04-18,4.000000,4.046875,3.937500,4.015625,2.689022,993200
2000-04-19,4.031250,4.078125,3.984375,4.000000,2.678558,580400
2000-04-20,4.000000,4.015625,3.906250,3.953125,2.647169,713200
2000-04-24,3.890625,3.968750,3.890625,3.906250,2.615780,712000
2000-04-25,3.906250,4.093750,3.890625,4.062500,2.720412,635200
2000-04-26,4.031250,4.031250,3.921875,3.953125,2.647169,608000
2000-04-27,3.968750,3.968750,3.890625,3.906250,2.615780,932000
2000-04-28,3.906250,3.921875,3.812500,3.812500,2.553001,708800
2000-05-01,3.875000,3.890625,3.812500,3.843750,2.573927,498800
2000-05-02,3.812500,3.875000,3.718750,3.750000,2.511148,2039600
2000-05-03,3.765625,3.937500,3.765625,3.796875,2.542538,2182800
2000-05-04,3.812500,3.937500,3.796875,3.875000,2.594853,2007600
2000-05-05,3.890625,3.921875,3.781250,3.812500,2.553001,867600
2000-05-08,3.812500,3.890625,3.765625,3.843750,2.573927,563200
2000-05-09,3.843750,3.890625,3.765625,3.843750,2.573927,1824000
2000-05-10,3.875000,3.906250,3.828125,3.843750,2.573927,854400
2000-05-11,3.843750,4.500000,3.812500,4.250000,2.845968,2445600
2000-05-12,4.296875,4.375000,4.109375,4.140625,2.772726,1287200
2000-05-15,4.078125,4.312500,4.078125,4.203125,2.814579,485600
2000-05-16,4.109375,4.281250,4.109375,4.171875,2.793652,596400
2000-05-17,4.203125,4.250000,4.031250,4.093750,2.741337,510800
2000-05-18,4.140625,4.250000,4.125000,4.203125,2.814579,604400
2000-05-19,4.218750,4.250000,4.109375,4.218750,2.825042,411600
2000-05-22,4.218750,4.296875,4.156250,4.156250,2.783189,512400
2000-05-23,4.218750,4.296875,4.140625,4.140625,2.772726,358800
2000-05-24,4.203125,4.437500,4.187500,4.406250,2.950599,656000
2000-05-25,4.406250,4.484375,4.281250,4.312500,2.887819,812400
2000-05-26,4.312500,4.609375,4.281250,4.531250,3.034305,918800
2000-05-30,4.531250,4.593750,4.390625,4.484375,3.002914,506000
2000-05-31,4.484375,4.484375,4.312500,4.328125,2.898284,643600
2000-06-01,4.359375,4.546875,4.328125,4.359375,2.919210,753200
2000-06-02,4.375000,4.437500,4.250000,4.296875,2.877356,850000
2000-06-05,4.281250,4.453125,4.265625,4.359375,2.919210,1012000
2000-06-06,4.390625,4.437500,4.296875,4.437500,2.971524,667200
2000-06-07,4.406250,4.625000,4.406250,4.593750,3.076156,950800
2000-06-08,4.578125,4.593750,4.421875,4.453125,2.981989,346400
2000-06-09,4.500000,4.500000,4.328125,4.359375,2.919210,291600
2000-06-12,4.390625,4.656250,4.359375,4.640625,3.107546,678000
2000-06-13,4.578125,4.703125,4.531250,4.546875,3.044768,456800
2000-06-14,4.546875,4.656250,4.546875,4.625000,3.097084,467200
2000-06-15,4.593750,4.921875,4.531250,4.921875,3.295882,1399200
2000-06-16,4.718750,4.812500,4.531250,4.703125,3.149399,1170800
2000-06-19,4.640625,4.671875,4.562500,4.640625,3.107546,620000
2000-06-20,4.625000,4.640625,4.531250,4.578125,3.065693,491200
2000-06-21,4.562500,4.609375,4.406250,4.593750,3.076156,421200
2000-06-22,4.562500,4.625000,4.468750,4.562500,3.055230,438400
2000-06-23,4.500000,4.578125,4.453125,4.578125,3.065693,685200
2000-06-26,4.578125,4.578125,4.453125,4.546875,3.044768,1222800
2000-06-27,4.562500,4.593750,4.406250,4.453125,2.981989,1010400
2000-06-28,4.453125,4.531250,4.375000,4.437500,2.971524,830800
2000-06-29,4.484375,4.578125,4.359375,4.421875,2.961063,640000
2000-06-30,4.375000,4.421875,4.156250,4.207031,2.817194,2551200
2000-07-03,4.265625,4.421875,4.187500,4.343750,2.908747,582800
2000-07-05,4.390625,4.390625,4.187500,4.296875,2.877356,1130800
2000-07-06,4.312500,4.312500,4.171875,4.187500,2.804114,1257600
2000-07-07,4.203125,4.265625,4.062500,4.171875,2.793652,1574000
2000-07-10,4.156250,4.187500,4.015625,4.078125,2.730873,2071600
2000-07-11,4.109375,4.125000,3.984375,3.984375,2.668096,1080000
2000-07-12,3.984375,4.218750,3.984375,4.187500,2.804114,1078800
2000-07-13,4.140625,4.296875,4.140625,4.187500,2.804114,601600
2000-07-14,4.218750,4.312500,4.187500,4.250000,2.845968,652400
2000-07-17,4.234375,4.265625,4.156250,4.156250,2.783189,940000
2000-07-18,4.171875,4.187500,4.125000,4.125000,2.762264,228000
2000-07-19,4.140625,4.250000,4.140625,4.171875,2.808631,508800
2000-07-20,4.187500,4.218750,4.031250,4.125000,2.777074,1006400
2000-07-21,4.093750,4.171875,4.031250,4.062500,2.734997,230400
2000-07-24,4.000000,4.093750,4.000000,4.078125,2.745517,333200
2000-07-25,4.078125,4.125000,4.062500,4.062500,2.734997,215600
2000-07-26,4.109375,4.140625,4.000000,4.078125,2.745517,384400
2000-07-27,4.046875,4.109375,4.046875,4.062500,2.734997,144800
2000-07-28,4.062500,4.125000,4.015625,4.109375,2.766556,270000
2000-07-31,4.078125,4.156250,4.015625,4.046875,2.724478,407600
2000-08-01,4.078125,4.234375,4.078125,4.187500,2.819150,357600
2000-08-02,4.171875,4.234375,4.078125,4.218750,2.840189,434400
2000-08-03,4.187500,4.218750,4.062500,4.156250,2.798112,270400
2000-08-04,4.156250,4.156250,4.062500,4.093750,2.756035,933200
2000-08-07,4.062500,4.078125,4.031250,4.046875,2.724478,229200
2000-08-08,4.062500,4.062500,4.000000,4.046875,2.724478,585200
2000-08-09,4.046875,4.062500,4.000000,4.031250,2.713959,808000
2000-08-10,4.078125,4.093750,4.015625,4.031250,2.713959,466400
2000-08-11,4.015625,4.234375,4.015625,4.203125,2.829670,1115200
2000-08-14,4.171875,4.187500,4.125000,4.187500,2.819150,275200
2000-08-15,4.187500,4.187500,4.046875,4.093750,2.756035,858000
2000-08-16,4.062500,4.093750,4.000000,4.046875,2.724478,648800
2000-08-17,3.953125,4.031250,3.812500,4.000000,2.692920,1322000
2000-08-18,4.000000,4.062500,3.968750,4.046875,2.724478,376800
2000-08-21,4.093750,4.093750,3.968750,4.015625,2.703440,545200
2000-08-22,4.000000,4.015625,3.828125,3.843750,2.587728,570400
2000-08-23,3.843750,3.875000,3.765625,3.796875,2.556171,755200
2000-08-24,3.781250,3.890625,3.781250,3.859375,2.598248,474400
2000-08-25,3.921875,3.953125,3.765625,3.812500,2.566690,766000
2000-08-28,3.812500,3.968750,3.812500,3.953125,2.661363,706800
2000-08-29,3.953125,3.984375,3.890625,3.953125,2.661363,772800
2000-08-30,3.937500,3.937500,3.859375,3.859375,2.598248,919600
2000-08-31,3.843750,3.906250,3.843750,3.859375,2.598248,479200
2000-09-01,3.875000,3.890625,3.812500,3.875000,2.608766,447200
2000-09-05,3.843750,3.890625,3.796875,3.828125,2.577208,502400
2000-09-06,3.859375,3.921875,3.812500,3.921875,2.640324,698800
2000-09-07,3.937500,4.093750,3.914063,4.062500,2.734997,801200
2000-09-08,4.062500,4.062500,3.921875,3.953125,2.661363,1408000
2000-09-11,3.984375,3.984375,3.812500,3.859375,2.598248,320400
2000-09-12,3.906250,4.031250,3.875000,3.937500,2.650843,728800
2000-09-13,3.921875,3.984375,3.906250,3.906250,2.629805,538000
2000-09-14,3.890625,3.937500,3.875000,3.890625,2.619286,596400
2000-09-15,3.859375,4.015625,3.859375,3.984375,2.682401,1266000
2000-09-18,3.953125,3.968750,3.828125,3.859375,2.598248,344000
2000-09-19,3.890625,3.890625,3.765625,3.890625,2.619286,456400
2000-09-20,3.859375,3.984375,3.859375,3.875000,2.608766,654400
2000-09-21,3.890625,4.046875,3.890625,3.953125,2.661363,350400
2000-09-22,3.937500,4.031250,3.937500,4.015625,2.703440,422400
2000-09-25,4.000000,4.046875,3.890625,3.921875,2.640324,421200
2000-09-26,3.890625,4.000000,3.843750,3.953125,2.661363,658000
2000-09-27,3.953125,4.000000,3.921875,3.984375,2.682401,477200
2000-09-28,3.984375,4.062500,3.953125,4.015625,2.703440,594400
2000-09-29,4.062500,4.203125,4.031250,4.171875,2.808631,859200
2000-10-02,4.203125,4.203125,3.984375,4.046875,2.724478,479200
2000-10-03,4.046875,4.125000,4.000000,4.015625,2.703440,380800
2000-10-04,3.984375,4.046875,3.968750,3.984375,2.682401,385200
2000-10-05,4.031250,4.125000,4.015625,4.109375,2.766556,498400
2000-10-06,4.078125,4.187500,4.062500,4.171875,2.808631,555200
2000-10-09,4.156250,4.234375,4.156250,4.203125,2.829670,510400
2000-10-10,4.250000,4.343750,4.187500,4.203125,2.829670,709600
2000-10-11,4.171875,4.281250,4.171875,4.203125,2.829670,728400
2000-10-12,4.187500,4.234375,4.187500,4.203125,2.829670,363200
2000-10-13,4.187500,4.234375,4.078125,4.093750,2.756035,601200
2000-10-16,4.125000,4.156250,4.109375,4.125000,2.777074,387600
2000-10-17,4.125000,4.156250,4.093750,4.125000,2.777074,717200
2000-10-18,4.078125,4.171875,4.062500,4.125000,2.791964,707600
2000-10-19,4.109375,4.125000,4.046875,4.109375,2.781389,417200
2000-10-20,4.109375,4.109375,3.906250,4.062500,2.749662,648800
2000-10-23,4.031250,4.062500,3.984375,4.046875,2.739085,309600
2000-10-24,4.031250,4.046875,3.921875,4.031250,2.728511,595600
2000-10-25,4.000000,4.000000,3.875000,3.984375,2.696783,828400
2000-10-26,4.000000,4.125000,3.984375,4.109375,2.781389,583200
2000-10-27,4.062500,4.218750,4.031250,4.203125,2.844842,566400
2000-10-30,4.156250,4.281250,4.156250,4.281250,2.897721,370800
2000-10-31,4.328125,4.328125,4.125000,4.203125,2.844842,461200
2000-11-01,4.265625,4.328125,4.234375,4.312500,2.918871,378800
2000-11-02,4.312500,4.406250,4.281250,4.375000,2.961175,1032800
2000-11-03,4.328125,4.375000,4.312500,4.343750,2.940023,355200
2000-11-06,4.406250,4.437500,4.343750,4.421875,2.992902,516800
2000-11-07,4.390625,4.406250,4.375000,4.406250,2.982326,328800
2000-11-08,4.359375,4.500000,4.359375,4.375000,2.961175,483600
2000-11-09,4.328125,4.437500,4.328125,4.421875,2.992902,562000
2000-11-10,4.453125,4.468750,4.406250,4.421875,2.992902,515600
2000-11-13,4.453125,4.484375,4.312500,4.406250,2.982326,610400
2000-11-14,4.375000,4.531250,4.375000,4.515625,3.056354,1143200
2000-11-15,4.468750,4.546875,4.453125,4.546875,3.077505,333200
2000-11-16,4.546875,4.718750,4.531250,4.656250,3.151536,487200
2000-11-17,4.671875,4.718750,4.640625,4.640625,3.140960,196400
2000-11-20,4.656250,4.734375,4.640625,4.671875,3.162111,551600
2000-11-21,4.671875,4.734375,4.625000,4.671875,3.162111,1369600
2000-11-22,4.562500,4.750000,4.484375,4.500000,3.045779,1104400
2000-11-24,4.531250,4.531250,4.453125,4.484375,3.035203,478000
2000-11-27,4.484375,4.625000,4.375000,4.609375,3.119808,2210400
2000-11-28,4.625000,4.625000,4.546875,4.578125,3.098658,1057200
2000-11-29,4.562500,4.640625,4.484375,4.546875,3.077505,670000
2000-11-30,4.546875,4.703125,4.500000,4.687500,3.172688,501600
2000-12-01,4.656250,4.734375,4.625000,4.671875,3.162111,356000
2000-12-04,4.718750,4.734375,4.671875,4.687500,3.172688,303200
2000-12-05,4.734375,4.734375,4.375000,4.421875,2.992902,977600
2000-12-06,4.437500,4.515625,4.406250,4.468750,3.024628,497200
2000-12-07,4.500000,4.609375,4.375000,4.515625,3.056354,830800
2000-12-08,4.531250,4.625000,4.421875,4.609375,3.119808,1134800
2000-12-11,4.609375,4.609375,4.484375,4.609375,3.119808,1075600
2000-12-12,4.546875,4.562500,4.328125,4.390625,2.971750,712000
2000-12-13,4.390625,4.421875,4.312500,4.359375,2.950599,381600
2000-12-14,4.406250,4.406250,4.187500,4.312500,2.918871,801200
2000-12-15,4.187500,4.296875,4.140625,4.187500,2.834267,1368000
2000-12-18,4.250000,4.250000,4.140625,4.250000,2.876570,930400
2000-12-19,4.250000,4.265625,4.187500,4.234375,2.865993,674800
2000-12-20,4.187500,4.250000,4.171875,4.234375,2.865993,800000
2000-12-21,4.234375,4.359375,4.234375,4.296875,2.908294,699200
2000-12-22,4.359375,4.484375,4.328125,4.453125,3.014053,380000
2000-12-26,4.453125,4.625000,4.375000,4.546875,3.077505,582000
2000-12-27,4.546875,4.593750,4.500000,4.531250,3.066931,284000
2000-12-28,4.593750,4.781250,4.578125,4.781250,3.236140,1181600
2000-12-29,4.781250,4.875000,4.625000,4.656250,3.151536,1073600
2001-01-02,4.703125,4.859375,4.640625,4.656250,3.151536,845600
2001-01-03,4.718750,4.828125,4.593750,4.656250,3.151536,1107200
2001-01-04,4.640625,4.671875,4.500000,4.500000,3.045779,1206400
2001-01-05,4.468750,4.515625,4.437500,4.484375,3.035203,519200
2001-01-08,4.500000,4.593750,4.468750,4.593750,3.109232,397200
2001-01-09,4.531250,4.609375,4.453125,4.515625,3.056354,637200
2001-01-10,4.562500,4.609375,4.437500,4.500000,3.045779,575600
2001-01-11,4.531250,4.562500,4.359375,4.390625,2.971750,532000
2001-01-12,4.406250,4.421875,4.250000,4.296875,2.908294,765600
2001-01-16,4.359375,4.484375,4.312500,4.484375,3.035203,494000
2001-01-17,4.500000,4.500000,4.359375,4.375000,2.976608,726000
2001-01-18,4.406250,4.453125,4.359375,4.406250,2.997869,344000
2001-01-19,4.375000,4.437500,4.296875,4.406250,2.997869,844000
2001-01-22,4.406250,4.500000,4.390625,4.453125,3.029761,734400
2001-01-23,4.484375,4.734375,4.468750,4.546875,3.093545,730000
2001-01-24,4.750000,4.875000,4.609375,4.640625,3.157329,1385200
2001-01-25,4.687500,4.781250,4.625000,4.734375,3.221116,1036400
2001-01-26,4.656250,4.765625,4.625000,4.750000,3.231745,638800
2001-01-29,4.750000,4.775000,4.607500,4.627500,3.148400,1196800
2001-01-30,4.625000,4.850000,4.612500,4.787500,3.257259,786000
2001-01-31,4.787500,4.887500,4.725000,4.822500,3.281071,766000
2001-02-01,4.822500,4.962500,4.787500,4.957500,3.372921,689200
2001-02-02,4.930000,4.992500,4.890000,4.925000,3.350808,558400
2001-02-05,4.875000,4.995000,4.862500,4.985000,3.391632,319200
