Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.321096,8.382281,8.076358,8.076358,4.128476,557841
2000-01-03,8.198727,8.259912,8.015174,8.259912,4.222304,394708
2000-01-04,8.198727,8.259912,8.015174,8.198727,4.191027,516470
2000-01-05,8.137543,8.198727,7.892805,7.892805,4.034647,256601
2000-01-06,7.892805,8.015174,7.831620,8.015174,4.097198,676437
2000-01-07,8.015174,8.259912,7.953989,8.137543,4.159750,684099
2000-01-10,8.198727,8.565835,8.137543,8.565835,4.378686,690840
2000-01-11,8.504650,8.627019,8.443465,8.627019,4.409961,2059855
2000-01-12,8.627019,8.688204,8.504650,8.688204,4.441238,504110
2000-01-13,8.627019,8.749388,8.565835,8.688204,4.441238,1741351
2000-01-14,8.688204,8.810573,8.627019,8.810573,4.503791,2214816
2000-01-18,8.810573,9.116495,8.749388,8.871757,4.535066,1099338
2000-01-19,9.116495,9.422418,9.055311,9.361233,4.785278,1435616
2000-01-20,9.300049,9.361233,9.116495,9.177680,4.691448,1133354
2000-01-21,9.177680,9.238864,8.932942,8.994126,4.597620,524745
2000-01-24,9.116495,9.300049,8.994126,8.994126,4.597620,1226822
2000-01-25,9.116495,9.300049,8.871757,9.116495,4.660171,711475
2000-01-26,9.055311,9.238864,9.055311,9.116495,4.660171,362122
2000-01-27,9.116495,9.238864,8.932942,9.055311,4.628896,1224881
2000-01-28,9.055311,9.055311,8.749388,8.810573,4.503791,1186983
2000-01-31,8.810573,8.810573,8.565835,8.688204,4.441238,459675
2000-02-01,8.810573,8.994126,8.688204,8.932942,4.566340,266816
2000-02-02,8.932942,8.994126,8.749388,8.932942,4.566340,479594
2000-02-03,8.932942,8.994126,8.871757,8.994126,4.597620,276214
2000-02-04,8.994126,9.055311,8.932942,8.994126,4.597620,843963
2000-02-07,8.994126,9.300049,8.994126,9.116495,4.660171,544460
2000-02-08,9.177680,9.300049,9.116495,9.238864,4.722724,431482
2000-02-09,9.177680,9.300049,9.177680,9.238864,4.722724,678889
2000-02-10,9.177680,9.361233,9.116495,9.177680,4.691448,366208
2000-02-11,9.116495,9.177680,8.871757,8.932942,4.566340,372745
2000-02-14,8.932942,9.055311,8.810573,8.994126,4.597620,964705
2000-02-15,8.932942,9.055311,8.871757,8.994126,4.597620,483476
2000-02-16,8.932942,9.116495,8.871757,9.116495,4.660171,1242553
2000-02-17,9.116495,9.300049,8.994126,9.238864,4.722724,899124
2000-02-18,9.177680,9.238864,9.055311,9.055311,4.628896,900248
2000-02-22,8.932942,9.055311,8.810573,8.871757,4.535066,607077
2000-02-23,8.871757,8.932942,8.810573,8.932942,4.566340,336891
2000-02-24,8.932942,8.932942,8.688204,8.810573,4.503791,711373
2000-02-25,8.810573,8.810573,8.565835,8.749388,4.472513,420347
2000-02-28,8.627019,8.749388,8.627019,8.688204,4.441238,317687
2000-02-29,8.688204,8.810573,8.565835,8.688204,4.441238,469481
2000-03-01,8.688204,8.749388,8.504650,8.504650,4.347409,459981
2000-03-02,8.565835,8.627019,8.321096,8.504650,4.347409,2714126
2000-03-03,8.443465,8.504650,8.382281,8.443465,4.316133,329536
2000-03-06,8.443465,8.688204,8.382281,8.688204,4.441238,1036210
2000-03-07,8.627019,8.749388,8.443465,8.565835,4.378686,537922
2000-03-08,8.504650,8.627019,8.443465,8.627019,4.409961,333315
2000-03-09,8.688204,8.749388,8.565835,8.688204,4.441238,656007
2000-03-10,8.749388,8.994126,8.749388,8.749388,4.472513,763061
2000-03-13,8.810573,8.810573,8.688204,8.749388,4.472513,135349
2000-03-14,8.749388,8.810573,8.565835,8.688204,4.441238,387251
2000-03-15,8.688204,8.749388,8.565835,8.749388,4.472513,267020
2000-03-16,8.810573,9.055311,8.749388,8.749388,4.472513,939576
2000-03-17,8.871757,8.994126,8.749388,8.810573,4.503791,411358
2000-03-20,8.810573,8.932942,8.688204,8.810573,4.503791,354665
2000-03-21,8.749388,8.871757,8.627019,8.688204,4.441238,286429
2000-03-22,8.688204,8.749388,8.627019,8.749388,4.472513,832931
2000-03-23,8.749388,8.810573,8.627019,8.749388,4.472513,292762
2000-03-24,8.688204,8.810573,8.688204,8.688204,4.441238,501046
2000-03-27,8.688204,8.688204,8.443465,8.504650,4.347409,462433
2000-03-28,8.382281,8.688204,8.321096,8.688204,4.441238,531589
2000-03-29,8.443465,8.627019,8.321096,8.504650,4.452771,465702
2000-03-30,8.443465,8.749388,8.443465,8.627019,4.516839,455385
2000-03-31,8.627019,8.810573,8.627019,8.688204,4.548873,328923
2000-04-03,8.810573,8.871757,8.749388,8.749388,4.580908,502578
2000-04-04,8.810573,8.871757,8.688204,8.749388,4.580908,272638
2000-04-05,8.749388,8.994126,8.627019,8.627019,4.516839,896571
2000-04-06,8.749388,9.300049,8.749388,9.300049,4.869216,565196
2000-04-07,9.238864,9.605972,9.177680,9.605972,5.029388,817506
2000-04-10,9.728341,9.789525,9.605972,9.667156,5.061421,797894
2000-04-11,9.728341,9.850710,9.667156,9.728341,5.093456,799835
2000-04-12,9.728341,10.401371,9.728341,10.217817,5.349732,3580664
2000-04-13,10.217817,10.340186,9.973079,10.095448,5.285663,1169209
2000-04-14,10.095448,10.095448,9.544787,9.789525,5.125490,543744
2000-04-17,9.728341,9.789525,9.422418,9.667156,5.061421,412073
2000-04-18,9.544787,9.850710,9.544787,9.789525,5.125490,497981
2000-04-19,9.789525,9.789525,9.483603,9.605972,5.029388,591040
2000-04-20,9.728341,9.850710,9.728341,9.728341,5.093456,316256
2000-04-24,9.789525,10.034263,9.728341,10.034263,5.253627,477756
2000-04-25,10.095448,10.217817,10.034263,10.217817,5.349732,463250
2000-04-26,10.217817,10.217817,9.911894,9.973079,5.221595,419837
2000-04-27,9.850710,10.401371,9.789525,10.340186,5.413798,752335
2000-04-28,10.340186,10.523740,10.156632,10.462555,5.477868,509320
2000-05-01,10.523740,10.584924,10.401371,10.462555,5.477868,518922
2000-05-02,10.217817,10.279001,10.095448,10.279001,5.381766,740894
2000-05-03,10.217817,10.401371,10.095448,10.156632,5.317698,722507
2000-05-04,10.217817,10.217817,9.850710,10.095448,5.285663,279380
2000-05-05,9.973079,10.034263,9.667156,10.034263,5.253627,1351649
2000-05-08,10.034263,10.034263,9.728341,9.789525,5.125490,483374
2000-05-09,9.728341,9.789525,9.728341,9.728341,5.093456,174881
2000-05-10,9.789525,9.911894,9.728341,9.911894,5.189559,553244
2000-05-11,9.850710,9.911894,9.728341,9.850710,5.157523,502884
2000-05-12,9.850710,9.850710,9.728341,9.850710,5.157523,575105
2000-05-15,9.911894,9.911894,9.789525,9.911894,5.189559,1267273
2000-05-16,9.850710,10.034263,9.789525,10.034263,5.253627,442412
2000-05-17,10.034263,10.034263,9.850710,9.911894,5.189559,220644
2000-05-18,9.911894,9.973079,9.789525,9.789525,5.125490,363450
2000-05-19,9.789525,9.911894,9.728341,9.789525,5.125490,274681
2000-05-22,9.789525,9.850710,9.667156,9.728341,5.093456,227386
2000-05-23,9.728341,9.789525,9.483603,9.544787,4.997354,292660
2000-05-24,9.605972,9.605972,9.422418,9.483603,4.965320,817302
2000-05-25,9.483603,9.544787,9.177680,9.300049,4.869216,439756
2000-05-26,9.300049,9.361233,9.177680,9.300049,4.869216,513406
2000-05-30,9.238864,9.361233,9.177680,9.238864,4.837181,423718
2000-05-31,9.300049,9.422418,9.238864,9.422418,4.933286,836915
2000-06-01,9.422418,9.422418,9.177680,9.300049,4.869216,998108
2000-06-02,9.300049,9.483603,9.177680,9.422418,4.933286,872361
2000-06-05,9.483603,9.544787,9.300049,9.361233,4.901251,353848
2000-06-06,9.361233,9.483603,9.238864,9.300049,4.869216,548546
2000-06-07,9.300049,9.422418,9.238864,9.300049,4.869216,556207
2000-06-08,9.238864,9.361233,9.116495,9.238864,4.837181,580518
2000-06-09,9.116495,9.361233,9.116495,9.300049,4.869216,853055
2000-06-12,9.300049,9.300049,9.177680,9.300049,4.869216,192859
2000-06-13,9.300049,9.361233,9.238864,9.361233,4.901251,475100
2000-06-14,9.361233,9.605972,9.300049,9.605972,5.029388,1015780
2000-06-15,9.605972,9.605972,9.422418,9.422418,4.933286,279789
2000-06-16,9.483603,9.605972,9.300049,9.605972,5.029388,745593
2000-06-19,9.483603,9.605972,9.483603,9.605972,5.029388,266612
2000-06-20,9.544787,9.544787,9.483603,9.544787,4.997354,225752
2000-06-21,9.544787,9.667156,9.483603,9.544787,4.997354,1237139
2000-06-22,9.483603,9.605972,9.422418,9.544787,4.997354,221768
2000-06-23,9.605972,9.667156,9.422418,9.422418,4.933286,351294
2000-06-26,9.483603,9.483603,9.300049,9.361233,4.901251,174677
2000-06-27,9.361233,9.422418,9.300049,9.300049,4.869216,266918
2000-06-28,9.177680,9.361233,9.055311,9.116495,4.881007,290821
2000-06-29,9.116495,9.422418,9.055311,9.300049,4.979284,626588
2000-06-30,9.300049,9.483603,9.116495,9.162384,4.905578,1017516
2000-07-03,9.300049,9.422418,9.238864,9.361233,5.012043,167526
2000-07-05,9.238864,9.544787,9.238864,9.483603,5.077560,263343
2000-07-06,9.544787,9.789525,9.422418,9.789525,5.241353,528218
2000-07-07,9.728341,9.973079,9.605972,9.850710,5.274111,581949
2000-07-10,9.789525,10.034263,9.789525,10.034263,5.372386,398896
2000-07-11,10.095448,10.095448,9.911894,10.034263,5.372386,241483
2000-07-12,10.034263,10.279001,10.034263,10.217817,5.470662,411971
2000-07-13,10.217817,10.217817,9.973079,10.095448,5.405146,262321
2000-07-14,10.034263,10.095448,9.728341,9.728341,5.208593,405842
2000-07-17,9.850710,10.034263,9.789525,10.034263,5.372386,275294
2000-07-18,9.973079,9.973079,9.728341,9.850710,5.274111,523927
2000-07-19,9.850710,10.217817,9.789525,10.217817,5.470662,782163
2000-07-20,10.217817,10.279001,10.095448,10.279001,5.503421,579395
2000-07-21,10.340186,10.401371,10.095448,10.095448,5.405146,657131
2000-07-24,10.156632,10.279001,10.095448,10.217817,5.470662,508298
2000-07-25,10.279001,10.340186,10.217817,10.279001,5.503421,738953
2000-07-26,10.279001,10.584924,10.279001,10.523740,5.634454,928952
2000-07-27,10.523740,11.013216,10.462555,10.829662,5.798245,815055
2000-07-28,11.135585,11.502692,11.074400,11.135585,5.962036,1488632
2000-07-31,11.074400,11.074400,10.829662,10.890847,5.831005,319117
2000-08-01,10.829662,11.257954,10.707293,11.257954,6.027554,1179526
2000-08-02,11.257954,11.502692,11.074400,11.196769,5.994797,863270
2000-08-03,11.319139,11.380323,10.952031,11.013216,5.896520,419734
2000-08-04,11.074400,11.074400,10.707293,10.768478,5.765487,514530
2000-08-07,10.768478,10.890847,10.584924,10.707293,5.732730,391847
2000-08-08,10.646109,10.829662,10.523740,10.768478,5.765487,360385
2000-08-09,10.768478,11.074400,10.768478,11.013216,5.896520,327799
2000-08-10,11.013216,11.196769,10.768478,10.890847,5.831005,498390
2000-08-11,10.890847,11.196769,10.890847,11.074400,5.929280,512282
2000-08-14,11.135585,11.135585,10.890847,11.013216,5.896520,661217
2000-08-15,11.013216,11.013216,10.768478,10.890847,5.831005,702996
2000-08-16,10.829662,10.890847,10.584924,10.768478,5.765487,510444
2000-08-17,10.768478,10.768478,10.584924,10.707293,5.732730,378670
