Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,55.125000,58.000000,55.125000,57.687500,39.781219,397400
2000-01-03,57.687500,57.687500,53.562500,54.312500,37.453827,948700
2000-01-04,54.000000,54.000000,49.750000,50.000000,34.479942,1250200
2000-01-05,49.937500,49.937500,48.125000,48.875000,33.704128,1522800
2000-01-06,49.000000,50.062500,47.875000,49.000000,33.790329,984800
2000-01-07,49.500000,50.875000,48.875000,50.750000,34.997135,1341700
2000-01-10,49.750000,52.500000,49.687500,52.312500,36.074623,1541100
2000-01-11,52.000000,52.437500,51.375000,52.062500,35.902233,1126900
2000-01-12,52.000000,52.375000,51.625000,51.875000,35.772923,1129800
2000-01-13,51.875000,53.000000,51.750000,52.250000,36.031540,992700
2000-01-14,52.500000,53.625000,52.125000,53.250000,36.721123,1451400
2000-01-18,52.625000,54.437500,52.375000,54.000000,37.238319,805500
2000-01-19,54.000000,55.937500,53.500000,55.562500,38.315823,1375700
2000-01-20,55.562500,55.562500,53.187500,53.312500,36.764236,645500
2000-01-21,52.312500,53.125000,51.562500,52.750000,36.376339,1050900
2000-01-24,52.750000,52.750000,50.562500,50.875000,35.083332,465700
2000-01-25,50.687500,51.500000,50.437500,50.937500,35.126431,916900
2000-01-26,50.937500,51.562500,49.750000,50.687500,34.954025,609400
2000-01-27,50.937500,51.187500,47.500000,48.375000,33.359322,1005500
2000-01-28,48.750000,48.750000,46.312500,47.000000,32.411129,753300
2000-01-31,47.000000,47.000000,45.250000,46.000000,31.721542,850900
2000-02-01,46.125000,48.375000,45.750000,48.187500,33.230042,941500
2000-02-02,48.000000,49.312500,47.875000,48.312500,33.316235,682400
2000-02-03,48.250000,49.875000,48.250000,49.000000,33.790329,772000
2000-02-04,49.312500,50.312500,49.187500,50.062500,34.523033,661900
2000-02-07,49.875000,50.000000,49.250000,49.500000,34.135139,750400
2000-02-08,49.937500,50.750000,49.937500,50.375000,34.738537,734200
2000-02-09,49.750000,49.812500,47.375000,47.750000,32.928333,1043400
2000-02-10,48.000000,48.250000,46.687500,46.937500,32.368046,923600
2000-02-11,46.250000,46.750000,45.812500,46.062500,31.764627,1173400
2000-02-14,46.000000,46.125000,45.750000,45.875000,31.635344,545900
2000-02-15,45.937500,46.125000,45.437500,45.937500,31.678444,735400
2000-02-16,46.000000,46.000000,45.500000,45.687500,31.506042,846100
2000-02-17,45.937500,45.937500,44.500000,44.562500,30.730240,803000
2000-02-18,44.687500,45.750000,44.500000,44.875000,30.945744,1430100
2000-02-22,45.500000,45.875000,44.625000,45.000000,31.031933,1046100
2000-02-23,44.750000,45.375000,42.875000,43.000000,29.652742,1360800
2000-02-24,42.000000,42.625000,39.937500,42.125000,29.106878,2390900
2000-02-25,41.875000,41.937500,36.000000,38.312500,26.472570,5279000
2000-02-28,38.000000,39.312500,37.000000,39.187500,27.077169,1546800
2000-02-29,39.875000,41.000000,39.500000,40.187500,27.768143,1960300
2000-03-01,40.187500,41.500000,39.687500,41.500000,28.675024,1644400
2000-03-02,41.000000,41.375000,40.500000,41.375000,28.588657,1151700
2000-03-03,40.875000,42.437500,40.750000,42.187500,29.150053,838200
2000-03-06,42.187500,42.187500,40.875000,41.312500,28.545477,893200
2000-03-07,41.062500,41.125000,40.062500,40.125000,27.724949,1555500
2000-03-08,40.062500,40.187500,38.687500,39.500000,27.293100,938300
2000-03-09,39.250000,39.250000,36.625000,37.625000,25.997543,1907600
2000-03-10,37.437500,37.937500,36.500000,37.000000,25.565699,1581100
2000-03-13,37.000000,37.437500,36.375000,37.062500,25.608868,1133900
2000-03-14,37.500000,38.500000,37.125000,38.000000,26.256657,1351300
2000-03-15,38.125000,38.750000,37.875000,38.000000,26.256657,1539800
2000-03-16,38.625000,40.812500,38.312500,40.812500,28.199987,1311800
2000-03-17,40.812500,42.437500,40.812500,42.125000,29.106878,1454200
2000-03-20,42.375000,43.500000,41.000000,41.562500,28.718203,1171200
2000-03-21,41.562500,41.750000,40.750000,41.312500,28.545477,977500
2000-03-22,40.937500,42.625000,40.875000,42.437500,29.322803,685900
2000-03-23,42.500000,43.750000,42.187500,43.375000,29.970589,1278300
2000-03-24,43.500000,44.000000,43.375000,43.750000,30.229704,1121800
2000-03-27,44.125000,47.500000,44.000000,45.687500,31.568449,1602600
2000-03-28,45.875000,46.562500,45.687500,46.062500,31.827541,917600
