Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.542890,10.816732,10.320394,10.765386,4.989673,139862
2000-01-03,10.765386,10.765386,9.738482,9.772712,4.529580,666079
2000-01-04,9.772712,9.960978,9.173684,9.464640,4.386790,354585
2000-01-05,9.413295,9.464640,9.156569,9.156569,4.244003,669731
2000-01-06,9.225029,9.225029,8.985418,9.070993,4.204339,662793
2000-01-07,9.105224,9.173684,8.968303,9.036763,4.188473,626275
2000-01-10,9.053878,9.584446,9.036763,9.498870,4.402656,1627950
2000-01-11,9.498870,9.721366,9.498870,9.601561,4.450251,243937
2000-01-12,9.584446,9.584446,9.105224,9.225029,4.275732,320258
2000-01-13,9.293489,9.310605,9.019648,9.310605,4.315395,463772
2000-01-14,9.310605,9.379065,9.276374,9.293489,4.307464,157025
2000-01-18,9.225029,9.225029,8.899843,8.951188,4.148809,440401
2000-01-19,9.002533,9.053878,8.934073,8.951188,4.148809,117586
2000-01-20,8.934073,9.207914,8.934073,9.173684,4.251935,207785
2000-01-21,9.173684,9.584446,9.105224,9.447525,4.378858,749339
2000-01-24,9.464640,9.772712,9.464640,9.550216,4.426455,1513650
2000-01-25,9.550216,9.550216,9.207914,9.207914,4.267799,441131
2000-01-26,9.207914,9.567331,9.173684,9.173684,4.251935,471441
2000-01-27,9.207914,9.379065,9.173684,9.173684,4.251935,914398
2000-01-28,9.207914,9.413295,9.036763,9.310605,4.315395,367731
2000-01-31,9.379065,9.515985,9.002533,9.036763,4.188473,467059
2000-02-01,9.002533,9.002533,8.780037,8.934073,4.140874,503576
2000-02-02,8.865612,9.310605,8.728692,9.139454,4.236068,284106
2000-02-03,9.070993,9.379065,9.070993,9.207914,4.267799,399136
2000-02-04,9.105224,9.550216,9.105224,9.533101,4.418521,162138
2000-02-07,9.481755,9.481755,8.968303,9.036763,4.188473,595235
2000-02-08,9.105224,9.413295,9.036763,9.344835,4.331262,520374
2000-02-09,9.310605,9.310605,8.797152,8.797152,4.077415,298713
2000-02-10,8.797152,8.797152,8.369275,8.608886,3.990155,534251
2000-02-11,8.608886,8.899843,8.454850,8.591771,3.982222,657315
2000-02-14,8.574656,8.574656,7.941398,8.215239,3.807702,1189375
2000-02-15,8.283700,8.591771,8.283700,8.506196,3.942559,708440
2000-02-16,8.471965,8.523311,8.471965,8.506196,3.942559,279359
2000-02-17,8.506196,9.293489,8.506196,9.156569,4.244003,445879
2000-02-18,9.156569,9.207914,8.882727,8.968303,4.156741,273151
2000-02-22,8.865612,8.865612,8.762922,8.780037,4.069481,93850
2000-02-23,8.762922,8.762922,7.941398,8.574656,3.974289,767963
2000-02-24,8.574656,8.574656,8.249469,8.352160,3.871165,342534
2000-02-25,8.352160,8.352160,7.599096,8.009858,3.712509,1035636
2000-02-28,7.941398,8.146779,7.667557,7.992743,3.704577,598157
2000-02-29,7.975628,8.591771,7.941398,8.352160,3.871165,1394238
2000-03-01,8.215239,8.489081,8.215239,8.335045,3.863231,523296
2000-03-02,8.369275,8.489081,8.283700,8.420620,3.902895,296887
2000-03-03,8.454850,8.591771,8.437735,8.574656,3.974289,217279
2000-03-06,8.557541,9.105224,8.557541,9.105224,4.220202,774171
2000-03-07,9.105224,9.139454,8.780037,8.780037,4.069481,888471
2000-03-08,8.780037,8.882727,8.626001,8.711577,4.037753,376130
2000-03-09,8.677346,8.899843,8.591771,8.814267,4.085348,189891
2000-03-10,8.677346,8.694462,8.591771,8.591771,3.982222,280820
