Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.312500,3.546875,3.312500,3.460938,2.848000,361200
2000-01-03,3.562500,3.609375,3.265625,3.359375,2.764424,246000
2000-01-04,3.265625,3.312500,3.187500,3.187500,2.622988,279600
2000-01-05,3.250000,3.308594,3.156250,3.218750,2.648703,145600
2000-01-06,3.250000,3.343750,3.250000,3.312500,2.725849,223600
2000-01-07,3.343750,3.484375,3.265625,3.312500,2.725849,165600
2000-01-10,3.343750,3.406250,3.187500,3.218750,2.648703,272400
2000-01-11,3.281250,3.312500,3.218750,3.265625,2.687276,134400
2000-01-12,3.187500,3.265625,3.171875,3.234375,2.661561,229200
2000-01-13,3.218750,3.281250,3.218750,3.250000,2.674418,300800
2000-01-14,3.218750,3.265625,3.171875,3.250000,2.674418,172000
2000-01-18,3.218750,3.281250,3.171875,3.218750,2.648703,259600
2000-01-19,3.156250,3.187500,3.109375,3.109375,2.558699,179600
2000-01-20,3.109375,3.234375,3.109375,3.218750,2.648703,267600
2000-01-21,3.218750,3.218750,3.078125,3.078125,2.532982,192800
2000-01-24,3.117188,3.140625,3.000000,3.031250,2.494411,211600
2000-01-25,3.093750,3.156250,3.000000,3.000000,2.468694,222400
2000-01-26,3.031250,3.250000,3.031250,3.218750,2.648703,244800
2000-01-27,3.218750,3.296875,3.062500,3.101563,2.552270,382000
2000-01-28,3.109375,3.171875,3.031250,3.171875,2.610130,214000
2000-01-31,3.000000,3.187500,2.937500,3.156250,2.597272,976800
2000-02-01,3.132813,3.140625,3.062500,3.109375,2.568873,166800
2000-02-02,3.109375,3.218750,3.093750,3.171875,2.620507,256000
2000-02-03,3.156250,3.187500,3.125000,3.140625,2.594691,254400
2000-02-04,3.109375,3.187500,3.109375,3.125000,2.581780,103200
2000-02-07,3.132813,3.140625,3.062500,3.078125,2.543054,298400
2000-02-08,3.031250,3.156250,3.031250,3.078125,2.543054,278400
2000-02-09,3.031250,3.125000,3.031250,3.062500,2.530145,713600
2000-02-10,3.062500,3.093750,3.000000,3.015625,2.491419,149600
2000-02-11,3.000000,3.078125,2.968750,3.046875,2.517236,118000
2000-02-14,3.000000,3.093750,2.953125,3.078125,2.543054,224000
2000-02-15,3.062500,3.078125,2.812500,2.914063,2.407512,529600
2000-02-16,2.921875,2.937500,2.843750,2.867188,2.368784,512800
2000-02-17,2.937500,2.937500,2.671875,2.718750,2.246148,570400
2000-02-18,2.781250,2.812500,2.687500,2.718750,2.246148,498400
2000-02-22,2.734375,2.750000,2.687500,2.734375,2.259059,342400
2000-02-23,2.867188,2.867188,2.750000,2.796875,2.310694,530800
2000-02-24,2.765625,2.812500,2.703125,2.765625,2.284876,970800
2000-02-25,2.765625,2.828125,2.718750,2.820313,2.330057,756400
2000-02-28,2.750000,2.765625,2.625000,2.718750,2.246148,293600
2000-02-29,2.734375,2.875000,2.625000,2.875000,2.375238,257600
2000-03-01,2.796875,3.000000,2.781250,2.937500,2.426874,256800
2000-03-02,2.906250,2.937500,2.812500,2.828125,2.336512,382000
2000-03-03,2.812500,2.937500,2.812500,2.875000,2.375238,164800
2000-03-06,2.828125,2.937500,2.812500,2.859375,2.362330,326800
2000-03-07,2.843750,2.859375,2.750000,2.828125,2.336512,429600
2000-03-08,2.765625,2.968750,2.750000,2.875000,2.375238,369600
2000-03-09,2.937500,3.062500,2.875000,3.062500,2.530145,528000
2000-03-10,3.078125,3.218750,3.015625,3.218750,2.659235,280400
2000-03-13,3.234375,3.500000,3.156250,3.398438,2.807687,596400
2000-03-14,3.843750,4.000000,3.562500,3.593750,2.969048,1668000
2000-03-15,3.734375,3.875000,3.625000,3.750000,3.098138,1592400
2000-03-16,3.781250,3.906250,3.656250,3.875000,3.201409,1379600
2000-03-17,3.765625,3.937500,3.687500,3.812500,3.149773,867600
2000-03-20,3.812500,3.906250,3.750000,3.828125,3.162682,382000
2000-03-21,3.781250,3.906250,3.750000,3.875000,3.201409,342400
2000-03-22,3.835938,3.906250,3.812500,3.875000,3.201409,462000
2000-03-23,3.828125,4.000000,3.812500,3.968750,3.278862,337200
2000-03-24,3.937500,4.000000,3.812500,3.812500,3.149773,463200
2000-03-27,3.828125,3.937500,3.781250,3.812500,3.149773,307600
2000-03-28,3.843750,3.890625,3.578125,3.578125,2.956140,1338000
2000-03-29,3.750000,3.906250,3.734375,3.859375,3.188500,538800
2000-03-30,3.781250,3.875000,3.687500,3.843750,3.175591,639600
2000-03-31,3.859375,3.875000,3.250000,3.421875,2.827050,1591600
2000-04-03,3.406250,3.640625,3.343750,3.625000,2.994866,360400
2000-04-04,3.687500,3.687500,3.406250,3.468750,2.865777,279600
2000-04-05,3.531250,3.750000,3.468750,3.656250,3.020684,130800
2000-04-06,3.671875,3.750000,3.593750,3.593750,2.969048,138800
2000-04-07,3.625000,3.640625,3.468750,3.546875,2.930321,224800
2000-04-10,3.539063,3.539063,3.281250,3.375000,2.788324,579200
2000-04-11,3.375000,3.531250,3.343750,3.531250,2.917413,420400
2000-04-12,3.562500,3.562500,3.406250,3.515625,2.904504,190000
2000-04-13,3.562500,3.593750,3.406250,3.562500,2.943229,305600
2000-04-14,3.625000,3.718750,3.468750,3.546875,2.930321,520800
2000-04-17,3.531250,3.859375,3.531250,3.812500,3.149773,820400
2000-04-18,3.796875,3.968750,3.796875,3.968750,3.278862,747200
2000-04-19,3.875000,4.203125,3.859375,4.031250,3.330498,582800
2000-04-20,3.968750,4.257813,3.968750,4.156250,3.433768,754000
2000-04-24,4.187500,4.187500,3.921875,4.000000,3.304680,562800
2000-04-25,3.968750,4.250000,3.968750,4.234375,3.498313,448400
2000-04-26,4.175781,4.312500,4.125000,4.250000,3.511222,488400
2000-04-27,4.156250,4.171875,3.984375,4.031250,3.330498,407600
2000-04-28,4.000000,4.125000,3.968750,4.125000,3.407951,577600
2000-05-01,4.109375,4.156250,3.968750,4.136719,3.417631,299600
2000-05-02,4.062500,4.156250,4.046875,4.062500,3.356316,112400
2000-05-03,3.968750,4.062500,3.937500,4.062500,3.356316,202400
2000-05-04,4.000000,4.375000,3.968750,4.265625,3.524132,794000
2000-05-05,4.328125,4.343750,4.109375,4.156250,3.433768,174800
2000-05-08,4.140625,4.281250,4.062500,4.062500,3.356316,307600
2000-05-09,4.218750,4.250000,4.046875,4.218750,3.485404,187200
2000-05-10,4.187500,4.218750,4.140625,4.171875,3.446677,264400
2000-05-11,4.171875,4.203125,3.921875,4.015625,3.317589,430000
2000-05-12,4.093750,4.250000,4.000000,4.031250,3.330498,246800
2000-05-15,4.140625,4.140625,3.937500,3.953125,3.265953,305200
2000-05-16,3.937500,4.078125,3.937500,4.062500,3.356316,261600
2000-05-17,3.937500,4.125000,3.906250,4.062500,3.356316,426400
2000-05-18,4.015625,4.093750,3.984375,4.031250,3.330498,349200
2000-05-19,3.960938,4.000000,3.921875,3.921875,3.240135,464000
2000-05-22,3.937500,3.953125,3.828125,3.843750,3.175591,169200
2000-05-23,3.906250,3.937500,3.828125,3.828125,3.162682,416400
2000-05-24,3.890625,3.890625,3.781250,3.812500,3.149773,324400
2000-05-25,3.875000,3.968750,3.875000,3.921875,3.240135,369600
2000-05-26,3.890625,4.078125,3.859375,4.046875,3.343407,468800
2000-05-30,3.968750,4.078125,3.968750,4.015625,3.317589,92000
2000-05-31,4.015625,4.125000,3.968750,4.000000,3.304680,277200
2000-06-01,4.000000,4.109375,3.937500,4.093750,3.382133,373600
2000-06-02,4.125000,4.125000,4.000000,4.000000,3.304680,76400
2000-06-05,3.921875,4.125000,3.921875,4.062500,3.356316,232000
2000-06-06,4.000000,4.109375,4.000000,4.000000,3.304680,293600
2000-06-07,4.015625,4.109375,3.953125,4.000000,3.304680,967200
2000-06-08,3.937500,4.000000,3.906250,3.953125,3.265953,196800
2000-06-09,4.000000,4.031250,3.921875,3.968750,3.278862,159600
2000-06-12,4.015625,4.031250,3.953125,4.000000,3.304680,236000
2000-06-13,3.937500,4.015625,3.937500,4.000000,3.304680,416800
2000-06-14,3.937500,4.015625,3.875000,4.015625,3.317589,229200
2000-06-15,4.000000,4.015625,3.953125,4.015625,3.317589,332800
2000-06-16,3.843750,3.953125,3.796875,3.859375,3.188500,758000
2000-06-19,3.890625,3.937500,3.750000,3.921875,3.240135,550800
2000-06-20,3.953125,3.984375,3.812500,3.984375,3.291771,341200
2000-06-21,3.953125,4.000000,3.953125,3.968750,3.278862,146400
2000-06-22,4.000000,4.000000,3.812500,3.812500,3.149773,407600
2000-06-23,3.906250,3.906250,3.718750,3.718750,3.072320,215200
2000-06-26,3.781250,3.781250,3.703125,3.750000,3.098138,76800
2000-06-27,3.750000,3.781250,3.609375,3.625000,2.994866,318800
2000-06-28,3.609375,3.640625,3.343750,3.562500,2.943229,829200
2000-06-29,3.531250,3.625000,3.484375,3.484375,2.878685,301200
2000-06-30,3.539063,3.906250,3.406250,3.859375,3.188500,864800
2000-07-03,3.843750,3.843750,3.578125,3.578125,2.956140,103600
2000-07-05,3.750000,3.875000,3.750000,3.828125,3.162682,290400
2000-07-06,3.812500,3.906250,3.812500,3.875000,3.201409,361600
2000-07-07,3.781250,3.875000,3.703125,3.750000,3.098138,248000
2000-07-10,3.750000,3.796875,3.718750,3.796875,3.136865,86400
2000-07-11,3.750000,3.875000,3.750000,3.812500,3.149773,476000
2000-07-12,3.812500,3.968750,3.750000,3.843750,3.175591,129600
2000-07-13,3.906250,3.984375,3.875000,3.906250,3.227225,164800
2000-07-14,3.812500,3.984375,3.812500,3.859375,3.188500,146000
2000-07-17,3.968750,4.000000,3.812500,3.843750,3.175591,206000
2000-07-18,3.921875,4.000000,3.812500,3.968750,3.278862,76000
2000-07-19,3.859375,3.921875,3.750000,3.765625,3.111047,385600
2000-07-20,3.843750,3.921875,3.765625,3.906250,3.227225,149200
2000-07-21,3.921875,3.937500,3.796875,3.812500,3.149773,242800
2000-07-24,3.835938,3.859375,3.750000,3.750000,3.098138,96000
2000-07-25,3.734375,3.750000,3.656250,3.656250,3.020684,114000
2000-07-26,3.718750,3.906250,3.671875,3.859375,3.188500,344800
2000-07-27,3.781250,3.816406,3.593750,3.625000,2.994866,205200
2000-07-28,3.593750,3.734375,3.593750,3.687500,3.046503,93200
2000-07-31,3.640625,3.703125,3.578125,3.703125,3.059411,110000
2000-08-01,3.734375,3.750000,3.593750,3.750000,3.098138,244400
2000-08-02,3.718750,3.906250,3.656250,3.828125,3.162682,469200
2000-08-03,3.796875,3.843750,3.750000,3.812500,3.149773,237200
2000-08-04,3.734375,3.859375,3.718750,3.843750,3.175591,119600
2000-08-07,3.796875,3.808594,3.546875,3.593750,2.969048,272800
2000-08-08,3.593750,3.734375,3.593750,3.703125,3.059411,83600
2000-08-09,3.703125,3.750000,3.562500,3.687500,3.046503,527600
2000-08-10,3.625000,3.734375,3.625000,3.671875,3.033592,98000
2000-08-11,3.625000,3.750000,3.593750,3.703125,3.059411,209600
2000-08-14,3.625000,3.718750,3.625000,3.656250,3.020684,84000
2000-08-15,3.656250,3.718750,3.593750,3.593750,2.969048,111200
2000-08-16,3.578125,3.703125,3.562500,3.644531,3.011003,210400
2000-08-17,3.640625,3.671875,3.640625,3.671875,3.033592,116400
2000-08-18,3.664063,3.671875,3.593750,3.671875,3.033592,90400
2000-08-21,3.593750,3.625000,3.531250,3.593750,2.969048,228400
2000-08-22,3.585938,3.585938,3.390625,3.531250,2.917413,200400
2000-08-23,3.515625,3.625000,3.500000,3.578125,2.956140,150400
2000-08-24,3.500000,3.625000,3.437500,3.500000,2.891595,392000
2000-08-25,3.562500,3.562500,3.468750,3.562500,2.943229,206800
2000-08-28,3.562500,3.562500,3.453125,3.453125,2.852867,207600
2000-08-29,3.484375,3.546875,3.437500,3.531250,2.917413,183600
2000-08-30,3.531250,3.546875,3.359375,3.406250,2.814142,693200
2000-08-31,3.437500,3.468750,3.375000,3.375000,2.788324,199600
2000-09-01,3.453125,3.453125,3.343750,3.375000,2.788324,175200
2000-09-05,3.343750,3.375000,3.234375,3.250000,2.685052,282400
2000-09-06,3.218750,3.281250,3.125000,3.203125,2.646325,368800
2000-09-07,3.226563,3.265625,3.156250,3.250000,2.685052,306800
2000-09-08,3.218750,3.343750,3.218750,3.265625,2.697961,125200
2000-09-11,3.343750,3.343750,3.265625,3.277344,2.707644,49600
2000-09-12,3.281250,3.281250,3.234375,3.250000,2.685052,51600
2000-09-13,3.234375,3.265625,3.234375,3.242188,2.678597,150800
2000-09-14,3.250000,3.312500,3.175781,3.250000,2.685052,471600
2000-09-15,3.226563,3.250000,3.156250,3.156250,2.607599,380000
2000-09-18,3.156250,3.218750,3.125000,3.140625,2.594691,389200
2000-09-19,3.125000,3.187500,3.109375,3.125000,2.581780,309200
2000-09-20,3.140625,3.375000,3.109375,3.203125,2.646325,261600
2000-09-21,3.156250,3.265625,3.156250,3.203125,2.646325,143200
2000-09-22,3.156250,3.250000,3.109375,3.203125,2.646325,153600
2000-09-25,3.171875,3.171875,3.062500,3.078125,2.543054,132400
2000-09-26,3.062500,3.109375,3.000000,3.031250,2.504328,124000
2000-09-27,3.015625,3.093750,2.875000,2.906250,2.401057,369200
2000-09-28,2.984375,3.265625,2.875000,3.218750,2.659235,279200
2000-09-29,3.281250,3.312500,3.125000,3.187500,2.633416,342800
2000-10-02,3.140625,3.171875,3.062500,3.062500,2.530145,232000
2000-10-03,3.093750,3.187500,3.062500,3.109375,2.568873,121200
2000-10-04,3.140625,3.250000,3.140625,3.218750,2.659235,191600
2000-10-05,3.171875,3.265625,3.109375,3.171875,2.620507,240000
2000-10-06,3.187500,3.203125,2.984375,3.046875,2.517236,230800
2000-10-09,2.984375,2.984375,2.843750,2.875000,2.375238,410000
2000-10-10,2.863281,2.890625,2.734375,2.859375,2.362330,283200
2000-10-11,2.843750,2.843750,2.687500,2.718750,2.246148,206800
2000-10-12,2.742188,2.750000,2.625000,2.656250,2.194515,198800
2000-10-13,2.710938,3.031250,2.687500,3.000000,2.478510,238000
2000-10-16,2.937500,3.125000,2.937500,3.031250,2.504328,78400
2000-10-17,3.015625,3.121094,3.015625,3.093750,2.555964,233200
2000-10-18,3.093750,3.468750,3.062500,3.328125,2.749596,323600
2000-10-19,3.312500,3.500000,3.312500,3.421875,2.827050,318400
2000-10-20,3.375000,3.453125,3.187500,3.312500,2.736688,382800
2000-10-23,3.375000,3.375000,3.250000,3.250000,2.685052,102800
2000-10-24,3.218750,3.265625,3.187500,3.203125,2.646325,243200
2000-10-25,3.187500,3.218750,3.171875,3.171875,2.620507,132400
2000-10-26,3.171875,3.343750,3.171875,3.312500,2.736688,449600
2000-10-27,3.312500,3.343750,3.234375,3.250000,2.685052,344000
2000-10-30,3.234375,3.343750,3.218750,3.296875,2.723778,224000
2000-10-31,3.250000,3.343750,3.250000,3.265625,2.697961,273200
2000-11-01,3.250000,3.343750,3.250000,3.328125,2.749596,266000
2000-11-02,3.343750,3.343750,3.265625,3.312500,2.736688,301600
2000-11-03,3.250000,3.265625,3.125000,3.234375,2.672145,104400
2000-11-06,3.250000,3.250000,3.156250,3.171875,2.620507,94000
2000-11-07,3.156250,3.187500,3.140625,3.187500,2.633416,120800
2000-11-08,3.218750,3.234375,3.171875,3.218750,2.659235,39600
2000-11-09,3.234375,3.234375,3.093750,3.156250,2.607599,101600
2000-11-10,3.156250,3.156250,2.984375,3.031250,2.504328,101200
2000-11-13,3.000000,3.261719,2.968750,3.218750,2.659235,206800
2000-11-14,3.218750,3.312500,3.187500,3.250000,2.685052,223600
2000-11-15,3.250000,3.281250,3.203125,3.265625,2.697961,113200
2000-11-16,3.250000,3.281250,3.203125,3.203125,2.646325,122400
2000-11-17,3.312500,3.312500,3.187500,3.218750,2.659235,102400
2000-11-20,3.156250,3.203125,3.125000,3.171875,2.620507,179600
2000-11-21,3.203125,3.312500,3.187500,3.296875,2.723778,180800
2000-11-22,3.277344,3.343750,3.203125,3.343750,2.762506,200000
2000-11-24,3.343750,3.343750,3.312500,3.343750,2.762506,111200
2000-11-27,3.343750,3.390625,3.281250,3.343750,2.762506,191200
2000-11-28,3.250000,3.343750,3.250000,3.312500,2.736688,194000
2000-11-29,3.343750,3.343750,3.218750,3.281250,2.710871,94800
2000-11-30,3.218750,3.343750,3.218750,3.281250,2.710871,394000
2000-12-01,3.250000,3.390625,3.250000,3.343750,2.762506,327200
2000-12-04,3.296875,3.375000,3.203125,3.265625,2.697961,264000
2000-12-05,3.312500,3.375000,3.265625,3.312500,2.736688,458400
2000-12-06,3.312500,3.656250,3.312500,3.421875,2.827050,840400
2000-12-07,3.437500,3.781250,3.406250,3.609375,2.981957,530800
2000-12-08,3.640625,4.015625,3.609375,4.015625,3.317589,844000
2000-12-11,3.906250,4.312500,3.859375,4.296875,3.549949,1780400
