Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.125000,13.421875,12.859375,13.421875,10.416986,302800
2000-01-03,13.250000,13.437500,13.000000,13.437500,10.429110,248400
2000-01-04,13.062500,13.375000,12.281250,12.343750,9.580233,563200
2000-01-05,12.375000,12.687500,12.062500,12.593750,9.774262,860000
2000-01-06,12.796875,13.062500,12.250000,12.468750,9.677242,819200
2000-01-07,12.421875,12.531250,12.250000,12.468750,9.677242,335600
2000-01-10,12.406250,13.000000,12.234375,12.929688,10.034990,966400
2000-01-11,12.531250,13.078125,12.531250,12.984375,10.077433,310800
2000-01-12,12.968750,13.062500,12.843750,12.921875,10.028923,385600
2000-01-13,12.890625,13.000000,12.500000,13.000000,10.089560,370400
2000-01-14,12.578125,13.265625,12.578125,13.187500,10.235082,247200
2000-01-18,13.117188,13.968750,13.015625,13.812500,10.720157,522400
2000-01-19,13.750000,14.480469,13.718750,14.078125,10.926316,437600
2000-01-20,13.937500,14.250000,13.750000,14.218750,11.035455,222400
2000-01-21,14.281250,14.562500,14.125000,14.531250,11.277991,429600
2000-01-24,14.500000,14.593750,14.312500,14.562500,11.302247,739200
2000-01-25,14.500000,14.593750,14.437500,14.515625,11.265868,342400
2000-01-26,14.468750,14.750000,14.437500,14.500000,11.253741,364000
2000-01-27,14.718750,14.750000,14.375000,14.531250,11.277991,384400
2000-01-28,14.500000,14.718750,14.437500,14.593750,11.326498,590000
2000-01-31,14.500000,15.187500,14.000000,14.312500,11.108212,831200
2000-02-01,14.312500,14.531250,13.312500,13.750000,10.671650,540400
2000-02-02,13.593750,13.937500,13.484375,13.750000,10.671650,424800
2000-02-03,13.695313,13.992188,13.695313,13.812500,10.720157,303600
2000-02-04,13.859375,14.687500,13.781250,14.687500,11.399261,455200
2000-02-07,14.250000,14.843750,14.250000,14.812500,11.496273,315200
2000-02-08,14.796875,15.125000,14.750000,15.078125,11.702429,511600
2000-02-09,15.062500,15.281250,15.062500,15.156250,11.763058,538400
2000-02-10,15.171875,15.281250,14.843750,14.929688,11.587236,396000
2000-02-11,14.992188,15.437500,14.859375,15.250000,11.835827,480800
2000-02-14,15.203125,16.187500,14.906250,15.031250,11.685212,1492000
2000-02-15,15.250000,15.250000,14.765625,14.859375,11.551592,163600
2000-02-16,14.750000,15.062500,14.750000,15.015625,11.673059,743600
2000-02-17,15.078125,15.078125,14.625000,15.000000,11.660914,328400
2000-02-18,14.968750,15.031250,14.875000,14.984375,11.648764,511200
2000-02-22,14.976563,15.000000,14.750000,14.875000,11.563743,234800
2000-02-23,14.812500,15.437500,14.812500,15.414063,11.982807,699200
2000-02-24,15.437500,15.750000,15.250000,15.625000,12.146791,739200
2000-02-25,15.421875,16.125000,15.406250,15.937500,12.389723,417600
2000-02-28,15.937500,16.250000,15.734375,16.164063,12.565856,517600
2000-02-29,15.937500,17.500000,15.875000,17.468750,13.580111,504400
2000-03-01,17.390625,17.687500,17.218750,17.625000,13.701571,635200
2000-03-02,17.515625,17.625000,17.406250,17.515625,13.616549,460000
2000-03-03,17.515625,17.875000,17.375000,17.546875,13.640839,538400
2000-03-06,17.687500,17.812500,17.406250,17.593750,13.677278,306400
2000-03-07,17.625000,17.625000,16.000000,17.187500,13.361465,441000
2000-03-08,17.187500,17.679688,17.000000,17.531250,13.628699,350000
2000-03-09,17.625000,18.687500,17.375000,18.531250,14.406091,463400
