Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.218750,29.437500,29.031250,29.125000,15.966608,2829800
2000-01-03,29.000000,29.000000,27.625000,28.187500,15.452658,10997000
2000-01-04,28.187500,28.406250,27.812500,28.218750,15.469790,7308000
2000-01-05,28.218750,28.718750,28.031250,28.468750,15.606835,9457400
2000-01-06,28.468750,28.843750,28.281250,28.500000,15.623968,7129200
2000-01-07,28.937500,30.375000,28.937500,30.375000,16.651863,11474000
2000-01-10,30.375000,30.468750,29.375000,29.406250,16.120781,8723800
2000-01-11,30.062500,30.625000,30.062500,30.406250,16.668997,9398000
2000-01-12,30.406250,30.906250,30.218750,30.750000,16.857439,8389800
2000-01-13,30.718750,30.718750,30.218750,30.281250,16.600468,6106000
2000-01-14,30.343750,30.968750,30.343750,30.531250,16.737524,7513200
2000-01-18,30.531250,32.500000,30.531250,32.500000,17.816805,18350800
2000-01-19,32.500000,32.625000,32.031250,32.625000,17.885344,12813400
2000-01-20,32.625000,32.968750,32.562500,32.937500,18.056650,11539800
2000-01-21,32.937500,33.437500,32.875000,33.437500,18.330755,11385800
2000-01-24,33.375000,33.375000,31.781250,32.437500,17.782543,11306000
2000-01-25,32.437500,33.031250,31.437500,32.937500,18.056650,9718600
2000-01-26,32.750000,32.750000,31.375000,31.531250,17.285728,23723800
2000-01-27,31.343750,31.343750,29.218750,29.750000,16.309225,17550800
2000-01-28,29.750000,29.781250,28.468750,28.468750,15.606835,10875200
2000-01-31,28.468750,29.375000,28.281250,28.718750,15.743894,10734600
2000-02-01,28.718750,29.187500,28.156250,29.062500,15.932335,8114600
2000-02-02,28.937500,28.937500,28.031250,28.187500,15.452658,7164000
2000-02-03,28.187500,28.375000,27.531250,27.625000,15.144291,9464400
2000-02-04,27.625000,28.875000,27.531250,28.125000,15.418384,11501800
2000-02-07,28.125000,28.812500,27.781250,28.437500,15.589708,7742800
2000-02-08,28.437500,28.937500,28.375000,28.593750,15.675367,8261200
2000-02-09,28.593750,28.875000,28.375000,28.500000,15.623968,7948600
2000-02-10,28.500000,28.687500,28.125000,28.343750,15.538313,8031000
2000-02-11,27.968750,27.968750,27.437500,27.781250,15.229945,7688600
2000-02-14,27.625000,27.625000,26.906250,27.062500,14.835919,7134000
2000-02-15,27.062500,27.875000,26.625000,27.843750,15.264211,7850800
2000-02-16,27.718750,27.718750,26.625000,26.781250,14.681732,6869200
2000-02-17,26.781250,26.781250,25.593750,26.156250,14.339105,11661000
2000-02-18,26.156250,26.156250,25.375000,25.687500,14.082129,11443400
2000-02-22,25.687500,26.312500,25.250000,25.875000,14.184921,10543000
2000-02-23,25.718750,25.718750,25.000000,25.625000,14.047870,11021600
2000-02-24,25.250000,25.250000,24.156250,24.906250,13.653836,15451600
2000-02-25,24.906250,25.343750,24.031250,24.343750,13.345478,10905200
2000-02-28,24.343750,24.843750,23.781250,24.656250,13.516788,10790800
2000-02-29,24.406250,24.406250,23.812500,24.312500,13.328343,10346200
2000-03-01,24.593750,25.687500,24.593750,25.500000,13.979341,15612200
2000-03-02,25.500000,25.906250,24.687500,24.812500,13.602450,11358600
2000-03-03,24.812500,25.187500,24.531250,25.062500,13.739494,9010600
2000-03-06,24.750000,24.750000,24.156250,24.500000,13.431129,7866000
2000-03-07,24.500000,24.500000,22.406250,23.562500,12.917185,23440200
2000-03-08,23.562500,24.031250,22.937500,23.750000,13.019974,14441600
2000-03-09,23.750000,23.781250,22.937500,23.375000,12.814393,12389400
2000-03-10,23.312500,23.312500,22.031250,22.750000,12.471761,14059200
2000-03-13,22.156250,22.156250,21.562500,21.875000,12.037053,15646400
2000-03-14,21.875000,22.156250,21.437500,21.656250,11.916684,11162000
2000-03-15,21.750000,23.906250,21.750000,23.781250,13.085999,22138200
2000-03-16,24.281250,24.937500,24.281250,24.875000,13.687854,17610200
2000-03-17,24.875000,24.968750,24.375000,24.562500,13.515893,14530800
2000-03-20,24.500000,24.500000,24.031250,24.281250,13.361130,6755200
2000-03-21,24.281250,24.843750,23.687500,24.718750,13.601871,8575800
2000-03-22,24.500000,24.500000,23.093750,23.531250,12.948430,11884200
2000-03-23,23.531250,24.187500,23.218750,23.500000,12.931236,10333800
2000-03-24,23.500000,23.593750,23.187500,23.500000,12.931236,8769200
2000-03-27,23.500000,23.562500,22.625000,22.625000,12.449750,10535400
2000-03-28,22.625000,23.250000,22.437500,22.437500,12.346582,13673000
2000-03-29,22.656250,23.531250,22.656250,23.437500,12.896848,16292600
2000-03-30,23.562500,24.968750,23.562500,24.281250,13.361130,18795200
2000-03-31,24.281250,24.343750,23.468750,23.468750,12.914042,8857000
2000-04-03,23.625000,24.968750,23.625000,24.656250,13.567481,14186800
2000-04-04,24.656250,26.187500,24.093750,26.187500,14.410080,27390200
2000-04-05,25.468750,25.468750,23.687500,23.812500,13.103197,20256600
2000-04-06,23.812500,23.968750,22.375000,22.875000,12.587318,20675000
2000-04-07,22.875000,23.218750,22.375000,23.093750,12.707690,12374000
2000-04-10,23.093750,23.593750,22.437500,22.500000,12.380972,12903000
2000-04-11,22.843750,23.875000,22.843750,23.593750,12.982824,12096400
2000-04-12,23.843750,24.968750,23.843750,24.250000,13.343940,15586400
2000-04-13,24.250000,24.312500,23.562500,23.625000,13.000022,8892800
2000-04-14,23.625000,23.781250,23.031250,23.500000,12.931236,9488200
2000-04-17,23.500000,24.312500,23.125000,24.250000,13.343940,10710200
2000-04-18,24.250000,24.562500,23.187500,24.312500,13.378328,13001000
2000-04-19,24.312500,24.843750,23.968750,24.593750,13.533082,10073200
2000-04-20,24.593750,24.718750,24.000000,24.718750,13.601871,8278600
2000-04-24,24.718750,25.218750,24.500000,24.812500,13.653462,9377600
2000-04-25,24.812500,25.250000,24.093750,25.250000,13.894202,8711600
2000-04-26,25.062500,25.062500,24.437500,24.718750,13.601871,9536200
2000-04-27,24.562500,24.562500,23.718750,24.125000,13.275148,9023200
2000-04-28,24.125000,24.187500,23.375000,23.625000,13.000022,7568800
