Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.050639,8.112094,7.866273,7.989184,6.042405,339271
2000-01-03,7.927729,8.019912,7.743363,7.835546,5.926203,387070
2000-01-04,7.712635,7.866273,7.712635,7.774090,5.879725,548163
2000-01-05,7.774090,7.897001,7.774090,7.804818,5.902965,222723
2000-01-06,7.774090,7.835546,7.712635,7.804818,5.902965,511144
2000-01-07,7.804818,8.019912,7.774090,7.958456,6.019165,914283
2000-01-10,7.958456,8.112094,7.866273,8.019912,6.065645,2106004
2000-01-11,8.050639,8.050639,7.866273,7.866273,5.949448,580504
2000-01-12,7.989184,8.142822,7.743363,7.927729,5.995926,908588
2000-01-13,8.050639,8.235005,8.050639,8.112094,6.135365,312016
2000-01-14,8.173550,8.357915,8.142822,8.142822,6.158607,401308
2000-01-18,8.173550,8.204277,8.081367,8.081367,6.112128,681593
2000-01-19,7.897001,8.173550,7.897001,8.019912,6.065645,449514
2000-01-20,8.019912,8.112094,7.989184,8.081367,6.112128,677322
2000-01-21,8.050639,8.112094,7.927729,8.019912,6.065645,1111378
2000-01-24,8.019912,8.112094,7.989184,8.019912,6.065645,1095512
2000-01-25,8.050639,8.081367,7.927729,7.958456,6.019165,1067647
2000-01-26,8.019912,8.019912,7.897001,7.927729,5.995926,1342033
2000-01-27,7.927729,8.050639,7.897001,7.958456,6.019165,817668
2000-01-28,8.019912,8.019912,7.743363,7.743363,5.856484,649253
2000-01-31,7.866273,7.927729,7.804818,7.835546,5.926203,455209
2000-02-01,7.866273,7.927729,7.835546,7.866273,5.949448,639693
2000-02-02,7.866273,7.897001,7.835546,7.866273,5.949448,311812
2000-02-03,7.897001,8.357915,7.866273,8.050639,6.093837,642744
2000-02-04,8.081367,8.235005,8.019912,8.173550,6.186872,2411510
2000-02-07,8.112094,8.235005,7.989184,8.019912,6.070578,1357085
2000-02-08,7.958456,8.480826,7.927729,7.927729,6.000802,475142
2000-02-09,8.050639,8.173550,8.050639,8.142822,6.163615,359815
2000-02-10,8.112094,8.112094,7.897001,7.958456,6.024060,538400
2000-02-11,7.897001,7.927729,7.774090,7.774090,5.884505,303676
2000-02-14,7.866273,7.866273,7.743363,7.804818,5.907767,243470
2000-02-15,7.804818,8.173550,7.804818,8.173550,6.186872,582538
2000-02-16,8.050639,8.081367,7.866273,7.866273,5.954283,217638
2000-02-17,7.897001,9.156834,7.897001,8.327188,6.303167,2888280
2000-02-18,8.419371,8.603736,8.050639,8.173550,6.186872,939505
2000-02-22,8.235005,8.296460,8.019912,8.019912,6.070578,529450
2000-02-23,8.019912,8.050639,7.743363,7.835546,5.931026,1203111
2000-02-24,7.958456,7.958456,7.497542,7.743363,5.861247,829872
2000-02-25,7.743363,7.743363,7.651180,7.681908,5.814731,265844
2000-02-28,7.651180,7.835546,7.589725,7.835546,5.931026,236351
2000-02-29,7.712635,8.112094,7.712635,8.112094,6.140355,278861
2000-03-01,8.081367,8.296460,8.019912,8.296460,6.279909,319541
2000-03-02,8.296460,8.419371,8.265733,8.296460,6.279909,262996
2000-03-03,8.419371,8.603736,8.357915,8.388643,6.349683,333373
2000-03-06,8.388643,8.542281,8.173550,8.327188,6.303167,320965
2000-03-07,8.204277,8.388643,7.989184,7.989184,6.047319,192010
2000-03-08,8.050639,8.204277,8.050639,8.142822,6.163615,340492
2000-03-09,7.989184,8.296460,7.989184,8.296460,6.279909,233300
2000-03-10,8.296460,8.419371,8.173550,8.296460,6.279909,361442
2000-03-13,8.112094,8.388643,8.112094,8.265733,6.256650,242453
2000-03-14,8.204277,8.450098,8.204277,8.296460,6.279909,206248
2000-03-15,8.296460,9.064651,8.204277,8.849558,6.698567,772310
2000-03-16,8.880285,9.771386,8.880285,9.402655,7.117231,1270233
2000-03-17,9.709931,10.201573,9.648476,10.201573,7.721960,1285691
2000-03-20,10.140118,10.447394,9.986480,10.447394,7.908031,706408
2000-03-21,10.478122,10.478122,10.078663,10.263029,7.768482,953539
2000-03-22,10.232301,10.293756,10.047935,10.078663,7.628924,778005
2000-03-23,10.078663,10.416667,10.078663,10.385939,7.861515,970421
2000-03-24,10.385939,10.416667,10.017207,10.355211,7.838256,787361
2000-03-27,10.324484,10.324484,10.140118,10.263029,7.768482,358798
2000-03-28,10.263029,10.293756,10.078663,10.140118,7.675441,521111
2000-03-29,10.140118,10.170846,10.078663,10.109390,7.652184,317304
2000-03-30,10.109390,10.539577,10.078663,10.293756,7.791737,1125616
2000-03-31,10.324484,10.693215,10.293756,10.662488,8.070845,569113
2000-04-03,10.570305,10.601032,9.863569,10.140118,7.675441,997474
2000-04-04,10.385939,10.385939,9.648476,9.648476,7.303301,626065
2000-04-05,9.525565,10.263029,9.525565,10.078663,7.628924,936250
2000-04-06,10.170846,10.263029,10.047935,10.047935,7.605665,398054
2000-04-07,10.078663,10.232301,10.047935,10.078663,7.628924,581927
2000-04-10,10.017207,10.170846,9.955752,9.955752,7.535890,569520
2000-04-11,9.986480,9.986480,9.771386,9.802114,7.419595,518873
2000-04-12,9.832842,10.355211,9.832842,10.078663,7.628924,531891
2000-04-13,10.170846,10.293756,10.109390,10.109390,7.652184,250385
2000-04-14,10.170846,10.170846,9.310472,9.371927,7.093970,593928
2000-04-17,9.249017,9.341200,9.033923,9.156834,6.931160,651897
