Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,34.291668,37.291668,34.208332,37.187500,33.081318,1418400
2000-01-03,37.666668,38.000000,33.791668,37.458332,33.322247,3183900
2000-01-04,36.406250,37.166668,35.375000,35.833332,31.876678,3295800
2000-01-05,35.666668,36.333332,34.250000,35.312500,31.413347,3094800
2000-01-06,34.937500,36.333332,34.333332,35.062500,31.190950,2642100
2000-01-07,35.166668,35.750000,33.166668,35.583332,31.654280,3684600
2000-01-10,35.708332,38.333332,35.687500,37.416668,33.285179,5637300
2000-01-11,36.916668,39.625000,36.666668,36.958332,32.877453,4290300
2000-01-12,37.250000,38.750000,35.958332,38.000000,33.804108,5138100
2000-01-13,38.229168,38.416668,36.958332,37.916668,33.729973,2729100
2000-01-14,38.687500,43.875000,38.666668,43.250000,38.474411,8557200
2000-01-18,42.583332,43.916668,41.750000,43.229168,38.455868,5704800
2000-01-19,43.437500,46.250000,41.791668,45.458332,40.438896,5329800
2000-01-20,46.104168,48.208332,44.625000,47.687500,42.421925,6240900
2000-01-21,49.833332,49.854168,44.979168,46.312500,41.198746,7509000
2000-01-24,48.291668,48.375000,44.583332,44.833332,39.882908,4511700
2000-01-25,45.291668,46.666668,43.500000,45.958332,40.883698,3595200
2000-01-26,45.416668,46.500000,42.916668,43.000000,38.252026,5359800
2000-01-27,43.822918,45.562500,43.000000,43.166668,38.400276,3150000
2000-01-28,43.145832,43.666668,40.000000,41.291668,36.732307,3143700
2000-01-31,40.812500,41.833332,38.979168,41.625000,37.028835,4373700
2000-02-01,41.645832,43.937500,40.833332,43.791668,38.956264,3675000
2000-02-02,43.812500,46.041668,43.145832,45.750000,40.698357,3025200
2000-02-03,45.895832,47.041668,44.562500,46.729168,41.569412,3256200
2000-02-04,46.916668,47.854168,44.625000,45.687500,40.642765,3343200
2000-02-07,46.083332,47.291668,45.291668,46.333332,41.217293,2998800
2000-02-08,46.833332,47.145832,45.333332,46.291668,41.180222,2817300
2000-02-09,45.583332,47.708332,44.770832,45.604168,40.568634,2868300
2000-02-10,45.562500,48.250000,44.520832,47.979168,42.681389,2640300
2000-02-11,47.458332,48.083332,45.791668,46.729168,41.569412,2209500
2000-02-14,47.041668,48.333332,46.729168,48.125000,42.811119,2211300
2000-02-15,48.125000,48.145832,45.979168,47.666668,42.403389,2331300
2000-02-16,47.812500,50.000000,47.083332,47.375000,42.143932,4583100
2000-02-17,47.500000,48.854168,45.500000,48.666668,43.292988,3402300
2000-02-18,48.854168,49.000000,45.666668,46.145832,41.050488,2366400
2000-02-22,45.729168,47.250000,43.083332,46.312500,41.198746,2783100
2000-02-23,46.937500,49.000000,46.750000,48.875000,43.478298,4065900
2000-02-24,49.229168,50.000000,46.354168,47.666668,42.403389,3259500
2000-02-25,47.708332,48.333332,45.416668,45.833332,40.772499,3014400
2000-02-28,45.520832,46.833332,43.750000,46.020832,40.939293,2604000
2000-02-29,46.562500,52.041668,46.562500,52.041668,46.295303,8060400
2000-03-01,52.333332,53.041668,48.500000,50.250000,44.701473,4890600
2000-03-02,50.500000,51.375000,49.333332,50.104168,44.571754,3993300
2000-03-03,50.666668,52.666668,49.750000,50.604168,45.016544,5136000
2000-03-06,50.708332,52.125000,50.083332,50.458332,44.886803,2339700
2000-03-07,51.854168,53.000000,50.104168,50.666668,45.072128,3320100
2000-03-08,51.395832,51.395832,47.791668,48.958332,43.552429,2707800
2000-03-09,48.687500,53.208332,48.270832,53.041668,47.184883,3059400
