Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.129630,10.259259,10.000000,10.138889,6.031389,1206900
2000-01-03,10.152778,10.277778,9.611111,10.064815,5.987322,5847525
2000-01-04,10.250000,10.277778,9.333333,9.342593,5.557689,6174900
2000-01-05,9.444444,9.574074,9.037037,9.416667,5.601751,4301100
2000-01-06,9.268519,9.425926,8.944444,9.166667,5.453035,4924125
2000-01-07,9.231481,9.231481,8.703704,8.925926,5.309823,6891075
2000-01-10,9.166667,9.703704,9.111111,9.574074,5.695392,8261325
2000-01-11,9.500000,9.731481,9.120370,9.231481,5.491592,5285925
2000-01-12,9.351852,10.148148,9.259259,9.972222,5.932241,9172575
2000-01-13,10.277778,10.592593,9.962963,10.555556,6.279250,7504650
2000-01-14,10.703704,10.777778,9.851852,9.879630,5.877158,19287450
2000-01-18,10.000000,10.120370,9.703704,9.768519,5.811064,6413850
2000-01-19,9.907407,10.222222,9.777778,9.990741,5.943257,3897450
2000-01-20,10.185185,10.407407,10.074074,10.398148,6.185615,4116825
2000-01-21,10.416667,10.416667,9.759259,9.814815,5.838602,6173550
2000-01-24,9.805556,10.333333,9.481481,9.592593,5.706408,2602800
2000-01-25,9.638889,10.000000,9.379630,10.000000,5.948765,3282525
2000-01-26,10.009259,10.166667,9.407407,9.537037,5.673357,2889000
2000-01-27,9.601852,10.027778,9.055556,9.203704,5.475067,5478300
2000-01-28,9.185185,9.203704,8.370370,8.620370,5.128055,5796900
2000-01-31,8.611111,9.314815,8.333333,9.314815,5.541163,5984550
2000-02-01,9.212963,9.516204,8.888889,9.324074,5.546671,3642300
2000-02-02,9.370370,9.703704,9.120370,9.518519,5.662341,2467125
2000-02-03,9.666667,10.370370,9.666667,10.296296,6.125025,5771250
2000-02-04,10.148148,10.388889,9.925926,10.050926,5.979061,6959250
2000-02-07,9.962963,10.388889,9.916667,10.296296,6.125025,2132325
2000-02-08,10.444444,11.097222,10.361111,10.520833,6.258597,5495850
2000-02-09,10.666667,10.861111,10.194444,10.569444,6.287513,3264300
2000-02-10,10.652778,11.111111,10.569444,11.055556,6.576692,3723300
2000-02-11,11.083333,11.194444,10.472222,10.611111,6.312302,3567600
2000-02-14,10.583333,11.291667,10.555556,10.944444,6.510592,2519100
2000-02-15,10.861111,11.000000,10.444444,10.652778,6.337085,4229550
2000-02-16,10.888889,11.111111,10.666667,10.694444,6.361873,3726000
2000-02-17,11.055556,11.111111,10.555556,11.055556,6.576692,2547900
2000-02-18,11.027778,11.041667,10.444444,10.583333,6.295776,2821950
2000-02-22,10.583333,10.777778,10.083333,10.472222,6.229679,2858850
2000-02-23,10.416667,11.277778,10.416667,10.986111,6.535381,3325500
2000-02-24,10.993056,12.027778,10.986111,11.958333,7.113733,5243400
2000-02-25,12.111111,12.291667,11.347222,11.347222,6.750196,3921300
2000-02-28,11.375000,12.000000,10.972222,11.847222,7.047631,4579200
2000-02-29,12.277778,14.125000,12.277778,13.875000,8.253912,10793700
2000-03-01,13.847222,14.055556,13.305556,13.756944,8.183682,8995950
2000-03-02,13.857639,14.555556,13.138889,13.736111,8.171291,6065100
2000-03-03,14.000000,15.000000,13.972222,14.958333,8.898357,5350050
2000-03-06,15.055556,16.666668,15.000000,15.583333,9.270158,5841000
2000-03-07,16.083332,17.194445,14.888889,16.055555,9.551073,6177600
2000-03-08,16.666668,17.111111,15.111111,15.444444,9.187535,6322950
2000-03-09,15.555556,15.750000,14.597222,15.250000,9.071866,5040450
