Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.562500,23.625000,23.000000,23.000000,1.581522,5472200
2000-01-03,23.562500,23.937500,23.187500,23.437500,1.611605,7386600
2000-01-04,23.250000,24.250000,23.250000,23.625000,1.624498,10538200
2000-01-05,23.812500,24.062500,23.437500,23.500000,1.615903,11697300
2000-01-06,23.500000,23.687500,23.000000,23.062500,1.585820,7152800
2000-01-07,23.250000,23.812500,23.125000,23.687500,1.628796,7972100
2000-01-10,23.750000,24.062500,23.750000,24.000000,1.650284,7711300
2000-01-11,24.125000,24.625000,24.062500,24.125000,1.658879,7451400
2000-01-12,24.250000,24.562500,24.000000,24.250000,1.667475,9609400
2000-01-13,24.500000,24.562500,24.250000,24.500000,1.684665,6263900
2000-01-14,24.562500,24.625000,23.750000,24.250000,1.667475,7813300
2000-01-18,24.062500,24.187500,23.000000,23.000000,1.581522,7998600
2000-01-19,23.125000,23.500000,23.000000,23.375000,1.607308,8731100
2000-01-20,23.375000,23.375000,22.062500,22.578125,1.552513,9977700
2000-01-21,22.187500,22.500000,21.812500,22.000000,1.512760,13976300
2000-01-24,22.750000,23.000000,21.875000,22.000000,1.512760,15344200
2000-01-25,22.000000,22.875000,21.375000,21.937500,1.508463,11046800
2000-01-26,21.750000,21.812500,20.875000,21.062500,1.448296,18969200
2000-01-27,21.500000,21.875000,20.812500,21.000000,1.443999,14734700
2000-01-28,21.125000,21.312500,20.750000,20.750000,1.426808,12021300
2000-01-31,20.937500,21.125000,20.843750,20.875000,1.435403,11594900
2000-02-01,21.125000,21.125000,20.750000,21.000000,1.443999,13301800
2000-02-02,20.937500,21.109375,20.562500,20.625000,1.418213,13933200
2000-02-03,20.937500,21.437500,20.875000,21.000000,1.443999,20018200
2000-02-04,21.125000,21.125000,20.375000,20.625000,1.418213,16675500
2000-02-07,20.875000,20.937500,20.375000,20.562500,1.413914,12752400
2000-02-08,20.250000,20.312500,19.125000,19.500000,1.340856,26653500
2000-02-09,19.437500,20.000000,19.437500,19.625000,1.349451,18374200
2000-02-10,20.000000,20.312500,19.812500,19.875000,1.366641,15253200
2000-02-11,19.937500,20.125000,19.062500,19.062500,1.310772,15365500
2000-02-14,19.312500,19.437500,18.750000,18.937500,1.302177,21123700
2000-02-15,19.062500,19.125000,18.687500,19.125000,1.315070,15218000
2000-02-16,19.062500,19.250000,18.812500,19.000000,1.306475,13799900
2000-02-17,19.875000,20.000000,19.312500,19.500000,1.340856,16060300
2000-02-18,19.500000,19.875000,19.375000,19.625000,1.349451,11121500
2000-02-22,19.937500,21.187500,19.875000,20.875000,1.435403,17008800
2000-02-23,21.250000,21.687500,20.187500,20.312500,1.396725,14797000
2000-02-24,20.500000,20.562500,19.750000,20.062500,1.379534,12097700
2000-02-25,20.125000,20.187500,19.625000,19.625000,1.349451,11480500
2000-02-28,19.812500,20.312500,19.812500,20.062500,1.379534,10884600
2000-02-29,20.062500,20.437500,20.062500,20.187500,1.388129,13524800
2000-03-01,20.187500,21.500000,19.625000,20.437500,1.405319,21707100
2000-03-02,20.437500,20.812500,20.000000,20.125000,1.383832,11165200
2000-03-03,20.000000,20.625000,19.750000,20.312500,1.396725,13358800
2000-03-06,20.750000,20.875000,19.562500,19.875000,1.366641,13047100
2000-03-07,19.875000,20.000000,19.500000,19.562500,1.345153,12009900
2000-03-08,19.625000,19.750000,19.187500,19.250000,1.323666,11810100
2000-03-09,19.250000,19.500000,19.125000,19.500000,1.340856,8739200
2000-03-10,19.375000,19.437500,19.062500,19.062500,1.310772,10848100
2000-03-13,19.250000,20.000000,19.125000,19.875000,1.366641,10914000
2000-03-14,19.812500,19.812500,19.250000,19.468750,1.338707,11983600
2000-03-15,19.312500,20.375000,19.250000,20.125000,1.383832,13071300
2000-03-16,20.125000,20.500000,20.062500,20.250000,1.426449,13253000
2000-03-17,20.375000,20.375000,19.500000,20.250000,1.426449,16220400
2000-03-20,19.875000,20.250000,19.812500,19.937500,1.404436,14039000
2000-03-21,19.500000,22.125000,19.000000,20.312500,1.430852,34490700
2000-03-22,20.312500,20.562500,19.312500,19.437500,1.369216,16078100
2000-03-23,19.500000,19.687500,19.312500,19.500000,1.373618,13839800
2000-03-24,19.562500,19.875000,19.500000,19.812500,1.395631,10308500
2000-03-27,19.812500,19.875000,19.500000,19.609375,1.381322,8924600
2000-03-28,19.500000,19.750000,19.312500,19.562500,1.378020,12453400
2000-03-29,19.562500,19.625000,19.125000,19.125000,1.347202,11687300
2000-03-30,20.000000,21.562500,19.734375,21.500000,1.514501,27460700
2000-03-31,21.937500,22.062500,20.750000,20.750000,1.461670,15234000
2000-04-03,21.750000,23.000000,21.500000,22.812500,1.606957,16940200
2000-04-04,23.000000,23.750000,21.187500,22.187500,1.562931,17620000
2000-04-05,22.062500,22.562500,22.000000,22.375000,1.576138,10017900
2000-04-06,22.812500,23.562500,22.500000,22.937500,1.615762,16373400
2000-04-07,23.250000,23.625000,21.937500,22.500000,1.584943,24520100
2000-04-10,22.000000,22.250000,21.000000,22.000000,1.549723,14618200
2000-04-11,21.750000,21.937500,21.500000,21.750000,1.532112,7584900
2000-04-12,21.875000,22.625000,21.687500,21.875000,1.540917,9034400
2000-04-13,22.000000,22.562500,21.812500,22.312500,1.571736,7523800
2000-04-14,21.875000,22.562500,20.937500,21.125000,1.488086,12374300
2000-04-17,21.000000,21.312500,20.375000,21.250000,1.496891,12204000
