Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.456250,7.512172,7.363047,7.363047,4.381794,2996815
2000-01-03,7.437609,7.493531,7.195281,7.232563,4.304141,4841241
2000-01-04,7.083438,7.139359,6.897031,6.952953,4.137742,4847276
2000-01-05,7.064797,7.269844,7.008875,7.139359,4.248675,9528919
2000-01-06,7.363047,8.052750,7.325766,7.903625,4.703494,8595809
2000-01-07,7.456250,8.201875,7.456250,8.127313,4.836611,8239396
2000-01-10,7.866344,7.978188,7.642656,7.717219,4.592561,6339983
2000-01-11,7.661297,7.884984,7.661297,7.810422,4.648027,4509640
2000-01-12,7.735859,7.829063,7.530813,7.735859,4.603654,4478122
2000-01-13,7.661297,7.847703,7.661297,7.754500,4.614748,3421961
2000-01-14,7.810422,7.810422,7.605375,7.754500,4.614748,5511484
2000-01-18,7.829063,7.922266,7.735859,7.884984,4.692401,4965298
2000-01-19,7.847703,7.996828,7.829063,7.959547,4.736773,3985583
2000-01-20,7.922266,7.940906,7.605375,7.679938,4.570375,6054652
2000-01-21,7.829063,8.164594,7.829063,7.940906,4.725679,5331433
2000-01-24,7.754500,7.866344,7.549453,7.568094,4.503816,8331936
2000-01-25,7.586734,7.698578,7.195281,7.400328,4.403980,5558424
2000-01-26,7.158000,7.661297,7.158000,7.456250,4.437259,8023135
2000-01-27,7.679938,7.679938,7.232563,7.269844,4.326328,4621291
2000-01-28,7.363047,7.456250,7.232563,7.344406,4.370698,4898910
2000-01-31,7.269844,7.679938,7.195281,7.661297,4.559282,5180889
2000-02-01,7.586734,7.586734,7.344406,7.363047,4.381794,1668064
2000-02-02,7.437609,7.717219,7.400328,7.624016,4.537096,4311148
2000-02-03,7.549453,7.549453,7.363047,7.474891,4.448352,3947695
2000-02-04,7.829063,7.829063,7.158000,7.307125,4.348513,6032858
2000-02-07,7.213922,7.512172,7.139359,7.456250,4.437259,5583236
2000-02-08,7.530813,7.605375,7.269844,7.288484,4.337420,1634199
2000-02-09,7.213922,7.269844,6.915672,6.971594,4.148835,3774350
2000-02-10,6.990234,7.288484,6.971594,7.139359,4.248675,2837217
2000-02-11,7.139359,7.158000,6.729266,6.859750,4.082277,3240235
2000-02-14,6.859750,7.008875,6.785188,6.971594,4.187067,4503604
2000-02-15,7.027516,7.213922,7.027516,7.139359,4.287824,3679799
2000-02-16,7.158000,7.381688,7.139359,7.288484,4.377388,3693881
2000-02-17,7.363047,7.418969,7.046156,7.251203,4.354998,1962112
2000-02-18,7.102078,7.195281,6.747906,6.934313,4.164677,2315172
2000-02-22,7.008875,7.102078,6.766547,6.859750,4.119893,3241911
2000-02-23,6.580141,6.710625,6.505578,6.542859,3.929572,4776865
2000-02-24,6.505578,6.561500,6.337813,6.431016,3.862403,5824979
2000-02-25,6.561500,6.561500,6.170047,6.337813,3.806423,6611232
2000-02-28,6.281891,6.505578,6.263250,6.356453,3.817619,4665884
2000-02-29,6.393734,6.505578,6.319172,6.449656,3.873595,5210059
2000-03-01,6.524219,6.710625,6.337813,6.654703,3.996746,6313831
2000-03-02,6.542859,7.158000,6.542859,7.027516,4.220652,7253646
2000-03-03,7.213922,7.213922,6.747906,6.915672,4.153480,3461190
2000-03-06,6.934313,7.008875,6.803828,6.897031,4.142285,2652473
2000-03-07,7.158000,7.474891,6.971594,7.381688,4.433366,4950880
2000-03-08,7.344406,7.735859,7.307125,7.325766,4.399778,9734786
2000-03-09,7.158000,7.474891,7.139359,7.400328,4.444559,4527745
2000-03-10,7.418969,7.791781,7.307125,7.456250,4.478145,5997653
2000-03-13,7.307125,7.717219,7.307125,7.456250,4.478145,5181559
2000-03-14,7.437609,7.568094,7.213922,7.363047,4.422169,4467058
2000-03-15,7.288484,7.754500,7.083438,7.586734,4.556514,8573009
2000-03-16,7.418969,7.773141,7.335086,7.735859,4.646077,5519195
2000-03-17,7.381688,7.642656,7.232563,7.251203,4.354998,7174518
2000-03-20,7.325766,7.325766,7.158000,7.195281,4.321411,3382397
2000-03-21,7.195281,7.418969,7.176641,7.307125,4.388584,5141660
2000-03-22,7.139359,7.307125,7.083438,7.139359,4.287824,4861358
2000-03-23,7.120719,7.120719,6.785188,6.785188,4.075113,15102766
2000-03-24,6.785188,7.008875,6.710625,6.785188,4.075113,11454820
2000-03-27,6.747906,6.952953,6.654703,6.934313,4.164677,5477619
2000-03-28,6.841109,7.046156,6.636063,6.822469,4.097506,6656161
2000-03-29,6.747906,7.176641,6.747906,7.120719,4.276630,7336127
2000-03-30,7.307125,7.698578,7.232563,7.530813,4.522930,11062867
2000-03-31,7.605375,7.847703,7.530813,7.773141,4.668468,9825314
2000-04-03,7.791781,7.847703,7.586734,7.698578,4.623685,4258508
2000-04-04,7.624016,7.866344,7.456250,7.530813,4.522930,5890696
2000-04-05,7.568094,7.661297,7.102078,7.251203,4.354998,3404862
2000-04-06,7.325766,7.512172,7.251203,7.363047,4.422169,2653814
2000-04-07,7.288484,7.474891,7.213922,7.325766,4.399778,4375189
2000-04-10,7.251203,7.251203,7.083438,7.120719,4.276630,3727745
2000-04-11,7.120719,7.325766,7.120719,7.232563,4.343803,4530092
2000-04-12,7.232563,7.847703,7.195281,7.624016,4.578905,7647611
2000-04-13,7.679938,7.847703,7.400328,7.512172,4.511731,3763956
2000-04-14,7.381688,7.605375,7.083438,7.251203,4.354998,3311987
2000-04-17,7.456250,7.512172,6.971594,7.046156,4.231849,3688181
2000-04-18,7.046156,7.232563,7.027516,7.139359,4.287824,4194468
