Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,177.886841,179.092850,177.359207,177.585342,130.196442,515915
2000-01-03,182.409393,185.273666,176.379333,179.695862,131.743729,3421109
2000-01-04,173.062790,175.776321,165.223709,166.278976,121.907158,4138266
2000-01-05,165.223709,165.675964,157.686127,161.907181,118.701950,4684611
2000-01-06,161.002670,161.605682,142.309479,143.515488,105.218155,4776899
2000-01-07,148.339539,155.726364,147.058151,155.349487,113.894264,6554244
2000-01-10,159.645905,173.213547,158.439896,168.540253,123.565079,5134690
2000-01-11,162.962433,169.897018,159.721283,160.098160,117.375694,3475669
2000-01-12,162.660934,167.560364,160.098160,161.379547,118.315117,3480561
2000-01-13,164.469955,169.444763,161.907181,167.108109,122.515068,2550720
2000-01-14,173.665802,185.876678,173.665802,182.107895,133.512085,5250692
2000-01-18,173.062790,177.660721,172.007538,173.665802,127.322762,6882599
2000-01-19,173.364304,175.399445,168.841751,169.746262,124.449196,3470694
2000-01-20,170.801514,175.474823,169.294006,170.047760,124.670280,3801121
2000-01-21,177.585342,178.112976,172.912048,174.118057,127.654396,3059089
2000-01-24,176.680832,177.811462,167.937241,167.937241,123.122940,2647319
2000-01-25,169.294006,171.630661,165.600586,171.404526,125.664948,3092422
2000-01-26,171.103027,176.077820,164.319199,168.238739,123.343994,3329567
2000-01-27,168.841751,169.595505,163.716202,164.017700,120.249313,3554358
2000-01-28,167.032730,169.444763,150.751556,154.671097,113.396858,4720764
2000-01-31,154.972610,164.922211,152.334457,164.017700,120.249313,4248298
2000-02-01,166.128220,168.238739,160.625793,165.072968,121.022964,3473098
2000-02-02,165.223709,178.037598,165.148331,174.419556,127.875450,4112644
2000-02-03,176.228577,184.444534,176.228577,184.218414,135.059418,4438097
2000-02-04,184.444534,190.022339,181.354126,188.137955,137.933075,4362890
2000-02-07,186.479691,191.831360,184.746033,191.605240,140.475113,2049647
2000-02-08,192.962006,194.620270,188.816330,192.811249,141.359253,3258756
2000-02-09,192.962006,192.962006,183.464645,185.198288,135.777817,3167131
2000-02-10,185.499802,189.871597,185.273666,187.271133,137.297531,3327163
2000-02-11,186.328934,187.233444,179.092850,182.409393,133.733154,3018045
2000-02-14,184.067657,184.067657,176.454697,177.585342,130.196442,3015060
2000-02-15,178.866730,180.826492,172.535156,179.620483,131.688461,3595651
2000-02-16,179.620483,182.107895,177.434586,178.339096,130.749008,2499145
2000-02-17,175.474823,179.243607,172.459793,177.585342,130.196442,3399550
2000-02-18,177.434586,178.489853,174.419556,174.796432,128.151794,2545247
