Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.072692,7.072692,6.999018,7.023576,2.777128,330087
2000-01-03,6.999018,7.023576,6.827112,6.925344,2.738287,1051849
2000-01-04,6.876228,7.072692,6.851670,6.999018,2.767419,875226
2000-01-05,7.072692,7.367387,7.023576,7.293713,2.883939,1086206
2000-01-06,7.269155,7.293713,7.072692,7.244597,2.864520,479224
2000-01-07,7.220039,7.367387,7.146365,7.220039,2.854810,623780
2000-01-10,7.293713,7.416503,7.293713,7.391945,2.922782,853593
2000-01-11,7.342829,7.367387,7.121807,7.170923,2.835389,1031998
2000-01-12,7.121807,7.293713,7.072692,7.293713,2.883939,503147
2000-01-13,7.220039,7.269155,7.072692,7.220039,2.854810,439522
2000-01-14,7.220039,7.244597,7.072692,7.097250,2.806259,424506
2000-01-18,6.999018,7.023576,6.876228,6.876228,2.718865,907038
2000-01-19,6.851670,7.097250,6.827112,7.072692,2.796548,517144
2000-01-20,7.048134,7.269155,6.974460,7.269155,2.874230,795567
2000-01-21,7.170923,7.833988,7.146365,7.833988,3.097566,1663921
2000-01-24,7.858546,8.521611,7.858546,8.374263,3.311191,2353871
2000-01-25,8.374263,8.497053,7.711198,7.760314,3.068435,1591134
2000-01-26,7.760314,7.784872,7.539293,7.612967,3.010172,1899843
2000-01-27,7.588409,7.637525,7.391945,7.514735,3.013324,1927074
2000-01-28,7.490177,7.612967,7.146365,7.220039,2.895155,4582273
2000-01-31,7.220039,7.293713,7.195481,7.220039,2.895155,1388807
2000-02-01,7.293713,7.391945,7.220039,7.391945,2.964088,2404516
2000-02-02,7.391945,7.490177,7.269155,7.293713,2.924698,468535
2000-02-03,7.318271,7.833988,7.318271,7.465619,2.993629,823562
2000-02-04,7.563851,7.662083,7.318271,7.391945,2.964088,806002
2000-02-07,7.465619,7.465619,7.048134,7.072692,2.836070,381496
2000-02-08,7.146365,7.220039,6.974460,6.999018,2.806528,587641
2000-02-09,7.072692,7.269155,6.999018,6.999018,2.806528,427051
2000-02-10,6.925344,7.146365,6.827112,6.900786,2.767137,453774
2000-02-11,6.949902,6.949902,6.827112,6.851670,2.747445,432141
2000-02-14,6.851670,7.048134,6.802554,6.851670,2.747445,383277
2000-02-15,6.949902,6.999018,6.851670,6.900786,2.767137,544121
2000-02-16,6.851670,6.925344,6.827112,6.876228,2.757290,318380
2000-02-17,6.802554,6.851670,6.606090,6.704322,2.688359,748230
2000-02-18,6.802554,6.802554,6.556974,6.581532,2.639120,1678937
2000-02-22,6.728880,6.728880,6.483301,6.581532,2.639120,911874
2000-02-23,6.606090,6.606090,6.409627,6.458743,2.589883,609019
2000-02-24,6.483301,6.483301,6.164047,6.311395,2.530799,818981
2000-02-25,6.262279,6.286837,6.090373,6.114931,2.452018,400583
2000-02-28,5.697446,5.722004,5.009823,5.108055,2.048273,7257068
2000-02-29,5.353635,5.451866,5.009823,5.083497,2.038425,3340822
2000-03-01,5.108055,5.132613,5.034381,5.058939,2.028578,1337907
2000-03-02,5.157171,5.157171,5.034381,5.108055,2.048273,1819675
2000-03-03,5.108055,5.304519,5.083497,5.230845,2.097510,7889500
2000-03-06,5.500982,5.525540,5.230845,5.255403,2.107358,2863889
2000-03-07,5.255403,5.378193,5.255403,5.378193,2.156595,2221785
2000-03-08,5.500982,5.599214,5.451866,5.500982,2.205832,1765467
2000-03-09,5.550098,5.672888,5.500982,5.648330,2.264918,2834876
2000-03-10,5.672888,5.795678,5.648330,5.771120,2.314154,3997941
2000-03-13,5.722004,5.820236,5.697446,5.795678,2.324002,1957869
2000-03-14,5.795678,6.090373,5.771120,5.869352,2.353545,2977905
2000-03-15,5.893910,6.286837,5.893910,6.188605,2.481562,1661885
2000-03-16,6.139489,6.532417,6.139489,6.360511,2.550494,1575864
2000-03-17,6.237721,6.385069,6.188605,6.286837,2.520951,1198441
2000-03-20,6.360511,6.385069,6.188605,6.262279,2.511104,857665
2000-03-21,6.360511,6.385069,6.237721,6.237721,2.501256,801421
2000-03-22,6.188605,6.262279,6.139489,6.213163,2.491409,747976
2000-03-23,6.188605,6.385069,6.139489,6.188605,2.481562,1432326
2000-03-24,6.139489,6.335953,6.139489,6.286837,2.520951,736014
2000-03-27,6.335953,6.385069,6.286837,6.286837,2.520951,508491
2000-03-28,6.286837,6.311395,6.164047,6.188605,2.481562,668826
2000-03-29,6.164047,6.458743,6.164047,6.409627,2.570189,2040072
2000-03-30,6.458743,6.581532,6.434185,6.483301,2.599731,654320
2000-03-31,6.483301,6.630648,6.458743,6.630648,2.658816,1062792
2000-04-03,6.679764,6.679764,6.360511,6.458743,2.589883,1685045
2000-04-04,6.385069,6.753438,6.385069,6.458743,2.589883,1204549
2000-04-05,6.434185,6.827112,6.434185,6.679764,2.678510,2283120
2000-04-06,6.728880,6.753438,6.630648,6.655206,2.668663,2536347
2000-04-07,6.655206,6.655206,6.483301,6.556974,2.629273,2238073
2000-04-10,6.556974,6.556974,6.458743,6.532417,2.619426,1873884
2000-04-11,6.532417,6.655206,6.483301,6.556974,2.629273,592476
2000-04-12,6.581532,6.827112,6.556974,6.777996,2.717901,2577322
2000-04-13,6.777996,6.851670,6.728880,6.851670,2.747445,1200986
2000-04-14,6.802554,6.949902,6.753438,6.827112,2.737596,1381681
2000-04-17,6.777996,6.851670,6.630648,6.851670,2.747445,759428
2000-04-18,6.802554,6.925344,6.777996,6.827112,2.737596,1434617
2000-04-19,6.802554,6.802554,6.581532,6.679764,2.678510,878280
2000-04-20,6.679764,6.802554,6.630648,6.753438,2.708054,668826
2000-04-24,6.753438,6.974460,6.728880,6.949902,2.786834,887951
2000-04-25,6.949902,7.146365,6.888507,7.146365,2.865612,1094859
2000-04-26,7.072692,7.391945,7.023576,7.367387,2.998757,2947110
2000-04-27,7.367387,7.490177,7.318271,7.367387,2.998757,1554232
2000-04-28,7.293713,7.318271,7.072692,7.269155,2.958774,652538
2000-05-01,7.318271,7.342829,7.146365,7.220039,2.938782,688932
2000-05-02,7.220039,7.220039,7.023576,7.072692,2.878806,472861
2000-05-03,7.048134,7.048134,6.876228,7.023576,2.858816,664754
2000-05-04,7.048134,7.170923,6.949902,7.146365,2.908794,821017
2000-05-05,7.244597,7.244597,6.851670,6.925344,2.818832,691477
2000-05-08,6.949902,7.367387,6.925344,7.244597,2.948778,593240
2000-05-09,7.318271,7.367387,7.072692,7.170923,2.918790,3532460
2000-05-10,7.121807,7.244597,7.023576,7.023576,2.858816,1027417
2000-05-11,7.048134,7.220039,6.974460,7.220039,2.938782,1460067
2000-05-12,7.220039,7.220039,7.146365,7.146365,2.908794,1004512
2000-05-15,7.097250,7.170923,7.072692,7.170923,2.918790,709292
2000-05-16,7.170923,7.170923,7.048134,7.097250,2.888802,1178081
2000-05-17,7.072692,7.072692,6.827112,6.827112,2.778848,602656
2000-05-18,6.802554,6.999018,6.777996,6.777996,2.758857,782333
