Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,49.843750,50.375000,49.843750,50.000000,31.398529,331000
2000-01-03,50.000000,50.000000,47.750000,48.437500,30.417322,1824200
2000-01-04,48.437500,48.500000,46.312500,46.843750,29.416489,1262000
2000-01-05,46.562500,46.937500,45.156250,45.500000,28.572659,1950000
2000-01-06,45.500000,46.312500,45.000000,45.750000,28.729654,1445000
2000-01-07,45.875000,47.968750,45.781250,47.687500,29.946346,989200
2000-01-10,48.500000,50.312500,47.843750,49.812500,31.280775,974400
2000-01-11,49.625000,49.656250,48.125000,48.718750,30.593952,1136400
2000-01-12,48.750000,49.218750,48.343750,48.562500,30.495825,642200
2000-01-13,48.562500,49.156250,48.250000,48.500000,30.456566,948600
2000-01-14,49.000000,49.000000,47.750000,47.937500,30.103329,955200
2000-01-18,48.000000,48.000000,46.781250,46.781250,29.377251,1293600
2000-01-19,46.812500,49.187500,46.750000,48.656250,30.554691,1570800
2000-01-20,49.937500,50.468750,46.812500,46.843750,29.416489,1782800
2000-01-21,47.125000,47.968750,47.000000,47.468750,29.808981,1427600
2000-01-24,47.593750,47.593750,45.875000,46.000000,28.886639,1066400
2000-01-25,46.125000,46.781250,44.906250,45.218750,28.396034,1182200
2000-01-26,45.500000,48.187500,45.281250,46.906250,29.455744,1072200
2000-01-27,46.750000,48.031250,45.906250,46.593750,29.259504,997400
2000-01-28,45.750000,48.375000,45.093750,47.312500,29.710861,1946200
2000-01-31,47.187500,47.250000,45.812500,46.843750,29.416489,1091600
2000-02-01,46.843750,48.625000,46.750000,48.187500,30.260324,997400
2000-02-02,48.187500,49.968750,47.281250,47.375000,29.750103,1844600
2000-02-03,47.312500,47.625000,46.656250,47.000000,29.514618,1312200
2000-02-04,47.000000,47.562500,46.718750,46.875000,29.436121,1018600
2000-02-07,46.687500,46.750000,45.843750,45.937500,28.847383,884800
2000-02-08,45.937500,47.812500,45.937500,47.437500,29.789358,1252000
2000-02-09,47.437500,48.843750,47.156250,48.406250,30.397703,1419200
2000-02-10,48.343750,49.187500,47.531250,48.218750,30.279942,921000
2000-02-11,48.937500,48.968750,47.312500,47.843750,30.044462,1051400
