Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.451058,4.497354,4.404762,4.470899,1.694960,199395
2000-01-03,4.497354,4.550265,4.391534,4.417989,1.674902,891135
2000-01-04,4.404762,4.431217,4.365079,4.404762,1.669887,1229445
2000-01-05,4.404762,4.444444,4.351852,4.431217,1.679917,361935
2000-01-06,4.417989,4.431217,4.378307,4.391534,1.664872,370913
2000-01-07,4.417989,4.417989,4.325397,4.365079,1.654843,362408
2000-01-10,4.345238,4.351852,4.232804,4.285714,1.624755,631733
2000-01-11,4.246032,4.417989,4.246032,4.391534,1.664872,298148
2000-01-12,4.378307,4.431217,4.285714,4.378307,1.659858,228690
2000-01-13,4.318783,4.470899,4.312169,4.431217,1.679917,346343
2000-01-14,4.470899,4.603175,4.417989,4.537037,1.720034,402570
2000-01-18,4.537037,4.576720,4.365079,4.431217,1.679917,217350
2000-01-19,4.391534,4.470899,4.378307,4.431217,1.679917,156398
2000-01-20,4.444444,4.484127,4.338624,4.338624,1.644813,272160
2000-01-21,4.351852,4.417989,4.232804,4.246032,1.609711,255150
2000-01-24,4.232804,4.338624,4.100529,4.100529,1.554549,692213
2000-01-25,4.113757,4.126984,3.994709,4.047619,1.534491,1276695
2000-01-26,4.074074,4.232804,4.054233,4.232804,1.604696,490455
2000-01-27,4.232804,4.259259,4.140212,4.153439,1.574608,225855
2000-01-28,4.219577,4.246032,4.021164,4.179894,1.607574,589208
2000-01-31,4.219577,4.417989,4.179894,4.378307,1.683882,3380265
2000-02-01,4.404762,4.404762,4.312169,4.312169,1.658446,393593
2000-02-02,4.365079,4.365079,4.126984,4.193122,1.612661,304290
2000-02-03,4.160053,4.232804,4.100529,4.232804,1.627923,434700
2000-02-04,4.206349,4.431217,4.206349,4.325397,1.663534,286808
2000-02-07,4.325397,4.338624,4.206349,4.219577,1.622835,382725
2000-02-08,4.219577,4.219577,4.047619,4.100529,1.577049,390285
2000-02-09,4.100529,4.140212,4.047619,4.113757,1.582137,643545
2000-02-10,4.126984,4.179894,4.034392,4.047619,1.556701,324608
2000-02-11,4.034392,4.074074,3.955026,4.021164,1.546526,730485
