Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.086420,9.086420,8.740741,8.753086,4.215903,686981
2000-01-03,8.641975,8.790123,8.345679,8.592593,4.138600,3280500
2000-01-04,8.555556,8.703704,8.148148,8.197531,3.948317,1701506
2000-01-05,8.172840,8.753086,8.160494,8.530864,4.108867,2105494
2000-01-06,8.506173,8.641975,8.271605,8.419753,4.055353,3530588
2000-01-07,8.407407,8.740741,8.197531,8.740741,4.209954,2677556
2000-01-10,8.777778,9.098765,8.691358,9.098765,4.382395,1784025
2000-01-11,9.000000,9.000000,8.259259,8.419753,4.055353,1979438
2000-01-12,8.543210,8.567901,8.197531,8.320988,4.007782,2087775
2000-01-13,8.296296,8.691358,8.271605,8.617284,4.150491,1340044
2000-01-14,8.740741,8.901235,8.456790,8.641975,4.162385,1392694
2000-01-18,8.592593,8.839506,8.493827,8.765432,4.221849,1471163
2000-01-19,8.901235,8.901235,8.456790,8.703704,4.192117,2015381
2000-01-20,8.783951,8.790123,8.296296,8.493827,4.091029,1255500
2000-01-21,8.839506,8.839506,8.296296,8.493827,4.091029,1930331
2000-01-24,8.518519,8.543210,8.074074,8.160494,3.930481,2617819
2000-01-25,8.135802,8.296296,7.950617,8.246914,3.972103,2735269
2000-01-26,8.370370,8.395062,8.037037,8.098765,3.900748,1181588
2000-01-27,8.080247,8.395062,8.024691,8.271605,3.983998,1944506
2000-01-28,8.000000,8.123457,7.851852,7.925926,3.817503,2157638
2000-01-31,8.024691,8.271605,7.987654,8.185185,3.942371,2354569
2000-02-01,8.444444,8.518519,8.246914,8.370370,4.031565,2317613
2000-02-02,8.395062,8.395062,8.098765,8.222222,3.960212,1709100
2000-02-03,8.308642,8.456790,8.185185,8.395062,4.043459,2065500
2000-02-04,8.469136,8.518519,8.271605,8.296296,3.995888,1908563
2000-02-07,8.271605,8.419753,8.271605,8.358025,4.025621,3388331
2000-02-08,8.444444,8.518519,8.395062,8.506173,4.096974,2185988
2000-02-09,8.493827,8.518519,8.382716,8.407407,4.049405,2533275
2000-02-10,8.444444,8.493827,8.333333,8.469136,4.079138,2244713
2000-02-11,8.469136,8.506173,8.370370,8.373457,4.033054,1700494
2000-02-14,8.358025,8.592593,8.197531,8.567901,4.126707,1763775
2000-02-15,8.567901,8.691358,8.308642,8.580247,4.132651,1655438
2000-02-16,8.641975,8.888889,8.567901,8.851852,4.293123,2623894
2000-02-17,8.851852,8.925926,8.617284,8.876543,4.305096,1923750
2000-02-18,8.814815,8.876543,8.691358,8.839506,4.287134,3719419
2000-02-22,8.814815,9.148148,8.740741,8.938272,4.335037,3736631
2000-02-23,8.913580,9.111111,8.679012,8.802469,4.269172,2973713
2000-02-24,8.777778,8.790123,8.345679,8.666667,4.203308,3851044
2000-02-25,8.666667,8.765432,8.407407,8.469136,4.107505,3424275
2000-02-28,8.395062,8.444444,8.172840,8.382716,4.065591,3036488
2000-02-29,8.376543,8.518519,8.246914,8.506173,4.125468,3505781
2000-03-01,8.419753,8.617284,8.370370,8.506173,4.125468,1833131
2000-03-02,8.407407,8.543210,8.222222,8.469136,4.107505,2545425
2000-03-03,8.580247,9.530864,8.518519,9.481481,4.598490,4060125
2000-03-06,9.444444,9.444444,8.481481,8.506173,4.125468,2428988
2000-03-07,8.561728,8.641975,7.888889,8.086420,3.921891,6378244
2000-03-08,8.098765,8.481481,7.901235,8.444444,4.095531,5328788
2000-03-09,8.401235,8.506173,8.123457,8.506173,4.125468,1734919
2000-03-10,8.506173,8.691358,8.395062,8.407407,4.077567,1915650
2000-03-13,8.432099,8.759259,8.234568,8.308642,4.029669,2519100
2000-03-14,8.339506,8.675926,8.308642,8.358025,4.053616,2577319
2000-03-15,8.382716,8.938272,8.333333,8.876543,4.305096,2643131
2000-03-16,8.870370,9.753086,8.802469,9.703704,4.706266,3574631
2000-03-17,9.555556,9.876543,9.308642,9.407407,4.562564,3817125
2000-03-20,9.358025,9.580247,9.148148,9.172840,4.448800,2005256
2000-03-21,9.185185,9.679012,9.172840,9.567901,4.640401,2617313
2000-03-22,9.567901,9.604938,9.160494,9.259259,4.490715,2107013
2000-03-23,9.098765,9.691358,9.086420,9.666667,4.688305,1773394
2000-03-24,9.654321,9.679012,9.271605,9.567901,4.640401,1765294
2000-03-27,9.589506,9.589506,9.283951,9.469136,4.592501,1591650
2000-03-28,9.370370,9.481481,9.160494,9.172840,4.448800,1589119
2000-03-29,9.160494,9.530864,8.975309,9.382716,4.550590,1653413
2000-03-30,9.166667,9.666667,9.160494,9.469136,4.592501,2823863
2000-03-31,9.567901,9.876543,9.271605,9.876543,4.790094,3318975
2000-04-03,9.848765,10.172840,9.728395,9.851852,4.778119,2349506
2000-04-04,9.925926,10.716049,9.777778,10.419753,5.053549,3781688
2000-04-05,10.188272,10.333333,9.962963,10.024691,4.861944,2653763
2000-04-06,10.049383,10.049383,9.691358,9.888889,4.796083,2906888
2000-04-07,10.024691,10.024691,9.111111,9.262346,4.492209,2226994
2000-04-10,9.333333,9.703704,9.086420,9.382716,4.550590,2308500
2000-04-11,9.296296,9.901235,9.185185,9.814815,4.760155,2150550
2000-04-12,9.827160,10.000000,9.669753,9.716049,4.712256,2951944
2000-04-13,9.802469,9.901235,9.283951,9.382716,4.550590,3275944
2000-04-14,9.382716,9.604938,8.839506,8.839506,4.287134,2432531
2000-04-17,8.790123,9.617284,8.790123,9.246914,4.484724,2865881
2000-04-18,9.179012,9.271605,8.839506,9.259259,4.490715,1509638
2000-04-19,9.123457,9.172840,8.666667,8.814815,4.275157,1689863
2000-04-20,8.737654,8.814815,8.444444,8.790123,4.263184,1581019
2000-04-24,8.783951,9.148148,8.740741,8.901235,4.317074,1563806
2000-04-25,9.197531,9.197531,8.777778,9.172840,4.448800,2357100
2000-04-26,9.216049,9.382716,9.000000,9.061728,4.394910,2265469
2000-04-27,8.938272,9.370370,8.604938,9.283951,4.502685,2130806
2000-04-28,9.259259,9.407407,8.913580,9.395062,4.556578,2088788
2000-05-01,9.382716,9.506173,8.864198,9.345679,4.532627,2088281
2000-05-02,9.253086,9.259259,8.592593,8.654321,4.197320,3550838
2000-05-03,8.617284,8.666667,8.296296,8.370370,4.059606,3010669
2000-05-04,8.358025,8.790123,8.222222,8.617284,4.179357,2643131
2000-05-05,8.592593,8.839506,8.407407,8.580247,4.161393,1147163
2000-05-08,8.469136,8.839506,8.296296,8.617284,4.179357,1254994
2000-05-09,8.666667,8.827160,8.246914,8.753086,4.245221,1591144
2000-05-10,8.722222,8.851852,8.432099,8.518519,4.131457,1391681
2000-05-11,8.592593,8.790123,8.370370,8.543210,4.143432,1870088
2000-05-12,8.376543,8.811728,8.311728,8.641975,4.191333,2266481
2000-05-15,8.604938,8.814815,8.444444,8.802469,4.269172,1902994
2000-05-16,8.716049,8.987654,8.691358,8.790123,4.292078,1761750
2000-05-17,8.629630,8.703704,8.493827,8.617284,4.207683,1008450
2000-05-18,8.703704,8.777778,8.469136,8.518519,4.159459,1035788
2000-05-19,8.333333,8.617284,8.320988,8.469136,4.135345,1540519
2000-05-22,8.456790,8.506173,8.209877,8.382716,4.093146,1735931
2000-05-23,8.302469,8.592593,8.185185,8.234568,4.020810,1730363
2000-05-24,8.209877,8.962963,8.209877,8.913580,4.352358,4565363
2000-05-25,8.765432,8.827160,8.259259,8.308642,4.056981,1982981
2000-05-26,8.308642,8.753086,8.197531,8.246914,4.026835,1698469
2000-05-30,8.370370,8.641975,8.370370,8.604938,4.201655,2136881
