Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.484375,5.625000,5.484375,5.625000,4.737003,224000
2000-01-03,5.625000,5.625000,5.031250,5.281250,4.447520,923600
2000-01-04,5.218750,5.218750,5.000000,5.031250,4.236986,196400
2000-01-05,5.031250,5.062500,4.890625,4.937500,4.158036,1044800
2000-01-06,4.953125,4.953125,4.859375,4.906250,4.131721,469200
2000-01-07,4.875000,5.031250,4.875000,4.984375,4.197514,509600
2000-01-10,4.953125,5.015625,4.890625,4.890625,4.118562,1116400
2000-01-11,4.937500,4.968750,4.625000,4.687500,3.947503,1533200
2000-01-12,4.750000,4.750000,4.468750,4.531250,3.815921,1540400
2000-01-13,4.546875,4.750000,4.546875,4.750000,4.000137,1454800
2000-01-14,4.812500,4.843750,4.609375,4.718750,3.973820,692800
2000-01-18,4.687500,4.703125,4.640625,4.671875,3.934345,354400
2000-01-19,4.703125,4.703125,4.453125,4.484375,3.776444,973600
2000-01-20,4.500000,4.609375,4.328125,4.531250,3.815921,1896800
2000-01-21,4.812500,4.843750,4.531250,4.593750,3.868552,1245200
2000-01-24,4.625000,4.703125,4.421875,4.468750,3.763288,1358800
2000-01-25,4.531250,4.531250,4.187500,4.250000,3.579070,1631600
2000-01-26,4.296875,4.421875,4.281250,4.359375,3.671176,2785600
2000-01-27,4.375000,4.500000,4.343750,4.484375,3.776444,1858800
2000-01-28,4.515625,4.562500,4.437500,4.437500,3.736970,1246400
2000-01-31,4.484375,4.484375,4.328125,4.359375,3.671176,1228000
2000-02-01,4.406250,4.437500,4.281250,4.296875,3.618545,798800
2000-02-02,4.359375,4.359375,4.234375,4.250000,3.579070,1172400
2000-02-03,4.312500,4.359375,4.250000,4.312500,3.631702,999600
2000-02-04,4.328125,4.390625,4.265625,4.312500,3.631702,4247200
2000-02-07,4.312500,4.328125,4.109375,4.140625,3.486961,1506400
2000-02-08,4.250000,4.515625,4.234375,4.453125,3.750129,1397600
2000-02-09,4.437500,4.468750,4.375000,4.421875,3.723812,860400
2000-02-10,4.421875,4.484375,4.328125,4.359375,3.671176,937200
2000-02-11,4.359375,4.484375,4.343750,4.406250,3.710653,785200
2000-02-14,4.421875,4.453125,4.375000,4.390625,3.697494,664800
2000-02-15,4.359375,4.781250,4.359375,4.625000,3.894868,1352400
2000-02-16,4.625000,4.625000,4.390625,4.421875,3.723812,676000
2000-02-17,4.468750,4.562500,4.390625,4.421875,3.723812,1258400
2000-02-18,4.406250,4.437500,4.218750,4.437500,3.736970,796000
2000-02-22,4.406250,4.500000,4.312500,4.328125,3.644861,324400
2000-02-23,4.406250,4.406250,4.250000,4.265625,3.592228,383600
2000-02-24,4.312500,4.375000,4.140625,4.203125,3.539594,634800
2000-02-25,4.187500,4.234375,4.031250,4.046875,3.408012,810800
2000-02-28,4.000000,4.109375,4.000000,4.093750,3.447486,594400
2000-02-29,4.140625,4.296875,4.078125,4.203125,3.539594,741200
2000-03-01,4.203125,4.328125,4.140625,4.265625,3.592228,714400
2000-03-02,4.265625,4.281250,4.000000,4.156250,3.500119,1325600
2000-03-03,4.203125,4.250000,4.046875,4.125000,3.473802,523600
2000-03-06,4.125000,4.171875,4.031250,4.046875,3.408012,433600
2000-03-07,4.078125,4.093750,3.906250,3.984375,3.355378,606000
2000-03-08,3.937500,4.000000,3.843750,3.921875,3.302744,416800
2000-03-09,3.875000,4.062500,3.812500,4.046875,3.408012,943600
2000-03-10,4.000000,4.046875,3.953125,3.968750,3.342220,1440000
2000-03-13,4.015625,4.062500,3.953125,4.046875,3.408012,1011600
2000-03-14,4.015625,4.078125,3.890625,3.937500,3.315902,613600
2000-03-15,3.937500,4.359375,3.937500,4.281250,3.614566,1652400
2000-03-16,4.281250,4.828125,4.281250,4.812500,4.063087,2527600
2000-03-17,4.500000,4.843750,4.500000,4.703125,3.970746,1604800
2000-03-20,4.718750,4.875000,4.687500,4.828125,4.076280,944000
2000-03-21,4.796875,4.828125,4.765625,4.812500,4.063087,624000
2000-03-22,4.796875,4.796875,4.687500,4.750000,4.010320,1052400
2000-03-23,4.718750,5.031250,4.671875,4.875000,4.115855,1113600
2000-03-24,4.890625,4.984375,4.750000,4.859375,4.102663,1296400
2000-03-27,4.859375,4.968750,4.765625,4.828125,4.076280,350400
2000-03-28,4.781250,4.828125,4.671875,4.734375,3.997132,610000
2000-03-29,4.812500,5.000000,4.750000,4.953125,4.181815,842800
2000-03-30,4.968750,5.234375,4.968750,5.109375,4.313735,1167200
2000-03-31,5.171875,5.265625,5.078125,5.218750,4.406075,1401200
2000-04-03,5.187500,5.328125,5.187500,5.218750,4.406075,702400
2000-04-04,5.234375,5.312500,5.046875,5.109375,4.313735,867200
2000-04-05,5.109375,5.375000,5.109375,5.359375,4.524805,1392000
2000-04-06,5.375000,5.453125,5.343750,5.359375,4.524805,932800
2000-04-07,5.312500,5.453125,5.312500,5.375000,4.537993,716800
2000-04-10,5.312500,5.421875,5.265625,5.312500,4.485227,431200
2000-04-11,5.312500,5.515625,5.312500,5.375000,4.537993,927200
2000-04-12,5.390625,5.750000,5.343750,5.656250,4.775448,775200
2000-04-13,5.625000,5.812500,5.578125,5.703125,4.815022,1052800
2000-04-14,5.656250,5.718750,5.312500,5.343750,4.511613,2032400
2000-04-17,5.250000,5.500000,5.218750,5.437500,4.590762,916800
2000-04-18,5.359375,5.437500,5.250000,5.390625,4.551187,1213200
2000-04-19,5.406250,5.468750,5.312500,5.421875,4.577570,652400
2000-04-20,5.359375,5.546875,5.343750,5.515625,4.656723,1218000
2000-04-24,5.468750,5.562500,5.406250,5.453125,4.603954,630000
2000-04-25,5.453125,5.609375,5.343750,5.500000,4.643528,1477600
2000-04-26,5.437500,5.625000,5.187500,5.578125,4.709490,993600
2000-04-27,5.515625,5.593750,5.421875,5.453125,4.603954,740400
2000-04-28,5.406250,5.406250,5.281250,5.375000,4.537993,1361200
2000-05-01,5.312500,5.562500,5.312500,5.421875,4.577570,510000
2000-05-02,5.390625,5.578125,5.390625,5.484375,4.630337,453200
2000-05-03,5.453125,5.500000,5.312500,5.406250,4.564380,480000
2000-05-04,5.390625,5.562500,5.390625,5.468750,4.617145,871200
2000-05-05,5.437500,5.593750,5.421875,5.500000,4.643528,442000
2000-05-08,5.500000,5.500000,5.312500,5.343750,4.511613,716000
2000-05-09,5.406250,5.531250,5.375000,5.500000,4.643528,350800
2000-05-10,5.500000,5.500000,5.343750,5.359375,4.524805,519600
2000-05-11,5.359375,5.718750,5.359375,5.640625,4.762255,1023600
2000-05-12,5.625000,5.718750,5.625000,5.671875,4.788640,350000
2000-05-15,5.671875,5.671875,5.484375,5.578125,4.709490,400400
2000-05-16,5.531250,5.781250,5.500000,5.734375,4.841410,446400
2000-05-17,5.671875,5.687500,5.375000,5.468750,4.617145,626800
2000-05-18,5.453125,5.500000,5.390625,5.406250,4.564380,585200
