Date,Open,High,Low,Close,Adj Close,Volume
2008-03-17,50.000000,52.650002,49.240002,49.389999,26.033134,1988000
2008-03-18,49.849998,52.000000,47.750000,49.599998,26.143831,8067600
2008-03-19,49.599998,51.000000,46.900002,50.099998,26.407373,3007700
2008-03-20,50.200001,50.200001,48.869999,49.150002,25.906626,3007700
2008-03-24,49.810001,51.000000,49.810001,51.000000,26.881752,1437000
2008-03-25,51.400002,51.750000,50.599998,51.750000,27.277084,1100800
2008-03-26,51.700001,52.470001,50.299999,50.299999,26.512793,2023200
2008-03-27,50.950001,52.029999,50.000000,50.680000,26.713099,8653300
2008-03-28,50.950001,52.500000,50.560001,51.060001,26.913383,9961200
2008-03-31,52.400002,54.700001,50.000000,50.580002,26.660372,19408900
2008-04-01,51.099998,52.189999,49.009998,50.580002,26.660372,23322500
2008-04-02,51.160000,52.070000,50.150002,51.209999,26.992443,12944700
2008-04-03,51.000000,51.500000,50.400002,51.049999,26.908123,12439100
2008-04-04,51.480000,51.480000,50.799999,51.369999,27.076790,6651000
2008-04-07,51.599998,51.599998,50.500000,50.669998,26.707809,7099300
2008-04-08,50.410000,51.009998,50.209999,50.599998,26.670919,8283300
2008-04-09,50.500000,50.590000,49.150002,49.380001,26.027864,8916200
2008-04-10,49.490002,49.910000,48.500000,48.660000,25.648357,14321900
2008-04-11,48.490002,48.889999,48.080002,48.330002,25.474419,11400700
2008-04-14,48.299999,48.349998,47.430000,48.000000,25.300470,11532500
2008-04-15,47.779999,48.349998,47.779999,48.200001,25.405897,9603400
2008-04-16,48.410000,49.610001,48.349998,49.459999,26.070040,14837600
2008-04-17,49.720001,50.000000,49.419998,49.849998,26.275595,6660700
2008-04-18,50.490002,50.939999,49.380001,49.959999,26.333584,9630700
2008-04-21,50.200001,50.889999,49.130001,50.630001,26.686739,6528300
2008-04-22,50.599998,50.900002,49.919998,50.070000,26.391556,5504900
2008-04-23,51.000000,52.340000,50.900002,52.000000,27.408838,13532300
2008-04-24,52.000000,52.430000,51.500000,52.000000,27.408838,5847500
2008-04-25,52.139999,52.180000,50.750000,51.299999,27.039885,11399700
2008-04-28,50.939999,51.299999,50.750000,51.070000,26.918657,8382500
2008-04-29,51.439999,52.200001,50.259998,52.009998,27.414116,12325300
2008-04-30,51.700001,52.009998,50.910000,51.029999,26.897570,8733100
2008-05-01,50.830002,51.169998,50.619999,50.750000,26.749987,7120800
2008-05-02,50.900002,51.099998,50.400002,51.020000,26.892300,9291100
2008-05-05,50.869999,51.630001,50.630001,50.810001,26.781607,8398500
2008-05-06,50.900002,51.950001,50.849998,51.880001,27.345604,7588300
2008-05-07,51.970001,52.200001,51.310001,51.689999,27.245441,6391400
2008-05-08,51.650002,52.209999,51.500000,52.200001,27.514263,6669700
2008-05-09,51.900002,52.459999,51.529999,51.830002,27.319237,5491700
2008-05-12,51.980000,52.540001,51.299999,52.470001,27.656586,5851300
2008-05-13,52.419998,52.840000,52.040001,52.459999,27.651310,5986600
2008-05-14,52.509998,52.849998,52.400002,52.669998,27.762007,5381500
2008-05-15,52.509998,53.310001,52.099998,53.250000,28.067715,8376500
2008-05-16,53.230000,53.500000,52.349998,53.380001,28.136227,7172600
2008-05-19,53.490002,53.950001,52.930000,53.630001,28.268011,6580200
2008-05-20,53.299999,53.939999,52.820000,52.910000,27.888510,6887400
2008-05-21,53.040001,53.180000,51.830002,51.980000,27.398306,6784200
2008-05-22,51.820000,52.770000,51.779999,52.279999,27.556427,5135200
2008-05-23,52.099998,52.980000,51.750000,51.799999,27.303429,5197400
2008-05-27,51.919998,51.939999,51.119999,51.630001,27.213833,6505400
2008-05-28,51.700001,51.900002,50.830002,51.160000,26.966095,13524100
2008-05-29,50.959999,52.160000,50.930000,52.020000,27.419378,7386900
2008-05-30,52.070000,52.990002,51.810001,52.660000,27.756733,7047800
2008-06-02,52.150002,52.700001,51.919998,52.110001,27.466833,8668100
2008-06-03,52.099998,52.619999,51.669998,51.669998,27.234913,6552400
2008-06-04,51.689999,52.270000,51.500000,51.950001,27.382505,6407400
2008-06-05,52.029999,52.240002,51.540001,51.810001,27.308704,6407400
2008-06-06,51.500000,51.509998,50.400002,50.500000,26.618208,10198500
2008-06-09,50.799999,50.950001,49.180000,49.490002,26.085857,9937000
2008-06-10,49.009998,49.650002,48.529999,49.490002,26.085857,8847000
2008-06-11,49.490002,50.599998,49.119999,49.860001,26.280872,12367200
2008-06-12,49.869999,51.380001,49.869999,51.290001,27.034615,11782900
2008-06-13,51.279999,51.880001,50.700001,51.610001,27.203278,7365600
2008-06-16,51.169998,51.169998,50.240002,50.730000,26.739447,8251100
2008-06-17,50.549999,50.970001,50.119999,50.630001,26.686739,5633800
2008-06-18,50.220001,50.560001,49.820000,49.900002,26.301958,9967500
2008-06-19,49.799999,50.580002,49.700001,50.400002,26.565504,9591400
2008-06-20,50.070000,50.590000,49.770000,50.220001,26.470631,11448200
2008-06-23,50.330002,50.700001,49.900002,50.639999,26.692003,6625800
2008-06-24,50.250000,51.540001,50.049999,51.169998,26.971352,8976600
2008-06-25,51.450001,52.750000,51.250000,51.770000,27.287622,10334100
2008-06-26,51.099998,51.540001,50.150002,50.150002,26.670712,12055000
2008-06-27,50.110001,50.250000,49.220001,49.830002,26.500530,15397700
2008-06-30,49.799999,50.169998,48.840000,49.389999,26.266527,9972600
2008-07-01,49.029999,50.590000,48.730000,50.389999,26.798349,11092000
2008-07-02,50.470001,51.070000,49.869999,50.599998,26.910034,7956400
2008-07-03,50.570000,51.509998,50.290001,51.470001,27.372705,5151300
2008-07-07,51.470001,52.330002,51.099998,51.849998,27.574808,8395000
2008-07-08,51.730000,54.000000,51.560001,53.770000,28.595894,13977700
2008-07-09,53.720001,54.430000,53.250000,54.000000,28.718199,10411300
2008-07-10,53.889999,53.990002,52.709999,53.439999,28.420383,11581100
2008-07-11,52.930000,53.840000,52.250000,53.369999,28.383169,6588500
2008-07-14,53.259998,53.889999,52.750000,53.560001,28.484211,8298900
2008-07-15,52.889999,53.869999,52.320000,53.299999,28.345942,8306600
2008-07-16,52.770000,53.369999,51.730000,52.919998,28.143848,6910000
2008-07-17,53.200001,53.200001,50.900002,50.959999,27.101479,10317300
2008-07-18,51.099998,51.470001,50.119999,50.720001,26.973846,9559600
2008-07-21,50.820000,50.990002,50.250000,50.480000,26.846207,4370800
2008-07-22,50.250000,52.099998,50.060001,52.049999,27.681158,8926900
2008-07-23,52.590000,52.590000,50.889999,51.470001,27.372705,7943800
2008-07-24,51.400002,53.090000,51.400002,52.459999,27.899204,8717600
2008-07-25,52.270000,53.549999,52.270000,53.049999,28.212978,8066100
2008-07-28,52.779999,53.250000,52.340000,52.619999,27.984299,5131000
2008-07-29,52.740002,53.410000,52.630001,53.340000,28.367220,7257600
2008-07-30,53.560001,54.020000,52.669998,53.369999,28.383169,7355800
2008-07-31,53.369999,53.790001,51.340000,51.650002,27.468437,10498800
2008-08-01,51.750000,52.599998,51.750000,52.080002,27.697124,6718500
2008-08-04,52.099998,54.080002,51.279999,53.720001,28.569292,8962600
2008-08-05,53.700001,55.540001,53.599998,55.200001,29.356401,12884400
2008-08-06,54.860001,56.150002,54.709999,55.529999,29.531889,12660800
2008-08-07,55.130001,55.310001,54.299999,54.639999,29.058571,9282200
2008-08-08,54.500000,55.500000,54.500000,55.209999,29.361719,9266200
2008-08-11,54.700001,55.750000,54.639999,55.750000,29.648901,9724400
2008-08-12,55.610001,56.259998,55.520000,55.950001,29.755251,6690400
2008-08-13,55.860001,55.990002,55.369999,55.540001,29.537212,7810200
2008-08-14,55.240002,55.770000,54.939999,55.470001,29.499983,5723200
2008-08-15,55.509998,55.700001,55.250000,55.570000,29.553162,6561300
2008-08-18,55.660000,55.700001,54.910000,55.009998,29.255346,5742800
2008-08-19,54.759998,55.189999,54.450001,54.509998,28.989431,5712500
2008-08-20,54.549999,54.700001,54.070000,54.610001,29.042618,4411500
2008-08-21,54.200001,55.049999,53.549999,54.820000,29.154308,4693100
2008-08-22,55.000000,55.529999,54.410000,55.529999,29.531889,4342600
2008-08-25,55.299999,55.660000,54.560001,54.869999,29.180901,4400200
2008-08-26,54.790001,55.099998,54.209999,54.639999,29.058571,6995000
2008-08-27,54.750000,54.889999,53.709999,54.099998,28.771399,5459100
2008-08-28,54.009998,54.259998,53.549999,53.919998,28.675671,5426100
2008-08-29,53.759998,54.459999,53.660000,53.700001,28.558664,6060100
2008-09-02,53.750000,55.320000,53.700001,54.810001,29.148987,8835700
2008-09-03,54.750000,55.480000,54.000000,54.070000,28.755445,8236900
2008-09-04,54.000000,54.200001,53.209999,53.369999,28.383169,7565900
2008-09-05,53.349998,54.209999,53.240002,54.000000,28.718199,7810500
2008-09-08,54.000000,55.400002,53.689999,54.980000,29.239388,16614500
2008-09-09,55.029999,55.730000,54.779999,54.779999,29.133024,11236800
2008-09-10,54.900002,55.180000,54.320000,54.619999,29.047941,9203000
2008-09-11,54.279999,54.810001,53.750000,54.810001,29.440046,8566700
2008-09-12,54.389999,54.650002,53.250000,53.680000,28.833076,8564300
2008-09-15,53.139999,54.119999,52.820000,52.820000,28.371143,10481900
2008-09-16,51.970001,54.250000,49.459999,53.770000,28.881433,15648800
2008-09-17,53.490002,53.490002,48.060001,48.980000,26.308578,22145900
2008-09-18,49.720001,52.750000,49.720001,50.000000,26.856459,22618300
2008-09-19,52.169998,52.439999,50.000000,51.419998,27.619183,16822000
2008-09-22,50.810001,51.980000,49.590000,50.029999,26.872566,10379600
2008-09-23,49.889999,50.799999,49.250000,49.250000,26.453608,8218900
2008-09-24,49.540001,50.189999,48.950001,49.790001,26.743664,9164800
2008-09-25,49.990002,52.000000,49.660000,51.610001,27.721228,12454800
2008-09-26,50.759998,51.380001,50.009998,50.900002,27.339872,9314100
2008-09-29,50.689999,50.889999,46.799999,46.799999,25.137634,14648300
2008-09-30,48.099998,49.750000,47.689999,48.099998,25.835907,14356400
2008-10-01,47.959999,50.820000,47.349998,50.779999,27.275417,11718100
2008-10-02,50.389999,51.950001,48.750000,49.080002,26.362297,11218400
2008-10-03,49.900002,51.779999,49.450001,49.669998,26.679205,12181100
2008-10-06,48.439999,49.500000,44.000000,46.119999,24.772394,25421600
2008-10-07,47.650002,47.799999,43.720001,44.360001,23.827045,14791700
2008-10-08,41.950001,45.270000,41.369999,43.049999,23.123407,18701800
2008-10-09,43.799999,45.000000,38.450001,39.000000,20.948034,17782900
2008-10-10,37.009998,45.000000,33.299999,39.740002,21.345509,29162700
2008-10-13,42.000000,46.000000,41.459999,44.990002,24.165440,19808100
2008-10-14,46.869999,46.959999,42.189999,44.040001,23.655159,18448000
2008-10-15,43.869999,44.500000,39.700001,40.820000,21.925598,14561500
2008-10-16,41.150002,43.880001,39.400002,43.009998,23.101915,17459500
2008-10-17,42.790001,45.480000,42.410000,43.299999,23.257694,14269900
2008-10-20,43.770000,45.090000,43.000000,43.389999,23.306028,11162500
2008-10-21,43.090000,43.889999,41.669998,42.160000,22.645359,9769500
2008-10-22,42.500000,43.369999,40.299999,40.830002,21.930971,14755100
2008-10-23,41.169998,43.720001,40.000000,42.959999,23.075058,11903100
2008-10-24,39.880001,41.500000,39.000000,40.500000,21.753729,13534300
