Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.652888,10.681994,10.594675,10.652888,4.069324,169208
2000-01-03,10.681994,10.711100,10.303613,10.332719,3.947021,1662658
2000-01-04,10.390931,10.827525,10.390931,10.594675,4.047086,980030
2000-01-05,10.594675,11.031269,10.565569,10.827525,4.136033,913034
2000-01-06,10.885738,10.943950,10.594675,10.681994,4.080441,704746
2000-01-07,10.798419,11.002163,10.769313,10.885738,4.158269,506120
2000-01-10,10.856631,11.089481,10.740206,10.769313,4.113797,472407
2000-01-11,10.856631,11.060375,10.594675,10.681994,4.080441,696371
2000-01-12,10.652888,10.856631,10.652888,10.740206,4.102678,606399
2000-01-13,10.769313,11.060375,10.769313,10.798419,4.124915,667382
2000-01-14,10.885738,10.973056,10.681994,10.740206,4.102678,738244
2000-01-18,10.681994,10.740206,10.449144,10.652888,4.069324,812111
2000-01-19,10.652888,10.827525,10.623781,10.711100,4.091558,710329
2000-01-20,10.711100,10.856631,10.711100,10.769313,4.113797,534464
2000-01-21,10.973056,11.176800,10.885738,11.002163,4.202742,1102641
2000-01-24,11.002163,11.089481,10.856631,10.943950,4.180508,1135710
2000-01-25,10.885738,10.973056,10.565569,10.623781,4.058206,716770
2000-01-26,10.623781,10.798419,10.536463,10.536463,4.024848,986043
2000-01-27,10.652888,10.973056,10.652888,10.798419,4.124915,1039081
2000-01-28,10.711100,10.740206,10.274506,10.332719,3.947021,852265
2000-01-31,10.711100,10.885738,10.565569,10.798419,4.124915,833799
2000-02-01,10.827525,10.827525,10.681994,10.740206,4.102678,506335
2000-02-02,10.652888,10.798419,10.623781,10.740206,4.102678,394889
2000-02-03,10.652888,10.973056,10.594675,10.943950,4.180508,867511
2000-02-04,10.856631,10.914844,10.303613,10.449144,3.991493,475199
2000-02-07,10.478250,10.594675,10.332719,10.361825,3.958138,419583
2000-02-08,10.420038,10.681994,10.361825,10.390931,3.969256,399613
2000-02-09,10.332719,10.478250,10.041656,10.303613,3.935903,677689
2000-02-10,10.274506,10.390931,10.099869,10.274506,3.924783,605970
2000-02-11,10.216294,10.245400,10.041656,10.158081,3.880309,338415
2000-02-14,10.216294,10.420038,10.187188,10.303613,3.935903,579558
2000-02-15,10.420038,10.594675,10.420038,10.478250,4.002612,689070
2000-02-16,10.449144,10.478250,10.158081,10.303613,3.935903,499678
2000-02-17,10.303613,10.303613,10.012550,10.128975,3.869192,571827
2000-02-18,10.012550,10.041656,9.750594,9.808806,3.746890,689500
2000-02-22,9.867019,9.983444,9.750594,9.779700,3.735773,255315
2000-02-23,9.779700,9.779700,9.546850,9.605063,3.669062,324458
2000-02-24,9.692381,9.692381,8.993831,9.459531,3.613469,696371
2000-02-25,9.314000,9.575956,9.226681,9.284894,3.546759,681555
2000-02-28,9.139363,9.517744,9.139363,9.459531,3.613469,694009
2000-02-29,9.488638,9.488638,9.197575,9.372213,3.580116,506764
2000-03-01,9.284894,9.488638,9.226681,9.401319,3.591233,551643
2000-03-02,9.401319,9.488638,9.284894,9.459531,3.613469,642259
2000-03-03,9.459531,9.634169,9.401319,9.575956,3.657944,234486
2000-03-06,9.430425,9.459531,9.081150,9.110256,3.480048,401976
2000-03-07,9.081150,9.314000,8.760981,8.993831,3.435578,860640
2000-03-08,8.644556,9.022938,8.557238,8.673663,3.359370,6123041
2000-03-09,8.848300,8.935619,8.702769,8.935619,3.460827,612411
2000-03-10,8.790088,9.081150,8.731875,8.964725,3.472102,534679
2000-03-13,8.790088,8.877406,8.644556,8.702769,3.370643,474554
2000-03-14,8.644556,8.702769,8.586344,8.615450,3.336823,349367
2000-03-15,8.731875,9.343106,8.702769,9.284894,3.596104,995920
2000-03-16,9.284894,10.012550,9.139363,9.896125,3.832841,828645
2000-03-17,9.488638,9.721488,9.430425,9.488638,3.675014,680910
2000-03-20,9.372213,9.721488,9.372213,9.634169,3.731380,595448
2000-03-21,9.546850,9.663275,9.401319,9.517744,3.686287,294396
2000-03-22,9.401319,9.430425,9.139363,9.226681,3.573559,564956
2000-03-23,9.255788,9.663275,9.168469,9.634169,3.731380,887481
2000-03-24,9.634169,9.779700,9.634169,9.779700,3.787747,556152
2000-03-27,9.692381,9.750594,9.663275,9.692381,3.753927,343139
2000-03-28,9.663275,9.721488,9.284894,9.372213,3.629924,442774
2000-03-29,9.372213,9.750594,9.372213,9.517744,3.686287,503543
2000-03-30,9.575956,9.779700,9.459531,9.692381,3.753927,422160
2000-03-31,9.575956,9.837913,9.343106,9.750594,3.776473,827142
2000-04-03,9.750594,9.779700,9.488638,9.692381,3.753927,556367
2000-04-04,9.750594,9.983444,9.488638,9.837913,3.810293,684561
2000-04-05,9.721488,10.216294,9.663275,9.867019,3.821564,495383
2000-04-06,10.012550,10.041656,9.837913,9.925231,3.844112,364183
2000-04-07,9.808806,9.954338,9.721488,9.896125,3.832841,581275
2000-04-10,9.779700,10.012550,9.692381,9.983444,3.866658,294825
2000-04-11,10.099869,10.187188,9.954338,10.158081,3.934295,531243
2000-04-12,10.041656,10.507356,10.041656,10.332719,4.001935,689285
2000-04-13,10.216294,10.681994,10.158081,10.594675,4.103391,340777
2000-04-14,10.594675,10.798419,10.274506,10.332719,4.001935,416148
2000-04-17,10.216294,10.420038,10.012550,10.420038,4.035755,625295
2000-04-18,10.303613,10.332719,10.099869,10.128975,3.923023,671248
2000-04-19,10.216294,10.216294,9.837913,10.099869,3.911749,433111
2000-04-20,10.041656,10.420038,10.041656,10.420038,4.035755,533391
2000-04-24,10.303613,11.235013,10.274506,11.089481,4.295035,1228259
2000-04-25,10.914844,11.293225,10.711100,11.293225,4.373944,1098776
2000-04-26,11.205906,11.642500,10.973056,11.613394,4.497948,554005
2000-04-27,11.409650,11.526075,11.118588,11.322331,4.385217,518145
2000-04-28,11.176800,11.293225,10.914844,11.118588,4.306308,625295
2000-05-01,11.002163,11.118588,10.973056,11.060375,4.283759,533391
2000-05-02,10.943950,11.031269,10.478250,10.565569,4.092119,468542
2000-05-03,10.565569,10.769313,10.420038,10.681994,4.137210,386300
2000-05-04,10.623781,11.002163,10.478250,10.885738,4.216122,362465
2000-05-05,10.769313,10.769313,10.420038,10.420038,4.035755,470689
2000-05-08,10.536463,11.031269,10.449144,10.769313,4.171031,404338
2000-05-09,10.769313,10.943950,10.536463,10.943950,4.238668,512991
2000-05-10,10.943950,11.205906,10.798419,11.031269,4.272488,404767
2000-05-11,10.914844,11.235013,10.914844,11.205906,4.340127,420442
2000-05-12,11.205906,11.205906,10.681994,10.885738,4.216122,926992
2000-05-15,10.769313,11.351438,10.769313,11.264119,4.362673,738673
2000-05-16,11.147694,11.205906,10.914844,11.060375,4.283759,469401
2000-05-17,10.973056,11.031269,10.652888,10.856631,4.204848,743826
2000-05-18,10.827525,11.293225,10.798419,10.973056,4.249942,554219
2000-05-19,10.856631,11.089481,10.798419,10.973056,4.249942,319304
2000-05-22,11.031269,11.235013,11.002163,11.235013,4.351398,426025
2000-05-23,11.264119,11.264119,10.885738,11.002163,4.261214,274426
2000-05-24,11.002163,11.264119,11.002163,11.235013,4.351398,462959
2000-05-25,11.147694,11.176800,10.827525,10.943950,4.238668,297187
2000-05-26,10.943950,11.205906,10.885738,11.118588,4.306308,513635
2000-05-30,11.002163,11.118588,10.711100,10.856631,4.204848,527593
2000-05-31,10.914844,11.118588,10.856631,11.002163,4.261214,621860
2000-06-01,10.914844,10.973056,10.711100,10.973056,4.249942,418295
2000-06-02,10.943950,10.943950,10.769313,10.914844,4.227395,269702
2000-06-05,11.031269,11.031269,10.449144,10.565569,4.092119,374705
2000-06-06,10.565569,10.973056,10.565569,10.856631,4.204848,508482
2000-06-07,10.652888,10.885738,10.652888,10.827525,4.241796,2091905
2000-06-08,10.827525,10.827525,10.507356,10.565569,4.139171,619712
2000-06-09,10.652888,10.798419,10.565569,10.711100,4.196182,245437
2000-06-12,10.623781,11.002163,10.623781,10.885738,4.264598,664806
2000-06-13,10.885738,11.118588,10.885738,11.060375,4.333014,468542
2000-06-14,11.002163,11.031269,10.711100,10.740206,4.207585,266695
2000-06-15,10.740206,11.089481,10.740206,11.031269,4.321612,381361
2000-06-16,10.798419,11.089481,10.769313,10.812972,4.236093,554864
2000-06-19,10.798419,10.885738,10.565569,10.681994,4.184781,317157
2000-06-20,10.652888,10.711100,10.507356,10.623781,4.161975,325531
2000-06-21,10.623781,10.827525,10.594675,10.623781,4.161975,528022
2000-06-22,10.623781,10.623781,10.390931,10.420038,4.082158,324243
2000-06-23,10.507356,10.681994,10.449144,10.507356,4.116363,270346
2000-06-26,10.623781,10.827525,10.536463,10.798419,4.230392,436977
2000-06-27,10.856631,10.885738,10.420038,10.507356,4.116363,442774
2000-06-28,10.565569,10.885738,10.245400,10.834802,4.244643,538759
2000-06-29,10.652888,10.914844,10.623781,10.681994,4.184781,549281
2000-06-30,10.594675,11.031269,10.187188,10.216294,4.002337,1354520
2000-07-03,10.216294,10.623781,10.216294,10.565569,4.139171,309641
2000-07-05,10.681994,10.798419,10.303613,10.361825,4.059352,1575907
2000-07-06,10.274506,10.478250,10.274506,10.361825,4.059352,313507
2000-07-07,10.449144,10.565569,10.390931,10.478250,4.104962,280223
2000-07-10,10.478250,10.652888,10.478250,10.536463,4.127768,385656
2000-07-11,10.478250,10.681994,10.449144,10.652888,4.173378,672536
2000-07-12,10.594675,10.623781,10.478250,10.478250,4.104962,336912
2000-07-13,10.478250,10.565569,10.420038,10.536463,4.127768,285592
2000-07-14,10.565569,10.594675,10.361825,10.478250,4.104962,365257
2000-07-17,10.478250,10.594675,10.420038,10.594675,4.150573,454799
2000-07-18,10.536463,10.652888,10.507356,10.623781,4.161975,333691
2000-07-19,10.652888,10.827525,10.565569,10.740206,4.207585,449002
2000-07-20,10.856631,10.856631,10.711100,10.798419,4.230392,411638
2000-07-21,10.740206,10.914844,10.681994,10.740206,4.207585,364827
2000-07-24,10.623781,10.827525,10.478250,10.798419,4.230392,600387
2000-07-25,10.856631,10.973056,10.798419,10.914844,4.276001,467898
