Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.937500,8.312500,7.937500,8.312500,7.507385,24000
2000-01-03,8.187500,8.187500,7.750000,7.812500,7.055815,30100
2000-01-04,7.750000,7.875000,7.437500,7.500000,6.773582,17500
2000-01-05,7.500000,7.562500,7.375000,7.375000,6.660688,26800
2000-01-06,7.375000,7.687500,7.250000,7.562500,6.830029,48400
2000-01-07,7.562500,7.875000,7.375000,7.375000,6.660688,20900
2000-01-10,7.500000,7.500000,7.000000,7.062500,6.378457,84300
2000-01-11,7.187500,7.250000,6.812500,6.875000,6.209116,31500
2000-01-12,7.000000,7.125000,6.812500,7.125000,6.434906,28200
2000-01-13,7.250000,7.250000,7.125000,7.125000,6.434906,17900
2000-01-14,7.187500,7.187500,6.937500,6.937500,6.265564,29100
2000-01-18,7.062500,7.250000,7.062500,7.250000,6.547796,50100
2000-01-19,7.250000,7.375000,7.250000,7.375000,6.660688,12800
2000-01-20,7.312500,7.625000,7.312500,7.625000,6.886477,27200
2000-01-21,7.500000,7.750000,7.437500,7.750000,6.999368,43000
2000-01-24,7.812500,7.875000,7.437500,7.437500,6.717137,88400
2000-01-25,7.375000,7.375000,7.000000,7.187500,6.491351,969200
2000-01-26,7.250000,7.250000,7.125000,7.125000,6.434906,9200
2000-01-27,7.125000,7.187500,7.062500,7.062500,6.378457,9600
2000-01-28,7.125000,7.125000,7.000000,7.000000,6.322008,26300
2000-01-31,7.000000,7.062500,6.750000,6.750000,6.096225,16400
2000-02-01,6.812500,6.812500,6.625000,6.625000,5.983330,43900
2000-02-02,6.750000,6.812500,6.687500,6.812500,6.152670,40500
2000-02-03,6.750000,7.000000,6.750000,7.000000,6.322008,34500
2000-02-04,7.000000,7.000000,6.687500,6.687500,6.039776,70400
2000-02-07,6.687500,6.687500,6.437500,6.437500,5.813991,20100
2000-02-08,6.375000,6.437500,6.000000,6.000000,5.418865,39000
2000-02-09,5.875000,5.937500,5.812500,5.875000,5.305970,128200
2000-02-10,6.000000,6.500000,5.937500,6.437500,5.813991,132800
2000-02-11,6.500000,6.500000,6.312500,6.375000,5.757545,19500
2000-02-14,6.250000,6.562500,6.250000,6.437500,5.813991,19900
2000-02-15,6.500000,6.500000,6.125000,6.375000,5.757545,66900
2000-02-16,6.375000,6.687500,6.250000,6.687500,6.039776,40600
2000-02-17,6.750000,7.312500,6.750000,6.937500,6.265564,68600
2000-02-18,7.000000,7.125000,6.937500,7.000000,6.322008,31400
2000-02-22,7.000000,7.187500,6.937500,7.000000,6.322008,24500
2000-02-23,7.000000,7.062500,7.000000,7.000000,6.322008,12700
2000-02-24,7.000000,7.000000,6.937500,6.937500,6.265564,24800
2000-02-25,7.000000,7.125000,6.937500,6.937500,6.265564,17000
2000-02-28,6.937500,7.000000,6.750000,7.000000,6.322008,97300
2000-02-29,7.000000,7.062500,6.812500,6.937500,6.265564,29000
2000-03-01,6.875000,7.000000,6.750000,6.937500,6.265564,83800
2000-03-02,6.937500,7.000000,6.750000,6.875000,6.209116,52400
2000-03-03,6.750000,6.812500,6.625000,6.812500,6.152670,81000
2000-03-06,6.875000,7.062500,6.875000,7.062500,6.378457,76500
2000-03-07,7.187500,7.187500,6.875000,7.125000,6.434906,32700
2000-03-08,7.125000,7.125000,6.625000,6.875000,6.209116,32000
2000-03-09,6.875000,7.250000,6.875000,7.125000,6.470668,45200
2000-03-10,7.125000,7.125000,6.687500,6.875000,6.243626,16600
2000-03-13,6.812500,6.937500,6.812500,6.937500,6.300387,11400
2000-03-14,6.812500,6.937500,6.750000,6.750000,6.130105,71200
2000-03-15,6.750000,6.750000,6.562500,6.625000,6.016587,36900
2000-03-16,6.625000,6.687500,6.625000,6.625000,6.016587,27200
2000-03-17,6.562500,6.750000,6.562500,6.687500,6.073346,39100
2000-03-20,6.812500,7.062500,6.687500,7.000000,6.357146,94400
2000-03-21,7.000000,7.375000,6.875000,7.312500,6.640948,105500
2000-03-22,7.312500,7.562500,7.312500,7.437500,6.754469,60900
2000-03-23,7.375000,7.500000,7.375000,7.375000,6.697708,17100
2000-03-24,7.375000,7.375000,6.812500,6.937500,6.300387,55200
2000-03-27,6.937500,7.312500,6.937500,7.000000,6.357146,90600
2000-03-28,7.000000,7.187500,6.937500,7.062500,6.413907,84900
2000-03-29,7.000000,7.500000,7.000000,7.437500,6.754469,70900
2000-03-30,7.500000,7.500000,7.375000,7.375000,6.697708,19300
2000-03-31,7.500000,7.937500,7.437500,7.687500,6.981511,72700
2000-04-03,7.750000,7.812500,7.625000,7.812500,7.095031,43600
2000-04-04,7.687500,7.750000,7.562500,7.625000,6.924750,86100
2000-04-05,7.500000,7.562500,7.312500,7.437500,6.754469,52500
2000-04-06,7.437500,7.687500,7.437500,7.625000,6.924750,31400
2000-04-07,7.625000,7.937500,7.562500,7.750000,7.038270,96900
2000-04-10,7.687500,8.125000,7.625000,8.125000,7.378830,79100
2000-04-11,8.250000,8.250000,7.812500,8.125000,7.378830,100300
2000-04-12,8.125000,8.125000,7.750000,7.812500,7.095031,50800
2000-04-13,7.875000,8.062500,7.750000,8.000000,7.265310,45800
2000-04-14,8.062500,8.250000,7.250000,7.250000,6.584189,90600
2000-04-17,7.250000,7.625000,7.250000,7.312500,6.640948,26600
2000-04-18,7.437500,7.437500,7.312500,7.375000,6.697708,25500
2000-04-19,7.250000,7.625000,7.250000,7.625000,6.924750,17500
2000-04-20,7.625000,7.812500,7.625000,7.750000,7.038270,12900
2000-04-24,7.875000,7.937500,7.562500,7.562500,6.867988,7700
2000-04-25,7.625000,7.687500,7.562500,7.625000,6.924750,7100
2000-04-26,7.687500,8.312500,7.687500,8.250000,7.492355,66500
2000-04-27,8.125000,8.187500,8.000000,8.000000,7.265310,28500
2000-04-28,8.000000,8.437500,7.937500,8.437500,7.662629,32400
2000-05-01,8.375000,8.375000,8.062500,8.250000,7.492355,20400
2000-05-02,8.250000,8.437500,8.250000,8.312500,7.549110,59800
2000-05-03,8.312500,8.312500,7.937500,8.125000,7.378830,118400
2000-05-04,8.187500,8.375000,8.062500,8.125000,7.378830,63200
2000-05-05,8.125000,8.312500,8.125000,8.312500,7.549110,45900
2000-05-08,8.312500,8.375000,8.187500,8.312500,7.549110,21600
2000-05-09,8.312500,8.312500,8.125000,8.187500,7.435593,38700
2000-05-10,8.125000,8.125000,7.750000,7.875000,7.151792,47900
2000-05-11,7.937500,8.000000,7.750000,7.875000,7.151792,12500
2000-05-12,7.875000,7.937500,7.687500,7.687500,6.981511,18300
2000-05-15,7.625000,7.937500,7.500000,7.875000,7.151792,69000
