Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.562500,9.000000,8.562500,8.937500,7.973739,201200
2000-01-03,8.562500,8.625000,8.250000,8.437500,7.527654,149600
2000-01-04,8.375000,8.562500,8.125000,8.562500,7.639174,140100
2000-01-05,8.625000,8.750000,8.125000,8.312500,7.416134,199900
2000-01-06,8.312500,8.750000,8.312500,8.500000,7.583416,216200
2000-01-07,8.562500,8.812500,8.500000,8.750000,7.806458,164900
2000-01-10,8.625000,8.625000,8.375000,8.500000,7.583416,107300
2000-01-11,8.375000,8.687500,8.312500,8.625000,7.694937,80900
2000-01-12,8.625000,8.687500,8.187500,8.187500,7.304612,186600
2000-01-13,8.437500,8.437500,8.312500,8.437500,7.527654,153100
2000-01-14,8.375000,8.812500,8.312500,8.687500,7.750695,391900
2000-01-18,8.937500,9.312500,8.687500,9.312500,8.308300,449100
2000-01-19,9.375000,9.625000,8.750000,9.125000,8.141019,490600
2000-01-20,9.000000,9.000000,8.687500,9.000000,8.029499,279300
2000-01-21,9.000000,9.437500,9.000000,9.437500,8.419821,449000
2000-01-24,9.437500,10.187500,9.437500,9.500000,8.475577,390900
2000-01-25,9.625000,9.875000,9.375000,9.750000,8.698620,208800
2000-01-26,10.125000,10.187500,9.812500,9.812500,8.754382,331700
2000-01-27,9.812500,9.875000,8.812500,8.812500,7.862213,215000
2000-01-28,8.875000,9.125000,8.625000,8.625000,7.694937,190000
2000-01-31,8.625000,8.812500,8.562500,8.562500,7.639174,164200
2000-02-01,8.625000,8.937500,8.437500,8.937500,7.973739,134100
2000-02-02,9.000000,9.500000,9.000000,9.312500,8.308300,232100
2000-02-03,9.437500,9.437500,8.750000,9.000000,8.029499,137100
2000-02-04,9.125000,9.250000,8.562500,8.875000,7.917979,99400
2000-02-07,8.937500,8.937500,8.312500,8.687500,7.750695,133900
2000-02-08,8.687500,8.687500,8.312500,8.375000,7.471894,189200
2000-02-09,8.375000,8.375000,8.125000,8.125000,7.248852,108500
2000-02-10,8.062500,8.375000,7.937500,8.312500,7.416134,155800
2000-02-11,8.312500,8.312500,8.000000,8.125000,7.248852,154300
2000-02-14,8.000000,8.062500,7.750000,7.875000,7.025811,206900
2000-02-15,8.000000,8.125000,7.750000,8.062500,7.193091,665400
2000-02-16,8.000000,8.000000,7.687500,7.750000,6.914289,617200
2000-02-17,7.812500,7.937500,7.500000,7.687500,6.858529,211200
2000-02-18,7.750000,7.812500,6.750000,6.875000,6.133643,630400
2000-02-22,7.125000,7.687500,7.062500,7.437500,6.635489,411400
2000-02-23,7.625000,7.875000,7.250000,7.687500,6.858529,468400
2000-02-24,7.562500,7.750000,7.437500,7.750000,6.914289,273800
2000-02-25,7.687500,7.937500,7.375000,7.437500,6.635489,210700
2000-02-28,7.250000,7.750000,7.187500,7.687500,6.858529,146600
2000-02-29,7.625000,8.375000,7.500000,8.312500,7.416134,363300
2000-03-01,8.187500,9.000000,7.875000,8.437500,7.527654,387800
2000-03-02,8.312500,8.812500,8.250000,8.750000,7.806458,385300
2000-03-03,8.687500,8.750000,8.187500,8.187500,7.304612,217400
2000-03-06,8.312500,8.500000,8.187500,8.375000,7.471894,200300
2000-03-07,8.312500,9.562500,8.312500,9.062500,8.085258,551500
2000-03-08,9.000000,9.125000,8.687500,9.125000,8.141019,383800
2000-03-09,9.125000,9.500000,8.875000,9.437500,8.419821,337800
2000-03-10,9.437500,9.687500,8.937500,8.937500,7.973739,184000
2000-03-13,9.187500,9.187500,8.437500,8.437500,7.527654,111500
2000-03-14,8.562500,9.125000,8.562500,8.750000,7.806458,205100
2000-03-15,8.750000,8.937500,8.312500,8.562500,7.639174,296100
2000-03-16,8.750000,9.250000,8.562500,9.250000,8.252542,218400
2000-03-17,8.625000,9.250000,8.625000,9.000000,8.029499,384900
2000-03-20,9.125000,9.125000,8.562500,8.812500,7.862213,190400
2000-03-21,8.812500,9.125000,8.687500,9.000000,8.029499,232400
2000-03-22,9.000000,9.250000,9.000000,9.250000,8.252542,230500
2000-03-23,9.250000,9.437500,9.000000,9.125000,8.141019,124100
2000-03-24,9.062500,9.687500,9.062500,9.375000,8.364059,174500
2000-03-27,9.250000,9.375000,9.062500,9.250000,8.252542,80900
2000-03-28,9.250000,9.375000,8.875000,9.000000,8.029499,196300
2000-03-29,9.062500,9.312500,9.000000,9.187500,8.196779,175400
2000-03-30,9.312500,10.312500,9.312500,10.000000,8.921666,362000
2000-03-31,10.125000,10.750000,10.000000,10.500000,9.367746,435600
2000-04-03,10.625000,10.875000,10.250000,10.500000,9.367746,328400
2000-04-04,10.375000,10.375000,9.125000,9.937500,8.865905,298600
2000-04-05,9.562500,10.000000,9.500000,9.750000,8.698620,198500
2000-04-06,9.875000,10.125000,9.875000,10.000000,8.921666,207000
2000-04-07,10.000000,10.000000,9.562500,9.875000,8.810144,120300
2000-04-10,9.937500,9.937500,9.187500,9.187500,8.196779,132500
2000-04-11,9.187500,9.500000,9.125000,9.187500,8.196779,158100
2000-04-12,9.312500,9.750000,9.250000,9.687500,8.642862,95900
2000-04-13,9.687500,9.812500,9.687500,9.750000,8.698620,123200
2000-04-14,9.625000,9.812500,9.625000,9.750000,8.698620,210500
2000-04-17,9.687500,9.750000,9.000000,9.562500,8.531341,162600
2000-04-18,9.687500,9.937500,9.187500,9.812500,8.754382,161300
